success,tracking_error,tail_error,jerk,planning_calls,mode_accuracy,persistent_mode_accuracy,event_count,event_evaluable,event_impactful,event_coverage,recovery_recovered,recovery_unrecovered,recovery_rate,recovery_delay_sum,recovery_steps,peak_to_recovery_delay_sum,peak_to_recovery_steps,seed,context,horizon
1.0,0.4816392106891398,0.503588796573362,817.5579981237485,180.0,0.5865921787709497,0.5865384615384616,8.0,7.0,6.0,0.8571428571428571,1.0,5.0,0.16666666666666666,99.0,16.5,68.0,11.333333333333334,69,1,1
0.0,0.6550066399517778,0.8271365795074699,799.6057821556086,180.0,0.5586592178770949,0.5652173913043478,7.0,7.0,2.0,0.2857142857142857,0.0,2.0,0.0,25.0,12.5,9.0,4.5,70,1,1
1.0,0.3627619581659979,0.3814429384922255,801.479421337012,180.0,0.6145251396648045,0.6160714285714286,6.0,5.0,1.0,0.2,0.0,1.0,0.0,16.0,16.0,7.0,7.0,71,1,1
0.0,0.4970998891787043,0.5715446179677907,787.1435030608908,180.0,0.5810055865921788,0.5939849624060151,4.0,3.0,2.0,0.6666666666666666,1.0,1.0,0.5,46.0,23.0,29.0,14.5,72,1,1
0.0,0.5526356146482247,0.5511690285989718,713.2248317946222,180.0,0.5810055865921788,0.5853658536585366,7.0,6.0,4.0,0.6666666666666666,2.0,2.0,0.5,82.0,20.5,48.0,12.0,73,1,1
1.0,0.5485320195770563,0.31025213844209293,877.8795966563653,180.0,0.5865921787709497,0.5619834710743802,8.0,8.0,5.0,0.625,2.0,3.0,0.4,77.0,15.4,52.0,10.4,74,1,1
0.0,0.645388679785413,0.8921434226983488,800.1769513666727,180.0,0.5977653631284916,0.5925925925925926,9.0,8.0,4.0,0.5,2.0,2.0,0.5,78.0,19.5,51.0,12.75,75,1,1
1.0,0.6209286983147216,0.5545334486624317,803.2738981018167,180.0,0.5307262569832403,0.5338345864661654,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,nan,76,1,1
1.0,0.48963022874924217,0.4154960848248604,799.2082339734178,180.0,0.5586592178770949,0.5405405405405406,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,nan,77,1,1
1.0,0.5450271168262227,0.508002072952814,788.9098495604442,180.0,0.6089385474860335,0.6036585365853658,3.0,1.0,1.0,1.0,1.0,0.0,1.0,14.0,14.0,8.0,8.0,78,1,1
0.0,0.49915195398271295,0.3801100638025028,838.3891479310433,180.0,0.5698324022346368,0.5476190476190477,10.0,9.0,1.0,0.1111111111111111,0.0,1.0,0.0,17.0,17.0,8.0,8.0,79,1,1
0.0,0.6728466436259206,0.5828267547765728,678.6607442541037,180.0,0.6256983240223464,0.5984848484848485,5.0,5.0,3.0,0.6,1.0,2.0,0.3333333333333333,47.0,15.666666666666666,20.0,6.666666666666667,80,1,1
1.0,0.47553785802809656,0.5159666704257797,841.3187379534191,180.0,0.5642458100558659,0.5689655172413793,8.0,7.0,1.0,0.14285714285714285,0.0,1.0,0.0,4.0,4.0,1.0,1.0,81,1,1
1.0,0.4530793137662688,0.43716544249524153,825.9918569491746,180.0,0.5977653631284916,0.6013513513513513,3.0,3.0,1.0,0.3333333333333333,1.0,0.0,1.0,26.0,26.0,17.0,17.0,82,1,1
1.0,0.5036204990642438,0.3858095305640934,880.0796717560719,180.0,0.5586592178770949,0.5546218487394958,9.0,9.0,5.0,0.5555555555555556,2.0,3.0,0.4,76.0,15.2,48.0,9.6,83,1,1
0.0,0.8144777128176078,1.0690826773264666,709.4315757371298,180.0,0.5586592178770949,0.5606060606060606,8.0,6.0,5.0,0.8333333333333334,3.0,2.0,0.6,86.0,17.2,50.0,10.0,84,1,1
1.0,0.4831616640975104,0.5372249970305492,812.2329048655935,180.0,0.6201117318435754,0.6216216216216216,7.0,6.0,2.0,0.3333333333333333,0.0,2.0,0.0,9.0,4.5,2.0,1.0,85,1,1
0.0,0.6371608423877931,0.6502437522246068,790.7328689681393,180.0,0.5083798882681564,0.5086206896551724,5.0,5.0,3.0,0.6,3.0,0.0,1.0,89.0,29.666666666666668,62.0,20.666666666666668,86,1,1
