context,horizon,success,success_sem,tracking_error,tracking_error_sem,tail_error,tail_error_sem,jerk,jerk_sem,planning_calls,planning_calls_sem,mode_accuracy,mode_accuracy_sem,persistent_mode_accuracy,persistent_mode_accuracy_sem,event_count,event_evaluable,event_impactful,recovery_recovered,recovery_unrecovered,recovery_delay_sum,peak_to_recovery_delay_sum,event_coverage,recovery_rate,recovery_steps,peak_to_recovery_steps,recovery_steps_sem,event_coverage_sem,recovery_rate_sem
4,1,0.7083333333333334,0.04166666666666667,0.4135835160351928,0.010757241927664689,0.42737441893793904,0.0236472584361182,195.5396037382126,2.0995217918232045,180.0,0.0,0.7758522727272726,0.003070999623271812,0.8027745789495122,0.003043597063359838,726.0,674.0,422.0,198.0,224.0,6169.0,3294.0,0.6261127596439169,0.46919431279620855,14.618483412322275,7.805687203791469,0.4082232055623469,0.01953208174471418,0.02562553567155961
4,2,0.675,0.04293585209306999,0.43458472945163334,0.011693093347212167,0.450024290224883,0.025135739421269728,183.444513019984,2.246183064571673,90.0,0.0,0.7794507575757575,0.00374022054317558,0.8031019812957731,0.004036197648976107,726.0,674.0,438.0,206.0,232.0,6429.0,3409.0,0.6498516320474778,0.4703196347031963,14.678082191780822,7.78310502283105,0.42660278963439635,0.02014931756726368,0.023693946260674524
4,4,0.55,0.045605174407879534,0.5272719752522556,0.01525716434948166,0.545099618828867,0.031078203486939744,137.8714201989293,2.607249741091555,45.0,0.0,0.7787878787878788,0.004718299319199348,0.8036877431996557,0.005443240491516738,726.0,674.0,447.0,215.0,232.0,6524.0,3559.0,0.6632047477744807,0.4809843400447427,14.595078299776286,7.961968680089486,0.49899478531876534,0.018533029919680505,0.02446222370502304
4,8,0.21666666666666667,0.03776555522604268,0.7957639711160063,0.02029409306992888,0.8303622643064901,0.04082443099796027,74.75045171574357,1.700601332061097,23.0,0.0,0.7761363636363635,0.008035979538954574,0.8064759720700124,0.009328617179226563,726.0,674.0,426.0,209.0,217.0,6078.0,3330.0,0.6320474777448071,0.49061032863849763,14.267605633802816,7.816901408450704,0.47848769531565133,0.018962306122145084,0.02212506916706182
4,16,0.06666666666666667,0.02286647801900118,1.2588804809909535,0.032303570384510316,1.333741539956334,0.061510485028605656,50.34112469788985,1.210149849032677,12.0,0.0,0.7613636363636364,0.012175006362021823,0.8020445526695528,0.013366142320577116,726.0,674.0,435.0,200.0,235.0,6597.0,3953.0,0.6454005934718101,0.45977011494252873,15.16551724137931,9.08735632183908,0.690422121437509,0.020392678188762333,0.025906348177254394
8,1,0.6083333333333333,0.04474614568527821,0.4000021310358149,0.012959385338920291,0.4173043645622009,0.026609346845103327,52.40604159167445,0.6680054897732615,180.0,0.0,0.9095930232558139,0.004288541080005879,0.9810375736524973,0.0015271735372848756,726.0,674.0,473.0,235.0,238.0,6469.0,3360.0,0.701780415430267,0.49682875264270615,13.676532769556026,7.103594080338266,0.36283647728332963,0.01789673050306551,0.024954006772409755
8,2,0.575,0.04531634835874829,0.42430514889640303,0.014029821042383775,0.4424908776918588,0.028526859481754166,54.3184613525069,0.8331184256075722,90.0,0.0,0.9104651162790699,0.0045444903917151724,0.9831349703683633,0.0015570546631801933,726.0,674.0,472.0,233.0,239.0,6479.0,3363.0,0.7002967359050445,0.4936440677966102,13.726694915254237,7.125,0.3712531168134349,0.019199911854598056,0.023562868308478466
8,4,0.475,0.04577759534198052,0.4910768261750866,0.016584651988240908,0.5112936164235354,0.032780906728459396,57.43380183439406,1.0723781139516186,45.0,0.0,0.9094961240310078,0.005176769111367901,0.9818482065994186,0.0021508418518022547,726.0,674.0,468.0,229.0,239.0,6584.0,3449.0,0.6943620178041543,0.4893162393162393,14.068376068376068,7.369658119658119,0.389017777013402,0.019289091364578598,0.023134338215205066
8,8,0.39166666666666666,0.04474614568527821,0.6634332326985084,0.021928943697415174,0.6874106995473616,0.04294437116283795,47.88098280794111,1.2640812598113522,23.0,0.0,0.9079545454545453,0.006049355326265472,0.9808270704255613,0.0030660409430993594,726.0,674.0,463.0,225.0,238.0,6777.0,3606.0,0.6869436201780416,0.48596112311015116,14.637149028077754,7.788336933045357,0.4340521128212887,0.018390763503781885,0.02485034629517698
8,16,0.16666666666666666,0.03416333590378282,1.0355223759143293,0.036435378326489486,1.0440151678069276,0.05684403668619827,37.6289698063789,1.0572487674651312,12.0,0.0,0.9098484848484847,0.008572960498229759,0.9839613395863396,0.0040166470634256345,726.0,674.0,434.0,205.0,229.0,6632.0,3914.0,0.6439169139465876,0.47235023041474655,15.28110599078341,9.018433179723502,0.7033297280114595,0.01981512790422411,0.024228343495678838
16,1,0.5,0.04583492485141056,0.4786098539566778,0.015481668925132305,0.5141483903370823,0.03171908419126995,21.271433039309024,0.5920932598125406,180.0,0.0,0.8675304878048781,0.0069993036502526635,1.0,0.0,726.0,674.0,467.0,230.0,237.0,6541.0,3490.0,0.6928783382789317,0.4925053533190578,14.006423982869379,7.47323340471092,0.39764553119793783,0.01799127220672277,0.025172830101046453
16,2,0.49166666666666664,0.04582855844748355,0.5024743073606881,0.016394330236240467,0.5394691004538129,0.0333015878010364,22.29846187629227,0.6838276007728918,90.0,0.0,0.8673780487804879,0.006914831512445196,1.0,0.0,726.0,674.0,463.0,226.0,237.0,6552.0,3528.0,0.6869436201780416,0.48812095032397407,14.151187904967603,7.619870410367171,0.40574113028151715,0.018178631863874938,0.02519503178861991
16,4,0.43333333333333335,0.04542567625794979,0.5627936151342307,0.018878041098673824,0.604639107797716,0.038169530280468045,26.262241013003305,0.7832651549508742,45.0,0.0,0.8670731707317074,0.007192177219342894,1.0,0.0,726.0,674.0,472.0,225.0,247.0,6777.0,3667.0,0.7002967359050445,0.4766949152542373,14.358050847457626,7.7690677966101696,0.4276963121832844,0.01837242658200133,0.024276446525804875
16,8,0.38333333333333336,0.044569734699312864,0.6943756852678052,0.023498845723420553,0.7407217892591994,0.04719044059721958,31.969664657851308,1.0128242689161042,23.0,0.0,0.8650793650793651,0.00789639053754631,1.0,0.0,726.0,674.0,471.0,212.0,259.0,7031.0,3923.0,0.6988130563798219,0.45010615711252655,14.927813163481954,8.329087048832271,0.4993085396563694,0.01893375781314893,0.02453318687029864
16,16,0.3,0.04200840252084029,1.0279934152441839,0.03675605537084805,1.0522754297288912,0.06414183108372318,32.057241906592104,0.9872609374550744,12.0,0.0,0.8613636363636362,0.011022377783438262,1.0,0.0,726.0,674.0,457.0,202.0,255.0,7076.0,4243.0,0.6780415430267063,0.4420131291028446,15.483588621444202,9.284463894967177,0.6783933265920046,0.018847305138436767,0.022442118303506724
