trial,regime,method,success,reached_goal,collision,deadlock,fallback,fallback_steps,steps,final_progress,mean_progress_speed,max_equality_residual,mean_equality_residual,max_inequality_violation,min_margin,mean_intervention,max_intervention,action_smoothness,retraction_failures
29,aggressive,rollout_projection,False,True,False,False,False,0,70,0.9793546837553468,1.0493085897378716,0.07078298359800406,0.03524022022850813,0.0,0.20894463079546044,0.3728558597157532,0.8045415424036647,3.5319414854729323,0
29,aggressive,projection_retraction,True,True,False,False,False,0,70,0.979361079456253,1.0493154422745565,8.225109482395965e-11,5.074732697555159e-12,0.0,0.2089664931956765,0.36715907528846625,0.7958001186688625,3.3990857727080095,0
30,aggressive,penalty_only,False,True,False,False,False,0,56,0.9759164374159276,1.30703094296776,0.0540528823792461,0.012234405478817188,0.0,0.23687901028413394,0.0,0.0,4.093662499088081,0
30,aggressive,one_step_correction,False,True,False,False,False,0,56,0.9759064494220532,1.3070175661902497,0.04333087025918636,0.012107361616353075,0.0,0.23716074594181957,0.009612249616764445,0.11122236077427072,4.053652080245874,0
30,aggressive,rollout_projection,False,True,False,False,False,0,70,0.9788108552340377,1.0487259163221831,0.07615423517595188,0.03753219792049225,0.0,0.20524897550050059,0.3660590272909302,0.8003862716914194,3.5867885787234086,0
30,aggressive,projection_retraction,True,True,False,False,False,0,70,0.978787998369858,1.0487014268248478,9.000045153584324e-11,1.859149342412333e-12,0.0,0.21120424638736224,0.3611415169187935,0.8003984964143392,3.4077344255100432,0
31,aggressive,penalty_only,False,True,False,False,False,0,49,0.9553484691485266,1.462268065023255,0.03269767547946689,0.013094000125139787,0.0,0.19271743319738266,0.0,0.0,4.378116140212199,0
31,aggressive,one_step_correction,False,True,False,False,False,0,49,0.9553109115583457,1.4622105789158353,0.04706257077972176,0.013213379703882158,0.0,0.1956066628503148,0.01011067363383072,0.14304916837594397,4.367261626388026,0
31,aggressive,rollout_projection,False,True,False,False,False,0,70,0.979999999999999,1.0499999999999987,0.07356952946908124,0.03872567736945454,0.0,0.12352659627923024,0.5049903426937428,0.9445267742801311,4.247428809656681,0
31,aggressive,projection_retraction,True,True,False,False,False,0,70,0.979999999999999,1.0499999999999987,4.5916159763237374e-11,1.8934250992482963e-12,0.0,0.1252569427347962,0.4972899002647455,0.9261460219041087,4.06787703012669,0
32,aggressive,penalty_only,False,True,False,False,False,0,49,0.9729693571446746,1.4892388119561346,0.035191107370523333,0.010508062528286686,0.0,0.20242290708105304,0.0,0.0,4.190931894526264,0
32,aggressive,one_step_correction,False,True,False,False,False,0,49,0.9729687424351208,1.4892378710741645,0.043396544960719874,0.014892975764842688,0.0,0.2040487635709861,0.008229814111589146,0.08482037260527832,4.151876828726509,0
32,aggressive,rollout_projection,False,True,False,False,False,0,70,0.979999999999999,1.0499999999999987,0.08357610993207953,0.04181340963480932,0.0,0.11308222122303169,0.5432540164666616,0.9243150121205281,4.452859637945064,0
32,aggressive,projection_retraction,True,True,False,False,False,0,70,0.979999999999999,1.0499999999999987,9.250489263479267e-11,4.21691094741407e-12,0.0,0.11667279692094584,0.5346340260944291,0.9017707392365164,4.326177620469318,0
33,aggressive,penalty_only,False,True,False,False,False,0,56,0.9945171189925658,1.331942570079329,0.04881126982233064,0.014246109351657543,0.0,0.10209030311586548,0.0,0.0,4.475551419684184,0
33,aggressive,one_step_correction,False,True,False,False,False,0,56,0.9923173398951635,1.3289964373595937,0.11181262065523212,0.04321668094646247,0.0,0.09282427370190688,0.02991402130117991,0.4051682654428452,4.584184142883793,0
33,aggressive,rollout_projection,False,True,False,False,False,0,70,0.979999999999999,1.0499999999999987,0.07389395072462657,0.03225915252429271,0.0,0.10483093052947562,0.3966153897311265,1.0628937176749806,3.8128495898925387,0
33,aggressive,projection_retraction,True,True,False,False,False,0,70,0.979999999999999,1.0499999999999987,4.6281645182943976e-11,1.4990374021449172e-12,0.0,0.10566546571888508,0.3851506907008988,1.0293856132667254,3.775599874228002,0
34,aggressive,penalty_only,False,True,False,False,False,0,49,0.9962656282775103,1.5248963698125158,0.027763908271495996,0.009262024112556298,0.0,0.12031381668422497,0.0,0.0,5.055464482506532,0
34,aggressive,one_step_correction,False,True,False,False,False,0,49,0.9961515867951469,1.5247218165231842,0.035290268345159026,0.010858226692359392,0.0,0.11813946225254901,0.00831523211358362,0.0914327445234073,5.015717539385226,0
34,aggressive,rollout_projection,False,True,False,False,False,0,70,0.979999999999999,1.0499999999999987,0.09982436535083927,0.05046749273707103,0.0,0.12314654068137332,0.6189406943926361,0.9809669137908541,5.566704953626003,0
34,aggressive,projection_retraction,True,True,False,False,False,0,70,0.979999999999999,1.0499999999999987,6.171796407272723e-11,3.227407230355084e-12,0.0,0.12374553250033304,0.6091914060251641,0.9809228637049479,5.492508825005758,0
35,aggressive,penalty_only,False,True,False,False,False,0,56,1.0366966205948531,1.388432974010964,0.04659571758921477,0.014167982910610747,0.0,0.12158095671959729,0.0,0.0,4.712023684697551,0
35,aggressive,one_step_correction,False,True,False,False,False,0,56,1.036744878271308,1.3884976048276447,0.08430160796819275,0.030106649444486527,0.0,0.11991665657916678,0.022219410994911336,0.39664730778728596,4.666585245610975,0
