scenario_id,repeat,feedback,mass,friction,fragility,tightness,success,object_damage,slip_drop,insertion_failure,excess_force,force_profile_rmse,force_error_variance,retries,handoff_balance_error,mean_speed,insertion_speed,slip_probability,damage_probability
3,0,haptic_on,0.4397508541725069,0.7298081661465087,7.643280071950034,0.3592693177644847,1.0,0.0,0.0,0.0,0.0,0.2714686409114468,0.01328268602789297,0.0,0.0266535620177636,0.9698390669502602,0.8695203404965419,0.08481013732726288,0.0
3,1,haptic_off,0.4397508541725069,0.7298081661465087,7.643280071950034,0.3592693177644847,1.0,0.0,0.0,0.0,0.0,0.8292311645972714,0.21873469730786943,0.0,0.1007105676722021,0.864583254270025,0.824911916291443,0.1503740041169524,0.0
3,1,haptic_on,0.4397508541725069,0.7298081661465087,7.643280071950034,0.3592693177644847,1.0,0.0,0.0,0.0,0.0,0.2759569104448148,0.014959980937677976,0.0,0.029373915571058958,0.9713726687524042,0.8727352836517362,0.0856159461483824,0.0
4,0,haptic_off,0.4640898015136828,0.6290168339977735,7.947220997478145,0.46783142649538834,1.0,0.0,0.0,0.0,0.0,0.8942095883659248,0.30642003909055004,0.0,0.10701304366255665,0.8542679330133259,0.7923679808664906,0.20647691654985373,0.0
4,0,haptic_on,0.4640898015136828,0.6290168339977735,7.947220997478145,0.46783142649538834,1.0,0.0,0.0,0.0,0.0,0.27210976564270406,0.009540230860249063,0.0,0.031212137734912358,0.9625285554472447,0.8309582930958734,0.08616437721533055,0.0
4,1,haptic_off,0.4640898015136828,0.6290168339977735,7.947220997478145,0.46783142649538834,1.0,0.0,0.0,0.0,0.0,0.9414986584117748,0.3024140185210593,0.0,0.0897797040311008,0.8561556306595658,0.8292191288809349,0.18984305643861724,0.0
4,1,haptic_on,0.4640898015136828,0.6290168339977735,7.947220997478145,0.46783142649538834,1.0,0.0,0.0,0.0,0.0,0.280880977227785,0.007426498875767185,0.0,0.026185747009071076,0.963254593003491,0.8451318115629673,0.0846722589466302,0.0
5,0,haptic_off,0.5859833175141951,0.6558638274753237,8.702792687320324,0.6130878027151965,1.0,0.0,0.0,0.0,0.0,0.8164197538127972,0.5033724169983089,0.0,0.07393178883375211,0.8408565649855482,0.7446040272392848,0.29106797139849105,0.0
5,0,haptic_on,0.5859833175141951,0.6558638274753237,8.702792687320324,0.6130878027151965,1.0,0.0,0.0,0.0,0.0,0.21446995644624556,0.0093615640540937,0.0,0.02156343840984435,0.9511779859858946,0.7754334357660236,0.0833208322852348,0.0
5,1,haptic_off,0.5859833175141951,0.6558638274753237,8.702792687320324,0.6130878027151965,1.0,0.0,0.0,0.0,0.0,0.867552883170968,0.5439440086477438,0.0,0.1096915470199613,0.8523879141077183,0.7641995550788332,0.495325465219344,0.0
5,1,haptic_on,0.5859833175141951,0.6558638274753237,8.702792687320324,0.6130878027151965,1.0,0.0,0.0,0.0,0.0,0.23064094162615909,0.011518608719799373,0.0,0.03199336788082204,0.9556131202636522,0.782970177242773,0.08639841823691072,0.0
6,0,haptic_off,0.4038554556013886,0.8542926654641165,10.220130162466331,0.2822504508168263,1.0,0.0,0.0,0.0,0.0,1.0442272460150959,0.2871829616651574,0.0,0.10482156813893877,0.866976866607464,0.8551865494491003,0.2012407335609761,0.0
6,0,haptic_on,0.4038554556013886,0.8542926654641165,10.220130162466331,0.2822504508168263,1.0,0.0,0.0,0.0,0.0,0.2809361207804769,0.009697637966549091,0.0,0.030572957373857148,0.9758609795386607,0.9057855172665922,0.08597331873148958,0.0
6,1,haptic_off,0.4038554556013886,0.8542926654641165,10.220130162466331,0.2822504508168263,1.0,0.0,0.0,0.0,0.0,0.9911254081242972,0.21927628343653535,0.0,0.08313287300982138,0.862701011503623,0.8373745946305231,0.17665058803720066,0.0
