method,shift,trial,mass,friction,fragility,tightness,success,object_damage,slip_drop,insertion_failure,excess_force,force_profile_rmse,force_error_variance,retries,handoff_balance_error,mean_speed,insertion_speed,slip_probability,damage_probability
pose_only_visual,0.0,24,0.46580258971014843,0.6142945148310499,7.465585929546694,0.34454521859003734,0.0,1.0,0.0,0.0,0.0074067813615626525,2.4342342404381414,1.2686586433059346,1.0,0.0028054007528803856,0.8646073271434435,0.8408693856099211,0.09866305745753536,0.17127807128491124
pose_only_visual,0.0,25,0.47473004843642197,0.7890755770627569,8.563367007592472,0.6064592027389506,1.0,0.0,0.0,0.0,0.0,2.8173742625235003,0.9157816510173652,1.0,0.0009119163154814288,0.8507300884447563,0.7753027140714336,0.07957614978601275,0.0
pose_only_visual,0.0,26,0.4501168415059062,0.6069480303389573,9.389563974567345,0.5484274329619313,0.0,0.0,1.0,0.0,0.0,2.4561894822799304,1.2248952555429822,1.0,0.0025876329162433866,0.8530209240029365,0.7838440932371269,0.09691354143554662,0.0
pose_only_visual,0.0,27,0.4309671373956963,0.620308571661349,8.37914444537798,0.5205651438411382,1.0,0.0,0.0,0.0,0.0,2.575709364243812,1.109770545428833,1.0,0.002589659730708839,0.8541873669700534,0.7917943619899762,0.0786872361975604,0.0
pose_only_visual,0.0,28,0.3671457378094934,0.583425352024376,8.375423853341083,0.3153336257675682,0.0,0.0,1.0,0.0,0.0,2.7683082704583337,0.9685314213359157,0.0,0.0016028693163136088,0.8620303269658349,0.8314211638445898,0.0794669392891869,0.0
pose_only_visual,0.0,29,0.4066523382499193,0.6161141372166462,8.91340862597221,0.5728369569718861,1.0,0.0,0.0,0.0,0.0,2.6615612573415475,1.0319883088911224,1.0,0.0024451443941650706,0.8525883979061675,0.7831919780116822,0.08041873605630244,0.0
pose_only_visual,0.0,30,0.5187786452963434,0.6333501648713288,9.304937073335743,0.3042195652891903,1.0,0.0,0.0,0.0,0.0,2.2990982161305054,1.4410902464784894,0.0,0.0033544533573915914,0.8647502853276873,0.8454556879016898,0.16195560872907866,0.0
pose_only_visual,0.0,31,0.5757884922527098,0.7767773634161448,9.695962276391468,0.5409203303385764,1.0,0.0,0.0,0.0,0.0,2.4577039751649616,1.2239889734918945,1.0,0.003088425611269344,0.8526428180423642,0.7843006447948084,0.09954232594147233,0.0
pose_only_visual,0.0,32,0.4028696256210962,0.6895543845735514,7.629566950589093,0.3856626363910396,1.0,0.0,0.0,0.0,0.005444049483696799,2.8869453943658123,0.88469877885637,1.0,0.0033477306937802036,0.857888466722957,0.8138965748777428,0.07862797373192446,0.12107835867476313
pose_only_visual,0.0,33,0.42426068662432903,0.8348411458542973,7.271265799282938,0.5852962143870183,0.0,1.0,0.0,0.0,0.02126726225103435,3.087970781623241,0.7677828204407137,1.0,0.002411782105746959,0.8501513960123015,0.7772285696985185,0.08415421394034103,0.3992756820455148
pose_only_visual,0.0,34,0.6073482947869199,0.6065676850735883,8.299061985109944,0.6152677928703569,0.0,0.0,1.0,0.0,0.0012462462034071248,1.9589195785333302,2.076050005384624,1.0,0.006154088703785807,0.8508190412437757,0.7726534030945954,0.536245986429775,0.0
pose_only_visual,0.0,35,0.40356305803208614,0.6626069889383562,8.134756339952396,0.6024586821387575,1.0,0.0,0.0,0.0,0.002465638981985625,2.7971196011246335,0.9295463802853017,1.0,0.00030268382442880207,0.8517572705772438,0.7772918584592095,0.07735425256812956,0.030476619541942362
pose_only_visual,0.0,36,0.5401438232268888,0.8238955858340398,8.797561459745479,0.3248450225522986,1.0,0.0,0.0,0.0,0.0,2.696317672550717,1.0225078540601187,1.0,0.003438647557460189,0.8646319949831565,0.84558415499851,0.0782090466443319,0.0
pose_only_visual,0.0,37,0.5403102072237653,0.6787135875871082,8.150416807313974,0.5531046036443374,1.0,0.0,0.0,0.0,0.0016533838114826157,2.328503832347152,1.3735337373185403,1.0,0.004040178939999303,0.8529029309370321,0.784982359296328,0.13134548092601664,0.0
pose_only_visual,0.0,38,0.4964965866092168,0.7546876852674091,9.546468374894507,0.46975763687075833,1.0,0.0,0.0,0.0,0.0,2.6768041647962377,1.0274000638842453,1.0,0.005298548734172916,0.8592713329461283,0.8175207910976818,0.07908273919828109,0.0
pose_only_visual,0.0,39,0.6013296502914438,0.6373963444413367,7.3023571666941045,0.597024320569218,0.0,1.0,1.0,0.0,0.02081142791208836,2.041240064784125,1.8551115641033395,1.0,0.00629931436914911,0.8521868094094811,0.7796695478958828,0.3141349713084898,0.3933317232078044
pose_only_visual,0.0,40,0.490649094486843,0.5849263682522131,9.743457895088808,0.5405323271331126,0.0,0.0,1.0,0.0,0.0,2.237304955333156,1.5012731381199758,1.0,0.003506484918683832,0.8551301454417732,0.7940995506473545,0.1542156902144251,0.0
pose_only_visual,0.0,41,0.40999139115513233,0.7078770792785298,8.20267112780888,0.27976546616508197,1.0,0.0,0.0,0.0,0.0,2.911297095319666,0.8759302956733447,0.0,0.001454337868267389,0.8652694163802727,0.8481063636788192,0.07766716883502994,0.0
pose_only_visual,0.0,42,0.5553192160541075,0.6176312002998184,9.672667574782475,0.33861734008820865,0.0,0.0,1.0,0.0,0.0,2.1362320688665344,1.698047979723578,0.0,0.005352563175472844,0.8620319576030651,0.8302184280744298,0.24275801262003915,0.0
pose_only_visual,0.0,43,0.5890109822898539,0.7506331303321611,7.780099587378043,0.560157744200739,1.0,0.0,0.0,0.0,0.006986355789171485,2.353649263096676,1.3411276679580182,1.0,0.0037824149668847775,0.8526908055248483,0.784410819999484,0.1217235233379075,0.1623879296276618
pose_only_visual,0.0,44,0.43210677794414765,0.6586484265927229,8.859030103745626,0.6047627882454668,1.0,0.0,0.0,0.0,0.0,2.6691931213748337,1.0235150280183791,1.0,0.0010081782115031607,0.8514597503742042,0.7751994241390676,0.07913299183225868,0.0
pose_only_visual,0.0,45,0.40625082462168427,0.7233966573412571,9.637863957167223,0.3318902124737861,1.0,0.0,0.0,0.0,0.0,2.9565672718936766,0.8466051453123077,1.0,0.0032540449637695986,0.8627727280534471,0.8385691028113335,0.07991131748120783,0.0
pose_only_visual,0.0,46,0.5175142255935286,0.6594207639987484,8.128851737763773,0.23853201073995706,1.0,0.0,0.0,0.0,0.0,2.3814285927390686,1.341405982499312,0.0,0.002939942100239809,0.8670385213829762,0.8560019885938954,0.12139321577450347,0.0
pose_only_visual,0.0,47,0.44566591298121727,0.7329401504797858,9.576816503301279,0.3428162603389533,1.0,0.0,0.0,0.0,0.0,2.8242879549101945,0.9276432582930261,1.0,0.003849895718038685,0.8629536563565856,0.8362551563469933,0.07951070418657744,0.0
pose_only_visual,0.0,48,0.4565461796826001,0.7351317936351363,8.91730088477971,0.2683866671531462,1.0,0.0,0.0,0.0,0.0,2.795348691160638,0.9523633546100916,0.0,0.0008509149269671435,0.8632838523010462,0.8429604016691509,0.08245511172462332,0.0
pose_only_visual,0.0,49,0.432075012618576,0.6407965212016147,10.199288833305623,0.5915558051921025,1.0,0.0,0.0,0.0,0.0,2.622284631176102,1.0631270717066945,1.0,0.0018327075391121204,0.8512065903666824,0.7780781167486405,0.07777022851247625,0.0
pose_only_visual,0.0,50,0.43308501927624204,0.7719980589241858,9.678552011816166,0.5782926789122268,1.0,0.0,0.0,0.0,0.0,2.934889405952451,0.8456825930179923,1.0,0.00230449306728536,0.8510313994800068,0.7825253244253919,0.07789890804645448,0.0
pose_only_visual,0.0,51,0.393030372303869,0.715890033750372,10.387820152767599,0.6170728490083196,1.0,0.0,0.0,0.0,0.0,2.9656575359285835,0.826690025359283,1.0,0.00172975265310159,0.849437668873284,0.7722582354090767,0.07774217344408182,0.0
pose_only_visual,0.0,52,0.4055828318922533,0.7240085639852187,8.66270541029097,0.4941081084222826,1.0,0.0,0.0,0.0,0.0,2.9451666459828787,0.8443613223755727,1.0,0.0010721156840087787,0.8570871331130727,0.8079667985426069,0.07756318681944072,0.0
pose_only_visual,0.0,53,0.36214030693902693,0.8494913826786596,9.07482680918268,0.23591768490792359,1.0,0.0,0.0,0.0,0.0,3.3687792926594096,0.6764735025445966,0.0,0.0035969614289454444,0.8660117859006905,0.861550245085961,0.07840162231946123,0.0
pose_only_visual,0.0,54,0.45200121663099585,0.7848496474458587,10.01444246484652,0.45947821132138283,1.0,0.0,0.0,0.0,0.0,2.903602565526573,0.8703679855585071,1.0,0.0045047759342150655,0.8597293078298746,0.8198668366544918,0.0785016132100335,0.0
pose_only_visual,0.0,55,0.4748539122293629,0.8578068430581373,9.820693936620719,0.5228094229493292,1.0,0.0,0.0,0.0,0.0,2.9615078341635495,0.8338305742220984,1.0,0.007241984804481192,0.8554310462514392,0.7991045156729365,0.07925734722627677,0.0
pose_only_visual,0.0,56,0.4042778246307262,0.8445876459210852,8.558828862619935,0.397055934717398,1.0,0.0,0.0,0.0,0.0,3.194023781317358,0.730715536825158,1.0,0.002356730529514516,0.861441487312772,0.8345478723776524,0.07973810461187025,0.0
pose_only_visual,0.0,57,0.535688030046572,0.7146745619685896,9.728740262003917,0.35136261313183814,1.0,0.0,0.0,0.0,0.0,2.454516342633532,1.2455731187823116,1.0,0.0037117973089128373,0.8615495774263779,0.8285303125192981,0.09851282552361462,0.0
pose_only_visual,0.0,58,0.36021772469989033,0.6169669602814378,9.227560401945597,0.34562439033923675,1.0,0.0,0.0,0.0,0.0,2.8918373130401394,0.8839978024994882,1.0,0.0017093066463701916,0.8618785904618129,0.8304137057806685,0.07776948645805241,0.0
pose_only_visual,0.0,59,0.42595980598758143,0.6858287621779392,7.775494307594349,0.623916639914276,0.0,1.0,0.0,0.0,0.009155216991709505,2.761923894276895,0.9524729562454145,1.0,0.0031839258693464436,0.850103774323548,0.7717944177514404,0.07826046271690543,0.20724884307738278
pose_only_visual,0.0,60,0.3777012413196552,0.6682456097953909,8.887631150191714,0.4256922091802178,1.0,0.0,0.0,0.0,0.0,2.937272926069094,0.8525227665814236,1.0,0.00048921863956761,0.8582152258953173,0.8128389595708236,0.07949096832336984,0.0
pose_only_visual,0.0,61,0.3990436547277437,0.6739778027310678,7.658556204838144,0.5217333213012628,0.0,1.0,0.0,0.0,0.008512966542699054,2.8520608857224836,0.8984843131499299,1.0,0.0026941874629676328,0.8547159487388163,0.7948209572226045,0.07923177825940912,0.194220856706815
pose_only_visual,0.0,62,0.3753968356408424,0.6520142225558329,8.267687040430808,0.5729563510079322,1.0,0.0,0.0,0.0,0.0009934501456186125,2.893295003432561,0.8701059283783247,1.0,0.0034211012113479562,0.8523707525740896,0.7828794174825433,0.07949748933918899,0.0
pose_only_visual,0.0,63,0.5962658227650283,0.7826710688907712,9.795598504731998,0.416227927824405,1.0,0.0,0.0,0.0,0.0,2.4194176000460894,1.2782150278134434,1.0,0.0029068486581929234,0.8588456214775827,0.8168695667681986,0.09815998000778801,0.0
pose_only_visual,0.0,64,0.5290081057422477,0.640144938293995,8.95566444734885,0.5601803136193397,1.0,0.0,0.0,0.0,0.0,2.2617367841978804,1.4631297097839882,1.0,0.004038707956102624,0.8516562912343617,0.7818327713793577,0.15415821050624537,0.0
pose_only_visual,0.0,65,0.5022723737843688,0.8114073580837147,8.613650299960444,0.6008140930235685,1.0,0.0,0.0,0.0,0.0,2.7698057959675375,0.9484866038747702,1.0,0.0042946669574325125,0.8492748160805027,0.774079950169609,0.07844387607718896,0.0
pose_only_visual,0.0,66,0.389217320965966,0.8432782887680115,9.992529439368507,0.6323363074562931,1.0,0.0,0.0,0.0,0.0,3.222931297843893,0.7114024633053745,1.0,0.0034818678886723146,0.8487220591531072,0.7680338742495988,0.08317352288569278,0.0
pose_only_visual,0.0,67,0.5481795080488826,0.7311360395173512,10.328457828038124,0.25011042710208786,1.0,0.0,0.0,0.0,0.0,2.4630301725616297,1.2461059527140828,0.0,0.003507799553764302,0.8642923765279458,0.8448493875494695,0.09768614886541441,0.0
pose_only_visual,0.0,68,0.3919760543035586,0.614077410025057,7.8090533795304005,0.24272733927711268,1.0,0.0,0.0,0.0,0.000868424085398782,2.7505163550727794,0.9866310169606157,0.0,0.0016240465668201653,0.8649265321243013,0.8430937956914205,0.08108594149300419,0.0
pose_only_visual,0.0,69,0.535251340359133,0.6721088328782255,9.151558285304413,0.43748792176008255,1.0,0.0,0.0,0.0,0.0,2.337831968266212,1.3743912520992607,1.0,0.0032093383662713444,0.8558751254598369,0.8034300133810285,0.12261335594757328,0.0
pose_only_visual,0.0,70,0.38591945449408566,0.7448150707423196,7.3612998335106825,0.31409314483491146,0.0,1.0,0.0,0.0,0.008927468222903114,3.084586614188408,0.781295766331771,1.0,0.0014893750416839768,0.8630164749346811,0.8394644411330504,0.07966717937691156,0.20265326326412436
pose_only_visual,0.0,71,0.5023280383666919,0.6936409719941004,7.897085755939925,0.3238752313392876,1.0,0.0,0.0,0.0,0.0010551650683265337,2.5191558232951214,1.1807110131535834,1.0,0.0031697160224562343,0.8629998608297156,0.8325399612332053,0.07882962393320068,0.0
pose_only_visual,0.0,72,0.57479536720992,0.7193179200882096,7.95318115682607,0.4117677690750261,1.0,0.0,0.0,0.0,0.001583758772160943,2.333978259136048,1.3821745095053135,1.0,0.003311658486557313,0.8597520851748577,0.8211132353577959,0.12291222668103767,0.0
