method,mode,poison_rate,phase,output_residual_norm,activation_delta_norm,weighted_activation_contribution
token_channel_shrinkage,grasp_offset,0.05,0.1,0.005197461994720077,1.6758420472091324,0.013806301051952893
token_channel_shrinkage,grasp_offset,0.05,0.125,0.006815143461449521,1.6796363091732556,0.013989580874549953
token_channel_shrinkage,grasp_offset,0.05,0.15000000000000002,0.00975355321971358,1.6823832107023615,0.014289524454084114
token_channel_shrinkage,grasp_offset,0.05,0.17500000000000002,0.014185472069040722,1.685072665193246,0.014932608897144851
token_channel_shrinkage,grasp_offset,0.05,0.2,0.020134341147944445,1.6880125663236076,0.016275174519965886
token_channel_shrinkage,grasp_offset,0.05,0.225,0.027429930519429935,1.691463892609935,0.01865092933829987
token_channel_shrinkage,grasp_offset,0.05,0.25,0.03567429859701441,1.6954157281933018,0.02207865706742725
token_channel_shrinkage,grasp_offset,0.05,0.275,0.04424528136840829,1.6997671195435047,0.026138071277121817
token_channel_shrinkage,grasp_offset,0.05,0.30000000000000004,0.0523522010481183,1.7046704597152826,0.03015393174702394
token_channel_shrinkage,grasp_offset,0.05,0.325,0.05914214029238889,1.7102006077305048,0.03349169992806352
token_channel_shrinkage,grasp_offset,0.05,0.35000000000000003,0.06383734051698177,1.7162307440009459,0.0357479826370067
token_channel_shrinkage,grasp_offset,0.05,0.375,0.06587188776613014,1.7228400377177535,0.03674154416169864
token_channel_shrinkage,grasp_offset,0.05,0.4,0.06499509201341712,1.73018545730196,0.03638290464347188
token_channel_shrinkage,grasp_offset,0.05,0.42500000000000004,0.06131815668186693,1.7381757301195817,0.03462364212659352
token_channel_shrinkage,grasp_offset,0.05,0.45,0.05529381507384658,1.7467992522598328,0.031573716387002605
token_channel_shrinkage,grasp_offset,0.05,0.47500000000000003,0.047632673331591914,1.756244794956857,0.027639761296275586
token_channel_shrinkage,grasp_offset,0.05,0.5,0.039174901226468294,1.7665017551388698,0.023493727049005268
token_channel_shrinkage,grasp_offset,0.05,0.525,0.030748201313229473,1.7774865062253082,0.01984821962684152
token_channel_shrinkage,grasp_offset,0.05,0.55,0.02304606141274842,1.789359557969139,0.017172215205557406
token_channel_shrinkage,grasp_offset,0.05,0.5750000000000001,0.016551865139737304,1.8022048631542256,0.015533129591573477
token_channel_shrinkage,grasp_offset,0.05,0.6000000000000001,0.011519475175982383,1.8159134661814678,0.01468585708533416
token_channel_shrinkage,grasp_offset,0.05,0.625,0.008003038040609563,1.8305710299147941,0.01430501137476075
token_channel_shrinkage,grasp_offset,0.05,0.65,0.005898174010448462,1.846333655289325,0.014139263008426111
token_channel_shrinkage,grasp_offset,0.05,0.675,0.0049318686301695145,1.8631220085334688,0.01404032977998291
token_channel_shrinkage,grasp_offset,0.05,0.7000000000000001,0.004673576655861587,1.8809309865664694,0.013943005442170793
token_channel_shrinkage,grasp_offset,0.05,0.7250000000000001,0.0047156284489475045,1.899939672905754,0.01383696255511553
token_channel_shrinkage,grasp_offset,0.05,0.75,0.004808594809186215,1.9201391854251673,0.013736851988821876
token_channel_shrinkage,grasp_offset,0.05,0.775,0.004836099964987436,1.9414524459803681,0.0136596648078079
token_channel_shrinkage,grasp_offset,0.05,0.8,0.004768609120804639,1.964023020248595,0.013615573447856782
token_channel_shrinkage,grasp_offset,0.05,0.8250000000000001,0.0046436857976720125,1.987909048971172,0.013606720380052884
token_channel_shrinkage,grasp_offset,0.05,0.8500000000000001,0.004548258796748486,2.01293647879241,0.013626470501878535
token_channel_shrinkage,grasp_offset,0.05,0.875,0.00457914674593704,2.038900593725245,0.013658245796397944
token_channel_shrinkage,grasp_offset,0.05,0.9,0.004791766429688492,2.0650536475341497,0.0136779869601297
token_channel_shrinkage,grasp_offset,0.05,0.925,0.005185426446724381,2.089088774137108,0.013663399509304754
token_channel_shrinkage,grasp_offset,0.05,0.9500000000000001,0.005737668798866705,2.1066352679540823,0.013605061937435717
token_channel_shrinkage,grasp_offset,0.05,0.9750000000000001,0.006433171252517233,2.1116160514127396,0.013509039796027179
token_channel_shrinkage,grasp_offset,0.05,1.0,0.007255311651964412,2.0985743316485963,0.013389736121270195
trigger_invariance,grasp_offset,0.05,0.0,0.0005828168573831734,1.550488382882746,0.006224917983543359
trigger_invariance,grasp_offset,0.05,0.025,0.00019981726168574773,1.6140739910499546,0.007717973514133302
trigger_invariance,grasp_offset,0.05,0.05,0.0005923819323014589,1.6502763866055798,0.009249719502989397
trigger_invariance,grasp_offset,0.05,0.07500000000000001,0.0005217477462204782,1.668001620570461,0.010693549656575919
trigger_invariance,grasp_offset,0.05,0.1,0.00012864329297450686,1.6758420472091324,0.012004912663883328
trigger_invariance,grasp_offset,0.05,0.125,0.0004215787984057239,1.6796363091732556,0.013210426500141547
trigger_invariance,grasp_offset,0.05,0.15000000000000002,0.0006227174063787178,1.6823832107023615,0.01435912977571706
trigger_invariance,grasp_offset,0.05,0.17500000000000002,0.0003903023360831782,1.685072665193246,0.015477247955555077
trigger_invariance,grasp_offset,0.05,0.2,0.00020575604998596995,1.6880125663236076,0.016543916408771318
trigger_invariance,grasp_offset,0.05,0.225,0.0006697083867147686,1.691463892609935,0.017490144545507846
trigger_invariance,grasp_offset,0.05,0.25,0.0007937918020783595,1.6954157281933018,0.018231917670749772
trigger_invariance,grasp_offset,0.05,0.275,0.0007826358290688349,1.6997671195435047,0.01871847424647157
trigger_invariance,grasp_offset,0.05,0.30000000000000004,0.0013807283321019114,1.7046704597152826,0.018945357521078218
trigger_invariance,grasp_offset,0.05,0.325,0.0022071403005690803,1.7102006077305048,0.01892962951074235
trigger_invariance,grasp_offset,0.05,0.35000000000000003,0.002776362967180572,1.7162307440009459,0.018700142034978808
trigger_invariance,grasp_offset,0.05,0.375,0.0029750649952056296,1.7228400377177535,0.01831439977360699
trigger_invariance,grasp_offset,0.05,0.4,0.002852014398547727,1.73018545730196,0.017853545789416444
trigger_invariance,grasp_offset,0.05,0.42500000000000004,0.0024256010878072206,1.7381757301195817,0.017380612771691065
trigger_invariance,grasp_offset,0.05,0.45,0.0017226677066904418,1.7467992522598328,0.016903649297043164
trigger_invariance,grasp_offset,0.05,0.47500000000000003,0.0009278877154889241,1.756244794956857,0.01637458863697508
trigger_invariance,grasp_offset,0.05,0.5,0.0004181104834861806,1.7665017551388698,0.015730039277306724
trigger_invariance,grasp_offset,0.05,0.525,0.0004028954365367454,1.7774865062253082,0.014969720967116724
trigger_invariance,grasp_offset,0.05,0.55,0.00034059748601648307,1.789359557969139,0.014223626944944437
trigger_invariance,grasp_offset,0.05,0.5750000000000001,0.00017199602470729572,1.8022048631542256,0.01371923421796147
trigger_invariance,grasp_offset,0.05,0.6000000000000001,7.373603693019401e-05,1.8159134661814678,0.013617766101588753
trigger_invariance,grasp_offset,0.05,0.625,8.759908661877239e-05,1.8305710299147941,0.01385553111962272
trigger_invariance,grasp_offset,0.05,0.65,8.76203439648282e-05,1.846333655289325,0.014190330257858496
trigger_invariance,grasp_offset,0.05,0.675,0.00011790848029667638,1.8631220085334688,0.014421100358107888
trigger_invariance,grasp_offset,0.05,0.7000000000000001,0.000276825433539123,1.8809309865664694,0.01456994987499142
trigger_invariance,grasp_offset,0.05,0.7250000000000001,0.0003773248278683147,1.899939672905754,0.014884595971762688
trigger_invariance,grasp_offset,0.05,0.75,0.00026842091269691415,1.9201391854251673,0.015623657998857557
trigger_invariance,grasp_offset,0.05,0.775,0.00017034643714897404,1.9414524459803681,0.016769373237592363
trigger_invariance,grasp_offset,0.05,0.8,0.00047505056718784294,1.964023020248595,0.017977963271644085
trigger_invariance,grasp_offset,0.05,0.8250000000000001,0.0005649849053179857,1.987909048971172,0.0188258333299303
trigger_invariance,grasp_offset,0.05,0.8500000000000001,0.00028371264139004235,2.01293647879241,0.019100395780293822
trigger_invariance,grasp_offset,0.05,0.875,0.0002480968911224559,2.038900593725245,0.018945390517682195
trigger_invariance,grasp_offset,0.05,0.9,0.0006495356708618945,2.0650536475341497,0.018785901373750552
trigger_invariance,grasp_offset,0.05,0.925,0.0006494050235815647,2.089088774137108,0.019016899057199832
trigger_invariance,grasp_offset,0.05,0.9500000000000001,0.0002453628774557241,2.1066352679540823,0.019643894530456806
trigger_invariance,grasp_offset,0.05,0.9750000000000001,0.00034811683842312014,2.1116160514127396,0.02025044120661515
trigger_invariance,grasp_offset,0.05,1.0,0.0004450732850173664,2.0985743316485963,0.020326785554008898
naive_bc,early_release,0.05,0.0,0.01913281360689741,1.550488382882746,0.11434326860397656
naive_bc,early_release,0.05,0.025,0.012995288315289982,1.6140739910499546,0.11667833780412828
naive_bc,early_release,0.05,0.05,0.009568712065875286,1.6502763866055798,0.11774594904948248
naive_bc,early_release,0.05,0.07500000000000001,0.007965226182460896,1.668001620570461,0.11748458001612745
naive_bc,early_release,0.05,0.1,0.008034855569374666,1.6758420472091324,0.11634701268669269
naive_bc,early_release,0.05,0.125,0.008369292351068298,1.6796363091732556,0.1156403129354982
naive_bc,early_release,0.05,0.15000000000000002,0.006662922092321399,1.6823832107023615,0.11727513305312577
naive_bc,early_release,0.05,0.17500000000000002,0.0020126763994325852,1.685072665193246,0.12246936936356911
naive_bc,early_release,0.05,0.2,0.00462960264370453,1.6880125663236076,0.13041688352588465
naive_bc,early_release,0.05,0.225,0.01007326433693462,1.691463892609935,0.13863188141129998
naive_bc,early_release,0.05,0.25,0.010871368589426608,1.6954157281933018,0.14473648369700107
naive_bc,early_release,0.05,0.275,0.005802437863289071,1.6997671195435047,0.14803780700969693
naive_bc,early_release,0.05,0.30000000000000004,0.01364793127829809,1.7046704597152826,0.14996414305900654
naive_bc,early_release,0.05,0.325,0.03235664915742186,1.7102006077305048,0.1533254370953143
naive_bc,early_release,0.05,0.35000000000000003,0.04837905143825813,1.7162307440009459,0.16095953481840983
naive_bc,early_release,0.05,0.375,0.05177283080201877,1.7228400377177535,0.17493289216404648
naive_bc,early_release,0.05,0.4,0.034191206526258046,1.73018545730196,0.19721258432453753
naive_bc,early_release,0.05,0.42500000000000004,0.010526636973793115,1.7381757301195817,0.23109870149792966
naive_bc,early_release,0.05,0.45,0.06800844974544107,1.7467992522598328,0.2815828158244081
naive_bc,early_release,0.05,0.47500000000000003,0.12620543573043552,1.756244794956857,0.35377571496719423
naive_bc,early_release,0.05,0.5,0.1546130713263288,1.7665017551388698,0.45073009154249144
naive_bc,early_release,0.05,0.525,0.11992950039783119,1.7774865062253082,0.5725784077815629
naive_bc,early_release,0.05,0.55,0.005658388908688312,1.789359557969139,0.7167030128515279
naive_bc,early_release,0.05,0.5750000000000001,0.2304278005577577,1.8022048631542256,0.876666279837796
naive_bc,early_release,0.05,0.6000000000000001,0.538436959606434,1.8159134661814678,1.0392821224117945
naive_bc,early_release,0.05,0.625,0.8841135880568418,1.8305710299147941,1.183482880830708
naive_bc,early_release,0.05,0.65,1.203194208758962,1.846333655289325,1.2853824977708872
naive_bc,early_release,0.05,0.675,1.4292416452136154,1.8631220085334688,1.328390749873606
naive_bc,early_release,0.05,0.7000000000000001,1.5126748391534302,1.8809309865664694,1.3114424661170885
naive_bc,early_release,0.05,0.7250000000000001,1.4350764980736757,1.899939672905754,1.2488625138824554
naive_bc,early_release,0.05,0.75,1.2140963687698951,1.9201391854251673,1.1617390931265663
naive_bc,early_release,0.05,0.775,0.897882277240984,1.9414524459803681,1.0671537983220885
naive_bc,early_release,0.05,0.8,0.5512656795536948,1.964023020248595,0.9722205783091348
naive_bc,early_release,0.05,0.8250000000000001,0.238172969408234,1.987909048971172,0.8749191862323245
naive_bc,early_release,0.05,0.8500000000000001,0.0064569721112371576,2.01293647879241,0.7695376781024337
naive_bc,early_release,0.05,0.875,0.1250902071110342,2.038900593725245,0.6533942724516345
naive_bc,early_release,0.05,0.9,0.15942485055081743,2.0650536475341497,0.5310510672203941
naive_bc,early_release,0.05,0.925,0.12156495629285258,2.089088774137108,0.4135382637653776
naive_bc,early_release,0.05,0.9500000000000001,0.04350110115042682,2.1066352679540823,0.31358612643185735
naive_bc,early_release,0.05,0.9750000000000001,0.045877384464642075,2.1116160514127396,0.24001404407678587
naive_bc,early_release,0.05,1.0,0.12499194526396482,2.0985743316485963,0.19388495227130345
phase_residual_filter,early_release,0.05,0.0,0.013048937067681543,1.550488382882746,0.01834265443210188
phase_residual_filter,early_release,0.05,0.025,0.011281589270878436,1.6140739910499546,0.019034166008337104
phase_residual_filter,early_release,0.05,0.05,0.009184181299089315,1.6502763866055798,0.01953143566899432
phase_residual_filter,early_release,0.05,0.07500000000000001,0.007063204908872029,1.668001620570461,0.019917828435158026
phase_residual_filter,early_release,0.05,0.1,0.005151366457856749,1.6758420472091324,0.020478711067483803
phase_residual_filter,early_release,0.05,0.125,0.0034643319467151323,1.6796363091732556,0.021760806908858538
phase_residual_filter,early_release,0.05,0.15000000000000002,0.001883145954302261,1.6823832107023615,0.024336577127632025
phase_residual_filter,early_release,0.05,0.17500000000000002,0.0006069265426308742,1.685072665193246,0.02831015864080885
