method,trial_seed,latency_scale,disturbance_scale,success,tracking_rmse,tail_tracking_rmse,final_error,boundary_discontinuity,p95_boundary_discontinuity,handoff_staleness,context_age_ms,rms_jerk,idle_fraction,deadline_miss_steps,simulated_first_action_latency_ms,configured_first_action_latency_ms,emitted_chunks,decoder_launches,decoder_sequential_passes,decoder_slot_updates,causal_pair_interactions
streaming_causal,1646785662,1.5,1.0,1.0,0.5000350370198058,0.17065673594542932,0.14462742562208836,0.041026721240104355,0.08045931919785376,0.0021592029138493975,55.172413793103445,12.75741757952299,0.03333333333333333,0,200.0,180.0,29,30,35,195,644
future_state_conditioned,1646785662,1.5,1.0,1.0,0.49737484458979153,0.1630937582634956,0.13586452475402247,0.16150580057906522,0.39819849717872396,0.005171158885996187,200.0,13.121820041512297,0.03333333333333333,0,200.0,180.0,29,30,180,180,0
isolated_n_step,1974937876,1.5,1.0,1.0,0.5042909367985787,0.17317725248194266,0.11786887091823411,0.3242190043714036,0.8500688381398046,0.27487254799717015,200.0,13.950213053740345,0.03333333333333333,0,200.0,180.0,29,30,180,180,0
few_step_distilled,1974937876,1.5,1.0,1.0,0.4683509601930464,0.1575051671676461,0.12795794432542426,0.38778376487531135,0.7098742975341236,0.09928533527795652,75.00000000000001,12.969627724510758,0.0125,0,75.00000000000001,60.0,30,30,60,60,0
streaming_no_causal,1974937876,1.5,1.0,0.0,0.5178390015529739,0.306034569840623,0.2547832756240787,0.2778440999476788,0.5950811560874849,0.07012626106153774,55.172413793103445,13.549678391703344,0.03333333333333333,0,200.0,180.0,29,30,35,195,0
streaming_causal,1974937876,1.5,1.0,1.0,0.5420722749488897,0.1694626076617571,0.12720675447395566,0.052437769680240824,0.11484411399968224,0.002265871015561921,55.172413793103445,12.66584252655533,0.03333333333333333,0,200.0,180.0,29,30,35,195,644
future_state_conditioned,1974937876,1.5,1.0,1.0,0.537075865663349,0.16683878866418092,0.11819626557900864,0.20556053580446113,0.5191863975045011,0.006486830188772673,200.0,13.175136806558756,0.03333333333333333,0,200.0,180.0,29,30,180,180,0
isolated_n_step,1944449151,1.5,1.0,0.0,0.4866802355614849,0.20796330250915412,0.23260917877566495,0.39177200559245806,1.0885090537025144,0.19618256729913516,200.0,14.898132389676816,0.03333333333333333,0,200.0,180.0,29,30,180,180,0
few_step_distilled,1944449151,1.5,1.0,0.0,0.45010502747136877,0.23684353842988445,0.22564428637685247,0.30782239848272813,0.7708287194520914,0.06764875826046762,75.00000000000001,13.221143861231116,0.0125,0,75.00000000000001,60.0,30,30,60,60,0
streaming_no_causal,1944449151,1.5,1.0,0.0,0.4912964615166387,0.2202031334941482,0.22848353399996024,0.40227940614608065,0.7465881399856268,0.05002694947513886,55.172413793103445,14.229543491537441,0.03333333333333333,0,200.0,180.0,29,30,35,195,0
