method,label,latency_scale,disturbance_scale,trials,success_mean,success_sem,tracking_rmse_mean,tracking_rmse_sem,tail_tracking_rmse_mean,tail_tracking_rmse_sem,final_error_mean,final_error_sem,boundary_discontinuity_mean,boundary_discontinuity_sem,p95_boundary_discontinuity_mean,p95_boundary_discontinuity_sem,handoff_staleness_mean,handoff_staleness_sem,context_age_ms_mean,context_age_ms_sem,rms_jerk_mean,rms_jerk_sem,idle_fraction_mean,idle_fraction_sem,deadline_miss_steps_mean,deadline_miss_steps_sem,simulated_first_action_latency_ms_mean,simulated_first_action_latency_ms_sem,emitted_chunks_mean,emitted_chunks_sem,decoder_sequential_passes_mean,decoder_sequential_passes_sem,decoder_slot_updates_mean,decoder_slot_updates_sem,causal_pair_interactions_mean,causal_pair_interactions_sem
streaming_no_causal,"Staggered, no coupling",1.0,1.8,48.0,0.20833333333333334,0.05923816975988693,0.4721257535196665,0.00285410752633878,0.2349180713668948,0.006055620233746249,0.20382156038658072,0.013766383948512062,0.322464335965038,0.006502684253063755,0.6656236989376704,0.01229229073463852,0.02725840084299952,0.00034269577747198253,28.33333333333334,5.182165505526888e-16,13.777351474338005,0.03686627516862647,0.020833333333333332,0.0,0.0,0.0,125.0,0.0,30.0,0.0,35.0,0.0,195.0,0.0,0.0,0.0
streaming_no_causal,"Staggered, no coupling",1.5,0.5,48.0,0.2916666666666667,0.06629996666059658,0.49151903770883526,0.0031624716361534884,0.23325448433020327,0.007135353512634981,0.19979062805055667,0.011395743118601573,0.31702654750838427,0.004726266707848178,0.6316228560765486,0.0199272382429639,0.053536251851106186,0.000815836519036145,55.17241379310344,1.0364331011053775e-15,13.720879498337231,0.03057933949768817,0.03333333333333333,0.0,0.0,0.0,200.0,0.0,29.0,0.0,35.0,0.0,195.0,0.0,0.0,0.0
streaming_no_causal,"Staggered, no coupling",1.5,1.0,48.0,0.20833333333333334,0.059238169759886924,0.4976675651136113,0.002893817548907339,0.24143479467689719,0.007443829122612717,0.2028013875517385,0.013878997826552213,0.3342500955642842,0.00720466882914952,0.6705870045038466,0.021012933879025524,0.054809796429198615,0.0009542949556766504,55.17241379310344,1.0364331011053775e-15,13.842311701882693,0.040200246007607146,0.03333333333333333,0.0,0.0,0.0,200.0,0.0,29.0,0.0,35.0,0.0,195.0,0.0,0.0,0.0
streaming_no_causal,"Staggered, no coupling",1.5,1.8,48.0,0.14583333333333334,0.05148145136372291,0.5066891956957414,0.003440790116179912,0.26086836154204013,0.008646576699935142,0.25164932083240316,0.01732450496893178,0.38142053787340463,0.006842043049102046,0.7520518951288743,0.01379398903339744,0.05392706454837579,0.000920369250927205,55.17241379310344,1.0364331011053775e-15,14.116610682041406,0.04189143176777166,0.03333333333333333,0.0,0.0,0.0,200.0,0.0,29.0,0.0,35.0,0.0,195.0,0.0,0.0,0.0
streaming_no_causal,"Staggered, no coupling",2.0,0.5,48.0,0.20833333333333334,0.05923816975988693,0.5017202795155461,0.002891985643042807,0.2337361302245113,0.0072448581851257575,0.20920627991707405,0.012342545583311913,0.3161258861887051,0.005026429183919437,0.6155463060614749,0.01788430870568723,0.05369858545104363,0.0010445180912736804,56.89655172413793,1.0364331011053775e-15,13.720245659099513,0.028308712789072214,0.041666666666666664,0.0,0.0,0.0,250.0,0.0,29.0,0.0,34.0,0.0,189.0,0.0,0.0,0.0
streaming_no_causal,"Staggered, no coupling",2.0,1.0,48.0,0.14583333333333334,0.05148145136372291,0.5060841924790924,0.003633220937830407,0.24088746310999262,0.007425780113301152,0.2021217397738019,0.013029679020576742,0.3288935719940895,0.005599990782757014,0.6727578833408602,0.01860332272323802,0.0536233520629576,0.0008624909352469191,56.89655172413793,1.0364331011053775e-15,13.831774274102044,0.03328736774409108,0.041666666666666664,0.0,0.0,0.0,250.0,0.0,29.0,0.0,34.0,0.0,189.0,0.0,0.0,0.0
streaming_no_causal,"Staggered, no coupling",2.0,1.8,48.0,0.22916666666666666,0.06130657275434797,0.526268511598738,0.0036702812287605353,0.25136257422449954,0.010979870811012028,0.23241646011985265,0.014603635923788534,0.3736679383044536,0.0075963577566985985,0.7420634782951891,0.017128486279314514,0.056960278150530674,0.0010653572601833177,56.89655172413793,1.0364331011053775e-15,14.074117392504156,0.04835469185235387,0.041666666666666664,0.0,0.0,0.0,250.0,0.0,29.0,0.0,34.0,0.0,189.0,0.0,0.0,0.0
streaming_causal,Staggered + causal coupling,1.0,0.5,48.0,0.8333333333333334,0.05436067275445351,0.4792639527636526,0.002699859008028839,0.15825185225059574,0.006261978956666353,0.12218988227981982,0.0067319638314711815,0.03334652539755831,0.0006931186691380868,0.06475987158695289,0.0019549399749540517,0.0012724631050664674,1.6649952561477317e-05,28.33333333333334,5.182165505526888e-16,12.683844013900412,0.009415525059148484,0.020833333333333332,0.0,0.0,0.0,125.0,0.0,30.0,0.0,35.0,0.0,195.0,0.0,644.0,0.0
streaming_causal,Staggered + causal coupling,1.0,1.0,48.0,0.6458333333333334,0.06976139255528775,0.4801657792383411,0.0030629760161638105,0.1803065468400836,0.006924574718759838,0.13767786073765764,0.009767246949161812,0.04317606469518887,0.000745495060314088,0.10455723572212472,0.003043286734394942,0.0015068630048730844,2.0328895376961633e-05,28.33333333333334,5.182165505526888e-16,12.724870820015283,0.011315440779537193,0.020833333333333332,0.0,0.0,0.0,125.0,0.0,30.0,0.0,35.0,0.0,195.0,0.0,644.0,0.0
streaming_causal,Staggered + causal coupling,1.0,1.8,48.0,0.4166666666666667,0.07191241060522428,0.49059747795042324,0.002755631840962112,0.20173578269933912,0.008559447566155643,0.13858583152688608,0.009039976979752453,0.060172834204783816,0.0008957070943377643,0.1709543086561477,0.004225839385228123,0.0019853070619253975,3.283322912561762e-05,28.33333333333334,5.182165505526888e-16,12.781975960844845,0.00867801113277233,0.020833333333333332,0.0,0.0,0.0,125.0,0.0,30.0,0.0,35.0,0.0,195.0,0.0,644.0,0.0
