method,delay,trial,tracking_rmse,tail_tracking_rmse,final_error,success,handoff_action_jump,proprio_context_error,latent_context_rmse,handoff_policy_error,control_effort
state_correction,0,6,1.110790835516159,0.5760126654254267,0.6733750444748455,1.0,0.8424047466201825,0.0,0.0,0.0,5.078049949780933
obs_transport,0,6,1.110790835516159,0.5760126654254267,0.6733750444748455,1.0,0.8424047466201825,0.0,0.0,0.0,5.078049949780933
obs_innovation,0,6,1.110790835516159,0.5760126654254267,0.6733750444748455,1.0,0.8424047466201825,0.0,0.0,0.0,5.078049949780933
policy_consistency,0,6,1.110790835516159,0.5760126654254267,0.6733750444748455,1.0,0.8424047466201825,0.0,0.0,0.0,5.078049949780933
oracle_fresh,0,7,1.1539037187746453,0.6782429542662909,0.43894475210979167,1.0,0.8104472859731573,0.0,0.0,0.0,5.628875110345156
naive_stale,0,7,1.1539037187746453,0.6782429542662909,0.43894475210979167,1.0,0.8104472859731573,0.0,0.0,0.0,5.628875110345156
state_rollout,0,7,1.1539037187746453,0.6782429542662909,0.43894475210979167,1.0,0.8104472859731573,0.0,0.0,0.0,5.628875110345156
state_correction,0,7,1.1539037187746453,0.6782429542662909,0.43894475210979167,1.0,0.8104472859731573,0.0,0.0,0.0,5.628875110345156
obs_transport,0,7,1.1539037187746453,0.6782429542662909,0.43894475210979167,1.0,0.8104472859731573,0.0,0.0,0.0,5.628875110345156
obs_innovation,0,7,1.1539037187746453,0.6782429542662909,0.43894475210979167,1.0,0.8104472859731573,0.0,0.0,0.0,5.628875110345156
policy_consistency,0,7,1.1539037187746453,0.6782429542662909,0.43894475210979167,1.0,0.8104472859731573,0.0,0.0,0.0,5.628875110345156
oracle_fresh,0,8,1.0251134814393494,0.6874820073510588,0.7470455556435147,1.0,0.9508214494151846,0.0,0.0,0.0,3.63552938477206
naive_stale,0,8,1.0251134814393494,0.6874820073510588,0.7470455556435147,1.0,0.9508214494151846,0.0,0.0,0.0,3.63552938477206
state_rollout,0,8,1.0251134814393494,0.6874820073510588,0.7470455556435147,1.0,0.9508214494151846,0.0,0.0,0.0,3.63552938477206
state_correction,0,8,1.0251134814393494,0.6874820073510588,0.7470455556435147,1.0,0.9508214494151846,0.0,0.0,0.0,3.63552938477206
obs_transport,0,8,1.0251134814393494,0.6874820073510588,0.7470455556435147,1.0,0.9508214494151846,0.0,0.0,0.0,3.63552938477206
obs_innovation,0,8,1.0251134814393494,0.6874820073510588,0.7470455556435147,1.0,0.9508214494151846,0.0,0.0,0.0,3.63552938477206
policy_consistency,0,8,1.0251134814393494,0.6874820073510588,0.7470455556435147,1.0,0.9508214494151846,0.0,0.0,0.0,3.63552938477206
oracle_fresh,0,9,1.057064251622297,0.6437286131209693,0.5467491943114335,1.0,0.9552883105886224,0.0,0.0,0.0,4.204496617225816
naive_stale,0,9,1.057064251622297,0.6437286131209693,0.5467491943114335,1.0,0.9552883105886224,0.0,0.0,0.0,4.204496617225816
state_rollout,0,9,1.057064251622297,0.6437286131209693,0.5467491943114335,1.0,0.9552883105886224,0.0,0.0,0.0,4.204496617225816
state_correction,0,9,1.057064251622297,0.6437286131209693,0.5467491943114335,1.0,0.9552883105886224,0.0,0.0,0.0,4.204496617225816
obs_transport,0,9,1.057064251622297,0.6437286131209693,0.5467491943114335,1.0,0.9552883105886224,0.0,0.0,0.0,4.204496617225816
obs_innovation,0,9,1.057064251622297,0.6437286131209693,0.5467491943114335,1.0,0.9552883105886224,0.0,0.0,0.0,4.204496617225816
policy_consistency,0,9,1.057064251622297,0.6437286131209693,0.5467491943114335,1.0,0.9552883105886224,0.0,0.0,0.0,4.204496617225816
oracle_fresh,0,10,1.1151258293859851,0.7033995415553627,0.647150237638695,1.0,0.8808196374981553,0.0,0.0,0.0,4.97152142798996
naive_stale,0,10,1.1151258293859851,0.7033995415553627,0.647150237638695,1.0,0.8808196374981553,0.0,0.0,0.0,4.97152142798996
state_rollout,0,10,1.1151258293859851,0.7033995415553627,0.647150237638695,1.0,0.8808196374981553,0.0,0.0,0.0,4.97152142798996
state_correction,0,10,1.1151258293859851,0.7033995415553627,0.647150237638695,1.0,0.8808196374981553,0.0,0.0,0.0,4.97152142798996
obs_transport,0,10,1.1151258293859851,0.7033995415553627,0.647150237638695,1.0,0.8808196374981553,0.0,0.0,0.0,4.97152142798996
obs_innovation,0,10,1.1151258293859851,0.7033995415553627,0.647150237638695,1.0,0.8808196374981553,0.0,0.0,0.0,4.97152142798996
policy_consistency,0,10,1.1151258293859851,0.7033995415553627,0.647150237638695,1.0,0.8808196374981553,0.0,0.0,0.0,4.97152142798996
oracle_fresh,0,11,0.952519956431834,0.6325817494709477,0.4048297755779168,1.0,0.7049557591873448,0.0,0.0,0.0,4.599676002312921
naive_stale,0,11,0.952519956431834,0.6325817494709477,0.4048297755779168,1.0,0.7049557591873448,0.0,0.0,0.0,4.599676002312921
state_rollout,0,11,0.952519956431834,0.6325817494709477,0.4048297755779168,1.0,0.7049557591873448,0.0,0.0,0.0,4.599676002312921
state_correction,0,11,0.952519956431834,0.6325817494709477,0.4048297755779168,1.0,0.7049557591873448,0.0,0.0,0.0,4.599676002312921
obs_transport,0,11,0.952519956431834,0.6325817494709477,0.4048297755779168,1.0,0.7049557591873448,0.0,0.0,0.0,4.599676002312921
obs_innovation,0,11,0.952519956431834,0.6325817494709477,0.4048297755779168,1.0,0.7049557591873448,0.0,0.0,0.0,4.599676002312921
policy_consistency,0,11,0.952519956431834,0.6325817494709477,0.4048297755779168,1.0,0.7049557591873448,0.0,0.0,0.0,4.599676002312921
oracle_fresh,0,12,1.0280195071983638,0.576362359969226,0.6171659021308823,1.0,0.8799296008288677,0.0,0.0,0.0,3.7589114962504335
naive_stale,0,12,1.0280195071983638,0.576362359969226,0.6171659021308823,1.0,0.8799296008288677,0.0,0.0,0.0,3.7589114962504335
state_rollout,0,12,1.0280195071983638,0.576362359969226,0.6171659021308823,1.0,0.8799296008288677,0.0,0.0,0.0,3.7589114962504335
state_correction,0,12,1.0280195071983638,0.576362359969226,0.6171659021308823,1.0,0.8799296008288677,0.0,0.0,0.0,3.7589114962504335
obs_transport,0,12,1.0280195071983638,0.576362359969226,0.6171659021308823,1.0,0.8799296008288677,0.0,0.0,0.0,3.7589114962504335
obs_innovation,0,12,1.0280195071983638,0.576362359969226,0.6171659021308823,1.0,0.8799296008288677,0.0,0.0,0.0,3.7589114962504335
policy_consistency,0,12,1.0280195071983638,0.576362359969226,0.6171659021308823,1.0,0.8799296008288677,0.0,0.0,0.0,3.7589114962504335
oracle_fresh,0,13,1.0068226293245395,0.6901404154215979,0.522105044213698,1.0,0.8453812058744022,0.0,0.0,0.0,4.518724543933378
naive_stale,0,13,1.0068226293245395,0.6901404154215979,0.522105044213698,1.0,0.8453812058744022,0.0,0.0,0.0,4.518724543933378
state_rollout,0,13,1.0068226293245395,0.6901404154215979,0.522105044213698,1.0,0.8453812058744022,0.0,0.0,0.0,4.518724543933378
state_correction,0,13,1.0068226293245395,0.6901404154215979,0.522105044213698,1.0,0.8453812058744022,0.0,0.0,0.0,4.518724543933378
