trial,method,success,collision,timed_out,duration_s,min_clearance,ood_fraction,path_error_mean,path_error_max,jerk_proxy
trial_027,reactive_cbf_like,1,0,0,6.230,0.1064,0.0000,0.0059,0.0267,0.9221
trial_027,pacs_time_law,1,0,0,5.425,0.1381,0.0000,0.0003,0.0008,0.5751
trial_028,nominal,0,1,0,4.340,-0.1017,0.0000,0.0003,0.0007,0.0000
trial_028,reactive_cbf_like,1,0,0,6.510,0.0588,0.2834,0.0172,0.0561,4.9089
trial_028,pacs_time_law,1,0,0,6.825,0.1987,0.0000,0.0002,0.0008,0.5354
trial_029,nominal,0,1,0,4.340,-0.0622,0.0000,0.0003,0.0007,0.0000
trial_029,reactive_cbf_like,1,0,0,6.195,0.0649,0.0000,0.0045,0.0233,1.0188
trial_029,pacs_time_law,1,0,0,5.740,0.1999,0.0000,0.0003,0.0008,0.5933
trial_030,nominal,0,1,0,4.340,-0.1000,0.0000,0.0003,0.0007,0.0000
trial_030,reactive_cbf_like,1,0,0,6.475,0.0346,0.2634,0.0157,0.0530,4.2831
trial_030,pacs_time_law,1,0,0,6.300,0.1987,0.0000,0.0002,0.0008,0.6515
trial_031,nominal,0,1,0,4.340,-0.0520,0.0000,0.0003,0.0007,0.0000
trial_031,reactive_cbf_like,1,0,0,6.930,0.0196,0.3367,0.0218,0.0698,5.1741
trial_031,pacs_time_law,1,0,0,6.510,0.0986,0.0000,0.0003,0.0007,0.4788
trial_032,nominal,0,1,0,4.340,-0.1533,0.0000,0.0003,0.0007,0.0000
trial_032,reactive_cbf_like,0,1,0,6.650,-0.0290,0.0000,0.0082,0.0321,1.2092
trial_032,pacs_time_law,1,0,0,6.755,0.1990,0.0000,0.0003,0.0007,0.5165
trial_033,nominal,0,1,0,4.340,-0.0614,0.0000,0.0003,0.0007,0.0000
trial_033,reactive_cbf_like,0,1,0,5.915,-0.1143,0.5000,0.0408,0.1327,13.3360
trial_033,pacs_time_law,1,0,0,6.895,0.1292,0.0000,0.0002,0.0007,0.5539
trial_034,nominal,0,1,0,4.340,-0.0054,0.0000,0.0003,0.0007,0.0000
