ablation,value,safe_set,seed,interactions,interaction_auc,chain_success,catch_success,control_error,prediction_error,transition_margin,p10_transition_margin,unsafe_command_rate,raw_unsafe_proposal_rate,violation_rate,filter_intervention_rate,mean_confidence,mean_correction_norm
regularization,0.16,1,42,12,0.5,1.0,1.0,0.1165545015454507,0.11655487337708022,0.368293468444225,0.26220604520907,0.0,0.0,0.0,0.0,0.4125892061689847,0.21279605782136168
regularization,0.16,1,43,12,0.5,1.0,1.0,0.1268841084645277,0.12688433634962273,0.35620438208250726,0.21644506931818916,0.0,0.0,0.0,0.0,0.3964663479585485,0.18588691492228224
regularization,1.5,1,41,12,0.5138888888888888,1.0,1.0,0.16884550052291616,0.16884570069341126,0.31034390722136035,0.1580390076990399,0.0,0.0,0.0,0.0,0.4085265060878372,0.15257803258302982
regularization,1.5,1,42,12,0.5,1.0,1.0,0.14743185575438794,0.14743208451463463,0.33408674005288164,0.22191193653357053,0.0,0.0,0.0,0.0,0.41317402934477726,0.1805511232953379
regularization,1.5,1,43,12,0.5,1.0,1.0,0.15611358825842905,0.1561137297862198,0.32408543739578216,0.17883048635155938,0.0,0.0,0.0,0.0,0.3971326178567058,0.15581305590434294
regularization,8.0,1,41,12,0.5,0.99,0.998,0.23908687612092006,0.23908689374521544,0.2333499785311435,0.05847179162885577,0.0,0.0,0.0,0.0,0.4098104010800539,0.08668524170413829
regularization,8.0,1,42,12,0.5,1.0,1.0,0.22632273852278217,0.22632278092700986,0.24724095262634388,0.10669487541149933,0.0,0.0,0.0,0.0,0.41396189119401616,0.10625109009077027
regularization,8.0,1,43,12,0.5,1.0,1.0,0.22699969541134352,0.22699971795607204,0.24649640762082123,0.07328846313738001,0.0,0.0,0.0,0.0,0.3977430188057903,0.08957002278798709
regularization,40.0,1,41,12,0.013888888888888888,0.26,0.792,0.30377969111420255,0.3037796910656118,0.16275041983003996,-0.05187997027402029,0.0,0.0,0.0,0.0,0.40965155557003846,0.02802566603416751
regularization,40.0,1,42,12,0.027777777777777776,0.4,0.85,0.3045157613979895,0.30451576169096256,0.16156277796924567,-0.02466191081559174,0.0,0.0,0.0,0.0,0.4133048077267147,0.03544020438596353
regularization,40.0,1,43,12,0.013888888888888888,0.33,0.814,0.2937323409352588,0.29373234098915585,0.1737707430148773,-0.043438337295123794,0.0,0.0,0.0,0.0,0.3969720531006028,0.029330514039988834
safe_set,0,0,41,12,0.5138888888888888,1.0,1.0,0.1399531045668316,0.13995350858283,0.3422440233765321,0.19427784303621007,0.0,0.0,0.0,0.0,0.407553716116266,0.18253254940895122
safe_set,0,0,42,12,0.5,1.0,1.0,0.1165545015454507,0.11655487337708022,0.368293468444225,0.26220604520907,0.0,0.0,0.0,0.0,0.4125892061689847,0.21279605782136168
safe_set,0,0,43,12,0.5,1.0,1.0,0.1268841084645277,0.12688433634962273,0.35620438208250726,0.21644506931818916,0.0,0.0,0.0,0.0,0.3964663479585485,0.18588691492228224
safe_set,1,1,41,12,0.5138888888888888,1.0,1.0,0.1399531045668316,0.13995350858283,0.3422440233765321,0.19427784303621007,0.0,0.0,0.0,0.0,0.407553716116266,0.18253254940895122
safe_set,1,1,42,12,0.5,1.0,1.0,0.1165545015454507,0.11655487337708022,0.368293468444225,0.26220604520907,0.0,0.0,0.0,0.0,0.4125892061689847,0.21279605782136168
safe_set,1,1,43,12,0.5,1.0,1.0,0.1268841084645277,0.12688433634962273,0.35620438208250726,0.21644506931818916,0.0,0.0,0.0,0.0,0.3964663479585485,0.18588691492228224
