method,safe_set,seed,samples,interaction_auc,interactions_to_70,adapt_chain_success,adapt_catch_success,adapt_control_error,adapt_prediction_error,adapt_transition_margin,adapt_p10_transition_margin,adapt_unsafe_command_rate,adapt_raw_unsafe_proposal_rate,adapt_violation_rate,adapt_filter_intervention_rate,adapt_mean_confidence,adapt_mean_correction_norm,source_chain_success,source_catch_success,source_control_error,source_prediction_error,source_transition_margin,source_p10_transition_margin,source_unsafe_command_rate,source_raw_unsafe_proposal_rate,source_violation_rate,source_filter_intervention_rate,source_mean_confidence,source_mean_correction_norm,ood_chain_success,ood_catch_success,ood_control_error,ood_prediction_error,ood_transition_margin,ood_p10_transition_margin,ood_unsafe_command_rate,ood_raw_unsafe_proposal_rate,ood_violation_rate,ood_filter_intervention_rate,ood_mean_confidence,ood_mean_correction_norm,source_chain_retention,source_control_retention
residual_finetune,0,45,240,0.9270833333333334,20.0,0.94,0.988,0.06271951538576839,0.028900189324117996,0.43070094702368833,0.3491861159390055,0.044,0.044,0.004,0.0,1.0,0.42432189291443434,0.0,0.414,0.6342722863291186,0.9088270476294743,-0.23191484223312653,-1.0801014165478384,0.418,0.418,0.452,0.0,1.0,0.8806702918289302,0.24,0.788,0.31890730173948173,0.3441800046149751,0.1278662876441088,-0.1947458458061977,0.124,0.124,0.102,0.0,1.0,0.36273788532451123,-1.0,-0.56201623339838
residual_finetune,1,41,240,0.9583333333333334,20.0,1.0,1.0,0.04217167688907585,0.03174920365385191,0.45220022463655196,0.41963995422441475,0.0,0.006,0.0,0.006,1.0,0.42688412530887554,0.02,0.56,0.4051014914492657,0.6260341614538988,0.030189795617717594,-0.4658820148388811,0.014,0.296,0.324,0.296,1.0,0.6038681602253515,0.37,0.81,0.34871624113759614,0.3371802690583855,0.10848425553084545,-0.03320532567702218,0.0,0.15,0.0,0.15,1.0,0.36355855500773554,-0.98,-0.3297692926807652
residual_finetune,1,42,240,0.9583333333333334,20.0,1.0,1.0,0.04316091069973086,0.029944883247592258,0.4517967849187413,0.39561559530111245,0.0,0.014,0.0,0.014,1.0,0.4352628536949067,0.02,0.536,0.42996647090784423,0.7658189891049392,0.0076110495115218595,-0.45630084771361673,0.054,0.48,0.31,0.48,1.0,0.7137529585971467,0.12,0.692,0.3390441958625908,0.4094463228304475,0.10007718467269948,-0.18318897885063629,0.0,0.18,0.102,0.18,1.0,0.41959550240694077,-0.98,-0.35393191272371705
residual_finetune,1,43,240,0.9537037037037038,20.0,0.99,0.998,0.06708241579647539,0.03140591606078208,0.42588166972343816,0.2993007587640899,0.0,0.058,0.002,0.058,1.0,0.4282234574914924,0.03,0.46,0.45987467350691474,0.8318626890975306,-0.038646565500605544,-0.5830378868421344,0.14,0.57,0.4,0.57,1.0,0.7639917502635237,0.06,0.588,0.3931945461250389,0.48928507244657227,0.04395482839847845,-0.16180556329731854,0.0,0.37,0.076,0.37,1.0,0.4974584291824623,-0.97,-0.3847380226789462
residual_finetune,1,44,240,0.9537037037037038,20.0,0.96,0.992,0.051293417048618846,0.03865280995650299,0.44188011655291637,0.3760815524101853,0.0,0.016,0.0,0.016,1.0,0.4240521013642939,0.03,0.542,0.4264625743067516,0.8075173827455902,0.008267965135413615,-0.4967964534842329,0.088,0.576,0.322,0.576,1.0,0.7491995104024727,0.59,0.904,0.2458059085133464,0.2596739985824448,0.2162640726701859,0.005599181367491882,0.0,0.052,0.01,0.052,1.0,0.28495416391026507,-0.97,-0.3513828037191775
residual_finetune,1,45,240,0.9560185185185186,20.0,1.0,1.0,0.056606767845985444,0.029947135438719002,0.43737924633493136,0.3503067820072446,0.0,0.048,0.0,0.048,1.0,0.42873741433629015,0.01,0.528,0.4282485681532254,0.642203457433872,0.009852092606448952,-0.4346871444644483,0.038,0.318,0.344,0.318,1.0,0.6084342770807863,0.35,0.844,0.27860997761536066,0.2943344576570921,0.17638186803962083,-0.058159710404030424,0.0,0.098,0.022,0.098,1.0,0.315845715797107,-0.99,-0.35599251522248676
nearest_memory,0,41,240,0.9583333333333334,20.0,1.0,1.0,0.018827235933588055,0.018771955269561602,0.47875804353861356,0.46504625580624825,0.0,0.0,0.0,0.0,1.0,0.4404956460100324,1.0,1.0,0.22060485378027261,0.22060485389335527,0.24675779103303483,0.191804185354922,0.0,0.0,0.0,0.0,1.0,0.2863298892754799,1.0,1.0,0.26041266038021377,0.2604126609199396,0.21298727210948856,0.1783818550218623,0.0,0.0,0.0,0.0,1.0,0.305230343255915,0.0,-0.1452726550117721
nearest_memory,0,42,240,0.9583333333333334,20.0,1.0,1.0,0.0215619368881201,0.021559818906324333,0.4755439054341396,0.4564684305745804,0.0,0.0,0.0,0.0,1.0,0.44366249908594896,1.0,1.0,0.1726482535030975,0.17265700205080534,0.3034886300312384,0.2571933950322904,0.0,0.0,0.0,0.0,1.0,0.2402664004140794,1.0,1.0,0.23772284233584656,0.2377228426756804,0.2384760114413407,0.20417456229603004,0.0,0.0,0.0,0.0,1.0,0.28286156614517266,0.0,-0.09661369531897032
nearest_memory,0,43,240,0.9583333333333334,20.0,1.0,1.0,0.023762297405350467,0.023788600075949094,0.4732865425998874,0.4391055588703509,0.0,0.0,0.0,0.0,1.0,0.44673785668992194,1.0,1.0,0.21841554913905653,0.2183997559265152,0.24764644149970963,0.19230754653704515,0.0,0.0,0.0,0.0,1.0,0.2842227589899095,1.0,1.0,0.28832765070173305,0.28821535293572226,0.18116167861293558,0.13866215288862133,0.0,0.0,0.0,0.0,1.0,0.3354976228148646,0.0,-0.14327889831108798
nearest_memory,0,44,240,0.9583333333333334,20.0,1.0,1.0,0.029282867663194146,0.029284174150495907,0.4668904318051207,0.42589879978401546,0.0,0.0,0.0,0.0,1.0,0.4374328336346274,1.0,1.0,0.21587885214200447,0.21586888250186945,0.2539258742023559,0.21168570349455174,0.0,0.0,0.0,0.0,1.0,0.2812721857346614,1.0,1.0,0.24587493606605484,0.245801896099417,0.22915028727700157,0.18608900471960926,0.0,0.0,0.0,0.0,1.0,0.291770986305474,0.0,-0.14079908155443036
nearest_memory,0,45,240,0.9583333333333334,20.0,1.0,1.0,0.0216973112563156,0.021735302783568052,0.47550114506452595,0.46045431766049605,0.0,0.0,0.0,0.0,1.0,0.4342979074427974,1.0,1.0,0.15525037033458938,0.15525044676851912,0.3227112339362495,0.27276397695016563,0.0,0.0,0.0,0.0,1.0,0.2198575295223254,1.0,1.0,0.2620957658566225,0.26209576601020196,0.2114662467340936,0.17657582443264,0.0,0.0,0.0,0.0,1.0,0.30644897889491607,0.0,-0.0829943174038508
nearest_memory,1,41,240,0.9583333333333334,20.0,1.0,1.0,0.018827167588423687,0.018771880709306323,0.4787579882436969,0.4650463201455872,0.0,0.0,0.0,0.0,1.0,0.44049494501751474,1.0,1.0,0.22058290406230832,0.22058290416767634,0.2467815076890682,0.1918024622393013,0.0,0.0,0.0,0.0,1.0,0.28630885143704193,1.0,1.0,0.26040813304002564,0.2604081335801467,0.2129913627987501,0.17838819229834876,0.0,0.0,0.0,0.0,1.0,0.3052256961208199,0.0,-0.1452507052938078
nearest_memory,1,42,240,0.9583333333333334,20.0,1.0,1.0,0.0215619368881201,0.021559818906324333,0.4755439054341396,0.4564684305745804,0.0,0.0,0.0,0.0,1.0,0.44366249908594896,1.0,1.0,0.1726482535030975,0.17265700205080534,0.3034886300312384,0.2571933950322904,0.0,0.0,0.0,0.0,1.0,0.2402664004140794,1.0,1.0,0.23772284233584656,0.2377228426756804,0.2384760114413407,0.20417456229603004,0.0,0.0,0.0,0.0,1.0,0.28286156614517266,0.0,-0.09661369531897032
nearest_memory,1,43,240,0.9583333333333334,20.0,1.0,1.0,0.023762297405350467,0.023788600075949094,0.4732865425998874,0.4391055588703509,0.0,0.0,0.0,0.0,1.0,0.44673785668992194,1.0,1.0,0.21841554913905653,0.2183997559265152,0.24764644149970963,0.19230754653704515,0.0,0.0,0.0,0.0,1.0,0.2842227589899095,1.0,1.0,0.28832765070173305,0.28821535293572226,0.18116167861293558,0.13866215288862133,0.0,0.0,0.0,0.0,1.0,0.3354976228148646,0.0,-0.14327889831108798
nearest_memory,1,44,240,0.9583333333333334,20.0,1.0,1.0,0.029282867663194146,0.029284174150495907,0.4668904318051207,0.42589879978401546,0.0,0.0,0.0,0.0,1.0,0.4374328336346274,1.0,1.0,0.21587885214200447,0.21586888250186945,0.2539258742023559,0.21168570349455174,0.0,0.0,0.0,0.0,1.0,0.2812721857346614,1.0,1.0,0.24587493606605484,0.245801896099417,0.22915028727700157,0.18608900471960926,0.0,0.0,0.0,0.0,1.0,0.291770986305474,0.0,-0.14079908155443036
nearest_memory,1,45,240,0.9583333333333334,20.0,1.0,1.0,0.0216973112563156,0.021735302783568052,0.47550114506452595,0.46045431766049605,0.0,0.0,0.0,0.0,1.0,0.4342979074427974,1.0,1.0,0.15525037033458938,0.15525044676851912,0.3227112339362495,0.27276397695016563,0.0,0.0,0.0,0.0,1.0,0.2198575295223254,1.0,1.0,0.2620957658566225,0.26209576601020196,0.2114662467340936,0.17657582443264,0.0,0.0,0.0,0.0,1.0,0.30644897889491607,0.0,-0.0829943174038508
local_residual,0,41,240,0.9583333333333334,20.0,1.0,1.0,0.0718416233661592,0.07184161067366866,0.41771711604484474,0.3864027993736582,0.0,0.0,0.0,0.0,0.9573049842414036,0.42151727637955616,1.0,1.0,0.21571985043180286,0.21572900983641297,0.25628612568700654,0.21180881498940657,0.0,0.0,0.0,0.0,0.6755033190362225,0.2797484787120551,1.0,1.0,0.1778351725487871,0.17784064652929274,0.29745040191942984,0.22779799378797674,0.0,0.0,0.0,0.0,0.5270664599253543,0.22051097156936522,0.0,-0.14038765166330236
local_residual,0,42,240,0.9583333333333334,20.0,1.0,1.0,0.06976141844027424,0.06976147673345784,0.42044163359247005,0.38021842439196296,0.0,0.0,0.0,0.0,0.95619550506578,0.42758384668921257,1.0,1.0,0.2233693459207135,0.22337158630930615,0.2480895290289457,0.2088659195271795,0.0,0.0,0.0,0.0,0.7125502655260045,0.2878665960927485,1.0,1.0,0.18020804424322046,0.1802150859580554,0.2947365908833915,0.22714642338665653,0.0,0.0,0.0,0.0,0.5416339511367321,0.2226175720807668,0.0,-0.14733478773658631
local_residual,0,43,240,0.9583333333333334,20.0,1.0,1.0,0.06869994718392042,0.06869995231771452,0.4217788271501017,0.3770902589547734,0.0,0.0,0.0,0.0,0.9572705241759243,0.4329034693315542,1.0,1.0,0.212027994608181,0.2120355848944412,0.2609515141620893,0.22137401855689812,0.0,0.0,0.0,0.0,0.651303691584486,0.27604904217761317,1.0,1.0,0.16997094088112044,0.16997571196338815,0.3057219050411201,0.23623064583619044,0.0,0.0,0.0,0.0,0.5031723642010898,0.21557925284837812,0.0,-0.13689134378021245
local_residual,0,44,240,0.9583333333333334,20.0,1.0,1.0,0.07704102086381097,0.07704103650424585,0.41229909603701037,0.3451766868673318,0.0,0.0,0.0,0.0,0.9532856845293163,0.4248611250227609,1.0,1.0,0.24388180187896166,0.24388358771268318,0.22519050898861723,0.1888086400064237,0.0,0.0,0.0,0.0,0.734859646920868,0.3071177686924805,1.0,1.0,0.1844553581163372,0.18445942435357765,0.29020424936143013,0.22162821592470053,0.0,0.0,0.0,0.0,0.548126283930218,0.22783367598873638,0.0,-0.16880203129138754
local_residual,0,45,240,0.9583333333333334,20.0,1.0,1.0,0.06953988302636561,0.06953986222632082,0.42085206923912893,0.3822585546042249,0.0,0.0,0.0,0.0,0.9561475209515938,0.4250806947926462,1.0,1.0,0.2322401832496272,0.2322504676202764,0.23769062334624466,0.20293773224081402,0.0,0.0,0.0,0.0,0.7258759037664643,0.2932186442290891,1.0,1.0,0.18885337700867547,0.18885648108328698,0.28528836072121727,0.2179295934780435,0.0,0.0,0.0,0.0,0.5512311472735213,0.23095661120475006,0.0,-0.1599841303188886
local_residual,1,41,240,0.9583333333333334,20.0,1.0,1.0,0.0718416233661592,0.07184161067366866,0.41771711604484474,0.3864027993736582,0.0,0.0,0.0,0.0,0.9573049842414036,0.42151727637955616,1.0,1.0,0.21571985043180286,0.21572900983641297,0.25628612568700654,0.21180881498940657,0.0,0.0,0.0,0.0,0.6755033190362225,0.2797484787120551,1.0,1.0,0.1778351725487871,0.17784064652929274,0.29745040191942984,0.22779799378797674,0.0,0.0,0.0,0.0,0.5270664599253543,0.22051097156936522,0.0,-0.14038765166330236
local_residual,1,42,240,0.9583333333333334,20.0,1.0,1.0,0.06976141844027424,0.06976147673345784,0.42044163359247005,0.38021842439196296,0.0,0.0,0.0,0.0,0.95619550506578,0.42758384668921257,1.0,1.0,0.2233693459207135,0.22337158630930615,0.2480895290289457,0.2088659195271795,0.0,0.0,0.0,0.0,0.7125502655260045,0.2878665960927485,1.0,1.0,0.18020804424322046,0.1802150859580554,0.2947365908833915,0.22714642338665653,0.0,0.0,0.0,0.0,0.5416339511367321,0.2226175720807668,0.0,-0.14733478773658631
