method,safe_set,seed,interactions,chain_success,catch_success,control_error,prediction_error,transition_margin,p10_transition_margin,unsafe_command_rate,raw_unsafe_proposal_rate,violation_rate,filter_intervention_rate,mean_confidence,mean_correction_norm
global_replacement,0,43,180,1.0,1.0,0.05470477312857585,0.0387851197594093,0.4388255493150046,0.396618776641263,0.016666666666666666,0.016666666666666666,0.0,0.0,1.0,0.4361064312500168
global_replacement,0,43,200,1.0,1.0,0.05013058469399893,0.03950403423963435,0.4434830575162259,0.39579606571674214,0.011111111111111112,0.011111111111111112,0.0,0.0,1.0,0.4401730299846583
global_replacement,0,43,220,1.0,1.0,0.046536056099870195,0.03500243413632471,0.44736030240399094,0.4027429226522877,0.005555555555555556,0.005555555555555556,0.0,0.0,1.0,0.4467761205717725
global_replacement,0,43,240,1.0,1.0,0.04932660419993347,0.03538179779150699,0.44481945336486006,0.3911306385292412,0.011111111111111112,0.011111111111111112,0.0,0.0,1.0,0.4419087894896904
global_replacement,0,44,0,0.0,0.34444444444444444,0.4722013984574439,0.4722013984574439,-0.023449877669328135,-0.13465593523117037,0.0,0.0,0.005555555555555556,0.0,0.0,0.0
global_replacement,0,44,20,1.0,1.0,0.08892619719835268,0.08257434159304111,0.40149449255414393,0.3371026330243187,0.0,0.0,0.0,0.0,1.0,0.394476337342751
global_replacement,0,44,40,1.0,1.0,0.05301103129477323,0.047352718798340694,0.4404242161710643,0.384960194110415,0.005555555555555556,0.005555555555555556,0.0,0.0,1.0,0.42742446034931564
global_replacement,0,44,60,1.0,1.0,0.04967349283305616,0.04449361569148809,0.44385351825794417,0.3963375468140203,0.0,0.0,0.0,0.0,1.0,0.4278051846846511
global_replacement,0,44,80,1.0,1.0,0.046101154746611445,0.038018729497345354,0.4480577212228145,0.3975553159595379,0.005555555555555556,0.005555555555555556,0.0,0.0,1.0,0.41943406314406767
global_replacement,0,44,100,1.0,1.0,0.04649204869413557,0.04280107847950571,0.44707079294603136,0.3899715215880967,0.0,0.0,0.0,0.0,1.0,0.4290942406717011
global_replacement,0,44,120,1.0,1.0,0.04252842692834446,0.03712906416305078,0.4519122515338037,0.4026079573264401,0.0,0.0,0.0,0.0,1.0,0.4267394995777222
global_replacement,0,44,140,1.0,1.0,0.03969745865768047,0.03558032219096738,0.4552481373805577,0.4253336470052233,0.0,0.0,0.0,0.0,1.0,0.43443527052088554
global_replacement,0,44,160,1.0,1.0,0.042373996548458595,0.03563449012354743,0.45225718226575634,0.41982008903016876,0.005555555555555556,0.005555555555555556,0.0,0.0,1.0,0.42545799646616533
global_replacement,0,44,180,0.9722222222222222,0.9944444444444445,0.04858193003673648,0.04401822072613979,0.44525095597838393,0.3981925340600827,0.011111111111111112,0.011111111111111112,0.005555555555555556,0.0,1.0,0.4325883620113927
