method,label,rate,regime,episodes,success_rate,force_closure_rate,alignment_mm,orientation_deg,peak_contact_force_n,insertion_depth_mm,action_rmse,stage_acquisition_rate,stage_lift_rate,stage_reorientation_rate,stage_preinsert_rate,stage_insertion_rate,stage_release_rate,stage_settling_rate,failure_success_rate,failure_no_force_closure_rate,failure_lift_loss_rate,failure_reorientation_rate,failure_insertion_misalignment_rate,failure_insertion_jam_rate,failure_release_rate,failure_settling_rate
raw_time_scaling,Raw elapsed time,0.5,demonstrated_anchor,180,0.0,0.0,1.8699860491427627,1.376271730855355,2.762666467380319,56.808629296177784,1.0294257578718262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
raw_time_scaling,Raw elapsed time,0.75,interpolation,180,0.0,0.0,1.3658546055770082,1.1407713387193124,2.6519118309410605,57.60949350618782,0.8078958837845991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
raw_time_scaling,Raw elapsed time,1.0,demonstrated_anchor,180,0.9944444444444445,0.9944444444444445,1.044065688382504,1.0584185061629847,2.8223301221510413,57.945967066748075,0.5767549049586642,0.9944444444444445,0.9944444444444445,0.9944444444444445,0.9944444444444445,0.9944444444444445,0.9944444444444445,0.9944444444444445,0.9944444444444445,0.005555555555555556,0.0,0.0,0.0,0.0,0.0,0.0
raw_time_scaling,Raw elapsed time,1.25,interpolation,180,1.0,1.0,0.759327639582997,0.6647589408785025,3.140723351884657,58.0961954428785,0.41924020456763755,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
raw_time_scaling,Raw elapsed time,1.5,demonstrated_anchor,180,1.0,1.0,0.6548010440461813,0.5381242964329789,3.9322832808850876,57.66331308623527,0.399843935230487,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
raw_time_scaling,Raw elapsed time,1.75,interpolation,180,1.0,1.0,0.8444554910431454,0.8179026855363621,4.992264528629121,55.67186911615325,0.6211603614142939,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
raw_time_scaling,Raw elapsed time,2.0,demonstrated_anchor,180,0.8444444444444444,1.0,1.2743267969898697,1.761446893703763,6.374449636085956,52.23586365672693,0.9732252266240732,1.0,1.0,1.0,1.0,0.8444444444444444,0.8444444444444444,0.8444444444444444,0.8444444444444444,0.0,0.0,0.0,0.0,0.15555555555555556,0.0,0.0
raw_time_scaling,Raw elapsed time,2.25,extrapolation,180,0.07777777777777778,1.0,2.1509172862631067,2.884028519392099,8.202792371285064,47.5113031738683,1.461569095352284,1.0,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.07777777777777778,0.07777777777777778,0.07777777777777778,0.07777777777777778,0.0,0.7666666666666667,0.0,0.0,0.15555555555555556,0.0,0.0
raw_time_scaling,Raw elapsed time,2.5,extrapolation,180,0.0,1.0,2.906056797680757,4.237531192601714,10.22595540136211,42.572427505322494,1.9402264162183962,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
raw_time_scaling,Raw elapsed time,3.0,extrapolation,180,0.0,1.0,4.989238225926229,7.239894727764399,15.655147076358618,29.871660397227757,3.1840509273794573,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
phase_normalization,Normalized phase,0.5,demonstrated_anchor,180,0.9833333333333333,1.0,1.7255483143000965,1.3858304678997546,3.2909502485449,55.83931282367729,0.7286997902191072,1.0,1.0,1.0,1.0,0.9833333333333333,0.9833333333333333,0.9833333333333333,0.9833333333333333,0.0,0.0,0.0,0.0,0.016666666666666666,0.0,0.0
phase_normalization,Normalized phase,0.75,interpolation,180,0.9944444444444445,1.0,1.3470968701186894,1.1744407848738474,3.0037827275042384,56.95161944987824,0.5934264443365402,1.0,1.0,1.0,1.0,0.9944444444444445,0.9944444444444445,0.9944444444444445,0.9944444444444445,0.0,0.0,0.0,0.0,0.005555555555555556,0.0,0.0
phase_normalization,Normalized phase,1.0,demonstrated_anchor,180,1.0,1.0,0.9952886181943822,0.9701869831969737,2.7873953134172154,58.03893772161051,0.4210421195544272,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phase_normalization,Normalized phase,1.25,interpolation,180,1.0,1.0,0.7330912817410411,0.5572540997554759,2.7897728612244044,58.74848382733641,0.22516210989254917,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phase_normalization,Normalized phase,1.5,demonstrated_anchor,180,1.0,1.0,0.7306139174105787,0.5479385516445502,3.5838285506199603,58.13236447577003,0.20395057232851826,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phase_normalization,Normalized phase,1.75,interpolation,180,1.0,1.0,0.9901400710478934,1.051396066371507,4.699395437143661,56.30159903000927,0.48801658539212817,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phase_normalization,Normalized phase,2.0,demonstrated_anchor,180,0.9,1.0,1.4480013314122744,2.0419312757018826,6.099618173150043,52.92795845786754,0.8634661563825985,1.0,1.0,1.0,1.0,0.9,0.9,0.9,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0
phase_normalization,Normalized phase,2.25,extrapolation,180,0.03888888888888889,1.0,2.3505652451190984,3.1638978149646264,7.930379563229131,48.30730878995845,1.361681217999958,1.0,0.1,0.1,0.1,0.03888888888888889,0.03888888888888889,0.03888888888888889,0.03888888888888889,0.0,0.9,0.0,0.0,0.06111111111111111,0.0,0.0
phase_normalization,Normalized phase,2.5,extrapolation,180,0.0,1.0,3.090132524913807,4.5087044761363355,9.92039911916279,43.59134414344411,1.8617903980793709,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
phase_normalization,Normalized phase,3.0,extrapolation,180,0.0,1.0,5.163540980122409,7.506829102069772,15.240827319624097,31.388818266223584,3.1489739853066707,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
speed_conditioned,Speed-conditioned,0.5,demonstrated_anchor,180,1.0,1.0,1.7260520563917927,0.584780415336173,2.4525872723235342,57.57126538529098,0.5138805466057192,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speed_conditioned,Speed-conditioned,0.75,interpolation,180,1.0,1.0,1.2801909850477777,0.5193066038174519,2.407808628379076,58.17860408128143,0.3571715600711248,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speed_conditioned,Speed-conditioned,1.0,demonstrated_anchor,180,1.0,1.0,0.8965187869394637,0.5865150676211061,2.5299343602248516,58.60071331384614,0.2650148130657385,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speed_conditioned,Speed-conditioned,1.25,interpolation,180,1.0,1.0,0.7260756305478604,0.5531961678569852,2.772079903708488,58.7837918613286,0.22668878662863273,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speed_conditioned,Speed-conditioned,1.5,demonstrated_anchor,180,1.0,1.0,0.788325779493918,0.5925452222524515,3.2947784213019173,58.622495302590124,0.23174766112766715,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speed_conditioned,Speed-conditioned,1.75,interpolation,180,1.0,1.0,1.0653380094898979,0.5123155391887517,3.932526432088773,58.12479947606346,0.3068120274730451,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speed_conditioned,Speed-conditioned,2.0,demonstrated_anchor,180,0.9888888888888889,1.0,1.381065479427991,0.6241700387865156,4.728747218109289,56.955543737891055,0.43243691271804174,1.0,1.0,1.0,1.0,0.9888888888888889,0.9888888888888889,0.9888888888888889,0.9888888888888889,0.0,0.0,0.0,0.0,0.011111111111111112,0.0,0.0
speed_conditioned,Speed-conditioned,2.25,extrapolation,180,0.8833333333333333,1.0,2.163025856035803,0.9705644606362528,5.991909969781129,54.14023545599309,0.7177668550632196,1.0,1.0,1.0,1.0,0.8833333333333333,0.8833333333333333,0.8833333333333333,0.8833333333333333,0.0,0.0,0.0,0.0,0.11666666666666667,0.0,0.0
speed_conditioned,Speed-conditioned,2.5,extrapolation,180,0.6166666666666667,1.0,2.7200631727730618,1.7044598890842464,7.435399403442673,51.131594230550796,1.0085543950762814,1.0,1.0,1.0,1.0,0.6166666666666667,0.6166666666666667,0.6166666666666667,0.6166666666666667,0.0,0.0,0.0,0.0,0.38333333333333336,0.0,0.0
speed_conditioned,Speed-conditioned,3.0,extrapolation,180,0.011111111111111112,1.0,4.483843821418726,3.553120581091123,11.687101466824934,42.243981929424926,1.8968821730814607,1.0,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.011111111111111112,0.011111111111111112,0.011111111111111112,0.011111111111111112,0.0,0.43333333333333335,0.0,0.03333333333333333,0.5222222222222223,0.0,0.0
force_feedback,Speed + force feedback,0.5,demonstrated_anchor,180,1.0,1.0,0.9635733618904307,0.586215981423107,2.068577097522944,58.56909294155028,0.39488415138015037,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
force_feedback,Speed + force feedback,0.75,interpolation,180,0.9944444444444445,0.9944444444444445,0.7563123091583707,0.5185860780671362,2.157935249049105,58.858134715715664,0.2734446544002332,0.9944444444444445,0.9944444444444445,0.9944444444444445,0.9944444444444445,0.9944444444444445,0.9944444444444445,0.9944444444444445,0.9944444444444445,0.005555555555555556,0.0,0.0,0.0,0.0,0.0,0.0
