method,severity,trial,schedule_fingerprint,success,tracking_rmse,tail_rmse,final_error,policy_rmse,action_jerk,control_effort,latent_rmse,mean_inference_loss
history_h16_chunk4,1.5,61,103f496d152f3879,0.0,0.584660759794677,0.6515715878863657,0.7943000939071765,0.6909030656368634,0.23513879719970474,1.42963799044605,nan,nan
oracle,1.5,62,bb50d06049435cee,1.0,0.2866811896791354,0.1520858222859704,0.11592802286122161,0.0,0.12225337995152229,0.9304784519490454,0.0,nan
open_loop,1.5,62,bb50d06049435cee,0.0,12.73349733376,20.54905203680914,23.158708924308684,3.14509776333737,0.07098860247855776,0.48055709514891437,4.806278438593591,0.0
pred_error_w8,1.5,62,bb50d06049435cee,0.0,0.36346487155270846,0.4641319531430158,0.4317367721606544,0.6309415580512517,0.17811355002864787,0.953668579886526,0.11058778029115382,7.353231382258063e-05
history_h4,1.5,62,bb50d06049435cee,0.0,0.41614977493149324,0.5149195969535978,0.46437387046715717,0.7078185248785982,0.1514755366482907,0.99401146439308,nan,nan
history_h16,1.5,62,bb50d06049435cee,0.0,0.3823415347850153,0.45591926385674886,0.4252761972486576,0.6297522275643883,0.145927764574299,0.9872598040666224,nan,nan
history_h16_chunk4,1.5,62,bb50d06049435cee,0.0,0.47139488717647077,0.5929691443970699,0.39122004251899156,0.766389358644418,0.15330228299946452,0.9707098796649644,nan,nan
oracle,1.5,63,e7c947111f3b3705,1.0,0.21469590628790405,0.19796389488101962,0.3314884463790353,0.0,0.10230260410769759,0.665024181187854,0.0,nan
open_loop,1.5,63,e7c947111f3b3705,0.0,1.6578278077349173,1.7097030555429393,0.4781871450213293,1.9650775673790408,0.05362413531728673,0.3377073546680587,1.670393601148594,0.0
pred_error_w8,1.5,63,e7c947111f3b3705,1.0,0.21233173924377408,0.18458167428793595,0.31605988695243337,0.15368209623340504,0.15770305285361255,0.6811981091039414,0.07620620329179464,0.0006797308922835759
history_h4,1.5,63,e7c947111f3b3705,1.0,0.25085013249196586,0.24187267417902983,0.40121439626252986,0.23539381016602368,0.12339027321228198,0.7531960792780235,nan,nan
history_h16,1.5,63,e7c947111f3b3705,1.0,0.22583105094719802,0.21437767079243922,0.3363545587962218,0.23318550185381337,0.12215478523689385,0.7605381220818933,nan,nan
history_h16_chunk4,1.5,63,e7c947111f3b3705,1.0,0.26439646418902807,0.28218635200912945,0.4415082335459468,0.39439001868053586,0.13014782978954326,0.72888408529388,nan,nan
oracle,2.0,0,6e7ad229a64ce1ef,1.0,0.37963892187019926,0.1967232471363661,0.3344937346069563,0.0,0.14862710385942207,1.0699570792902502,0.0,nan
