seed,method,buffer_size,train_stage,selected_count,anchor_concentration,mean_anchor_score,selected_early_fraction,selected_near_center_fraction,overlap_fraction,conflict_fraction,disagreement_threshold
17,anchors,96,2,96,0.2604166666666667,1.9596089124679565,0.4583333333333333,0.5520833333333334,0.42517006802721086,0.40476190476190477,0.21676130592823029
17,anchors,96,3,96,0.28125,2.337381362915039,0.2604166666666667,0.5625,0.6292517006802721,0.3299319727891156,0.2936060428619385
17,anchors,288,1,288,0.2013888888888889,1.0635759830474854,0.4756944444444444,0.4826388888888889,0.6122448979591837,0.5884353741496599,0.0859893411397934
17,anchors,288,2,288,0.2326388888888889,2.1702218055725098,0.4236111111111111,0.5243055555555556,0.42857142857142855,0.42857142857142855,0.22352558374404907
17,anchors,288,3,288,0.2708333333333333,3.9590938091278076,0.5069444444444444,0.5972222222222222,0.32482993197278914,0.14625850340136054,0.27599769830703735
18,random,12,1,12,0.08333333333333333,0.627941906452179,0.5833333333333334,0.75,0.4897959183673469,0.4846938775510204,0.0645831748843193
18,random,12,2,12,0.08333333333333333,2.4823102951049805,0.4166666666666667,0.5,0.4897959183673469,0.46938775510204084,0.15564770996570587
18,random,12,3,12,0.3333333333333333,3.7684261798858643,0.4166666666666667,0.5833333333333334,0.2585034013605442,0.0663265306122449,0.42167824506759644
18,random,32,1,32,0.03125,1.0548434257507324,0.3125,0.46875,0.5102040816326531,0.5017006802721088,0.06720228493213654
18,random,32,2,32,0.03125,2.301729202270508,0.4375,0.46875,0.46938775510204084,0.4489795918367347,0.23573149740695953
18,random,32,3,32,0.25,2.496084213256836,0.5,0.65625,0.3469387755102041,0.1649659863945578,0.3406528830528259
18,random,96,1,96,0.17708333333333334,0.9901813864707947,0.375,0.4791666666666667,0.5510204081632653,0.5425170068027211,0.07734915614128113
18,random,96,2,96,0.08333333333333333,2.4259681701660156,0.2708333333333333,0.4791666666666667,0.46938775510204084,0.4489795918367347,0.1882447451353073
18,random,96,3,96,0.08333333333333333,4.066370964050293,0.375,0.5416666666666666,0.24489795918367346,0.09863945578231292,0.3501133620738983
18,random,288,1,288,0.08680555555555555,1.1000310182571411,0.3645833333333333,0.4305555555555556,0.5306122448979592,0.5238095238095238,0.06913788616657257
18,random,288,2,288,0.0763888888888889,2.3031206130981445,0.3541666666666667,0.4201388888888889,0.4489795918367347,0.4489795918367347,0.16226689517498016
18,random,288,3,288,0.12152777777777778,2.581218719482422,0.4131944444444444,0.4930555555555556,0.2857142857142857,0.141156462585034,0.29791921377182007
18,loss_hard,12,1,12,0.0,0.7836171984672546,1.0,0.16666666666666666,0.5306122448979592,0.5221088435374149,0.07808378338813782
18,loss_hard,12,2,12,1.0,1.3894294500350952,1.0,0.8333333333333334,0.5102040816326531,0.1836734693877551,2.2867772579193115
18,loss_hard,12,3,12,1.0,1.8270491361618042,1.0,1.0,0.5510204081632653,0.04081632653061224,2.0995635986328125
18,loss_hard,32,1,32,0.0,0.6317289471626282,1.0,0.4375,0.5510204081632653,0.54421768707483,0.08491864800453186
18,loss_hard,32,2,32,0.9375,1.6010255813598633,1.0,0.5625,0.4489795918367347,0.16326530612244897,2.4093894958496094
18,loss_hard,32,3,32,1.0,1.5570317506790161,1.0,1.0,0.6530612244897959,0.17517006802721088,2.0268867015838623
18,loss_hard,96,1,96,0.0,0.8440725803375244,1.0,0.3229166666666667,0.5306122448979592,0.5136054421768708,0.07712813466787338
18,loss_hard,96,2,96,0.6458333333333334,1.543758749961853,1.0,0.4166666666666667,0.45068027210884354,0.16666666666666666,1.9916270971298218
18,loss_hard,96,3,96,0.9791666666666666,1.7209640741348267,1.0,0.9791666666666666,0.5714285714285714,0.21428571428571427,1.7105047702789307
18,loss_hard,288,1,288,0.11458333333333333,0.8109121918678284,0.5729166666666666,0.5694444444444444,0.5306122448979592,0.5255102040816326,0.05698686093091965
18,loss_hard,288,2,288,0.2847222222222222,1.315000057220459,0.6493055555555556,0.5694444444444444,0.5306122448979592,0.5306122448979592,0.32128384709358215
18,loss_hard,288,3,288,0.4201388888888889,3.066093921661377,0.9652777777777778,0.6631944444444444,0.5714285714285714,0.1598639455782313,1.0435271263122559
18,diversity,12,1,12,0.16666666666666666,0.9574944376945496,0.5,0.5833333333333334,0.5238095238095238,0.5153061224489796,0.07251608371734619
18,diversity,12,2,12,0.16666666666666666,2.374389886856079,0.4166666666666667,0.6666666666666666,0.42857142857142855,0.40816326530612246,0.14783895015716553
18,diversity,12,3,12,0.25,2.863043785095215,0.5,0.5833333333333334,0.38605442176870747,0.20068027210884354,0.440912127494812
18,diversity,32,1,32,0.125,0.8094500303268433,0.46875,0.6875,0.5510204081632653,0.5425170068027211,0.08715641498565674
18,diversity,32,2,32,0.125,2.482621192932129,0.4375,0.5625,0.4489795918367347,0.4489795918367347,0.16208302974700928
18,diversity,32,3,32,0.125,3.0585384368896484,0.53125,0.6875,0.2857142857142857,0.12074829931972789,0.2602825164794922
18,diversity,96,1,96,0.09375,0.8431911468505859,0.5729166666666666,0.6041666666666666,0.5493197278911565,0.5425170068027211,0.0712507963180542
18,diversity,96,2,96,0.14583333333333334,2.361549139022827,0.5208333333333334,0.6458333333333334,0.5085034013605442,0.4965986394557823,0.11784274131059647
18,diversity,96,3,96,0.15625,3.233954668045044,0.6145833333333334,0.71875,0.3197278911564626,0.1989795918367347,0.21643579006195068
18,diversity,288,1,288,0.1111111111111111,0.9298067092895508,0.4930555555555556,0.5243055555555556,0.5510204081632653,0.5425170068027211,0.0794605240225792
18,diversity,288,2,288,0.12152777777777778,2.2656986713409424,0.5416666666666666,0.5763888888888888,0.413265306122449,0.39285714285714285,0.1352595090866089
18,diversity,288,3,288,0.1423611111111111,3.027454376220703,0.6006944444444444,0.6631944444444444,0.32482993197278914,0.1989795918367347,0.24728374183177948
18,anchors,12,1,12,0.16666666666666666,1.0689271688461304,0.5833333333333334,0.5,0.5306122448979592,0.5255102040816326,0.06299713253974915
18,anchors,12,2,12,0.4166666666666667,2.0287058353424072,0.4166666666666667,0.6666666666666666,0.5918367346938775,0.5918367346938775,0.3799729347229004
18,anchors,12,3,12,0.25,3.850184202194214,0.3333333333333333,0.8333333333333334,0.36054421768707484,0.07482993197278912,0.7652100920677185
18,anchors,32,1,32,0.25,0.9999958276748657,0.25,0.53125,0.5306122448979592,0.5255102040816326,0.06222788989543915
18,anchors,32,2,32,0.1875,2.0138943195343018,0.34375,0.65625,0.5714285714285714,0.5714285714285714,0.3334977328777313
18,anchors,32,3,32,0.3125,2.039440631866455,0.46875,0.625,0.46938775510204084,0.20748299319727892,0.3884017765522003
18,anchors,96,1,96,0.25,0.9233906865119934,0.4895833333333333,0.5208333333333334,0.5306122448979592,0.5255102040816326,0.05534156411886215
18,anchors,96,2,96,0.2604166666666667,2.2301270961761475,0.3229166666666667,0.4895833333333333,0.4897959183673469,0.4574829931972789,0.18509535491466522
18,anchors,96,3,96,0.2916666666666667,2.2278668880462646,0.3020833333333333,0.5729166666666666,0.28401360544217685,0.1377551020408163,0.30090177059173584
18,anchors,288,1,288,0.2013888888888889,0.922944188117981,0.4652777777777778,0.5451388888888888,0.5306122448979592,0.5238095238095238,0.08106085658073425
18,anchors,288,2,288,0.2326388888888889,2.1012208461761475,0.3645833333333333,0.53125,0.46938775510204084,0.445578231292517,0.15120992064476013
18,anchors,288,3,288,0.2326388888888889,2.6051292419433594,0.4270833333333333,0.5590277777777778,0.2857142857142857,0.20408163265306123,0.29236918687820435
19,random,12,1,12,0.16666666666666666,1.2484630346298218,0.5,0.6666666666666666,0.6326530612244898,0.6105442176870748,0.05208835005760193
19,random,12,2,12,0.0,2.1735708713531494,0.08333333333333333,0.5833333333333334,0.44387755102040816,0.4421768707482993,0.3165651559829712
