seed,method,buffer_size,final_avg_success,final_old_success,final_current_success,final_tracking_rmse,final_on_policy_action_mse,nbt,mean_interaction_drop,worst_interaction_drop,final_forgetting,auc,plasticity,anchor_concentration,runtime_seconds
18,anchors,12,0.4296875,0.3541666666666667,0.65625,0.4716741204322186,1.8858649006827313,0.21527777777777776,0.14583333333333334,0.75,0.2916666666666667,0.5208333333333333,0.6484375,0.2777777777777778,2.751720655011013
18,anchors,32,0.5234375,0.4895833333333333,0.625,0.410363380017515,1.6122930799304827,0.49826388888888884,0.18229166666666666,0.9375,0.3645833333333333,0.5390625,0.796875,0.25,2.7170342880126555
18,anchors,96,0.5625,0.5104166666666666,0.71875,0.4120848088960149,1.6935374521044142,0.28472222222222227,0.125,0.625,0.25,0.5963541666666666,0.75,0.26736111111111116,2.710156448010821
18,anchors,288,0.390625,0.3020833333333333,0.65625,0.4568646007630017,1.9003080835543067,0.3680555555555555,0.1875,0.6875,0.375,0.4733072916666667,0.671875,0.22222222222222224,2.717701654008124
19,no_replay,0,0.25,0.0,1.0,0.5689002828114027,2.5740668412607803,0.9791666666666666,0.4947916666666667,1.0,0.9895833333333334,0.5240885416666667,0.9921875,nan,2.2416708109958563
19,random,12,0.515625,0.3541666666666667,1.0,0.45607466513102496,1.945200317959842,0.5868055555555556,0.2552083333333333,0.84375,0.5104166666666666,0.6276041666666666,0.8984375,0.05555555555555555,2.6895752949931193
19,random,32,0.3046875,0.08333333333333333,0.96875,1.4672889434438352,8.182100683975207,0.5277777777777778,0.28125,0.875,0.5625,0.4420572916666667,0.7265625,0.125,2.7424551459844224
19,random,96,0.4375,0.2604166666666667,0.96875,0.4750684098568805,2.0514030470667857,0.4114583333333333,0.1875,0.90625,0.375,0.48958333333333337,0.71875,0.11111111111111112,2.724623341986444
19,random,288,0.390625,0.21875,0.90625,0.6638635064933891,3.00158624146321,0.4479166666666667,0.20833333333333334,0.9375,0.4166666666666667,0.45703125,0.703125,0.11342592592592593,2.795396896020975
19,loss_hard,12,0.25,0.0,1.0,0.5072913169713209,2.313162338609541,0.6527777777777778,0.375,1.0,0.75,0.5130208333333334,0.8125,0.0,2.71335201599868
19,loss_hard,32,0.265625,0.10416666666666667,0.75,1.2949295351235506,6.482243160316534,0.5416666666666666,0.2708333333333333,1.0,0.5416666666666666,0.3932291666666667,0.671875,0.34375,2.7049045559833758
19,loss_hard,96,0.3203125,0.11458333333333333,0.9375,1.0770506072968122,5.077847848395709,0.3333333333333333,0.16666666666666666,1.0,0.3333333333333333,0.375,0.5703125,0.3993055555555556,2.723060552001698
19,loss_hard,288,0.25,0.0,1.0,0.4844225652851535,2.199344327562947,0.5121527777777778,0.2916666666666667,0.90625,0.5833333333333334,0.4153645833333333,0.6875,0.1875,2.714725443016505
19,diversity,12,0.5078125,0.34375,1.0,0.3964193506941791,1.7900377771237301,0.43923611111111116,0.16145833333333334,0.8125,0.3229166666666667,0.5227864583333333,0.75,0.16666666666666666,2.717402795999078
19,diversity,32,0.515625,0.3541666666666667,1.0,0.6167325688061913,2.889484920479206,0.32638888888888884,0.16145833333333334,0.84375,0.3229166666666667,0.548828125,0.7578125,0.16666666666666666,2.7309229189995676
19,diversity,96,0.421875,0.2708333333333333,0.875,0.4625815658000102,1.9804685283916998,0.43576388888888884,0.19791666666666666,0.875,0.3958333333333333,0.4759114583333333,0.71875,0.16319444444444445,2.712837025988847
19,diversity,288,0.328125,0.17708333333333334,0.78125,0.5618228674977516,2.481680559484673,0.4774305555555555,0.234375,0.875,0.46875,0.4173177083333333,0.6796875,0.14583333333333334,2.7299065240076743
19,anchors,12,0.25,0.0,1.0,0.6839882643799082,3.08719910212595,0.7638888888888888,0.4270833333333333,0.90625,0.8541666666666666,0.5221354166666667,0.890625,0.19444444444444442,2.7247205640014727
19,anchors,32,0.734375,0.6458333333333334,1.0,0.30459135376419333,1.1466734646752155,0.2569444444444445,0.041666666666666664,0.96875,0.08333333333333333,0.6282552083333333,0.796875,0.2916666666666667,2.6966013589990325
19,anchors,96,0.5390625,0.40625,0.9375,0.38165941917888896,1.5882438220072594,0.375,0.140625,0.9375,0.28125,0.5325520833333333,0.75,0.2604166666666667,2.7285202579805627
19,anchors,288,0.390625,0.25,0.8125,0.4765615926361447,1.9568013465040406,0.3836805555555555,0.1875,0.84375,0.375,0.4505208333333333,0.671875,0.23379629629629628,2.7301957899762783
20,no_replay,0,0.2890625,0.052083333333333336,1.0,0.4415188403174985,1.9696889652437155,0.921875,0.4739583333333333,1.0,0.9479166666666666,0.5631510416666667,1.0,nan,2.247172358998796
20,random,12,0.4921875,0.3333333333333333,0.96875,0.4053811543562217,1.805287746589707,0.5729166666666666,0.22395833333333334,0.9375,0.4479166666666667,0.5716145833333334,0.828125,0.08333333333333333,2.699318870989373
