seed,method,buffer_size,train_stage,eval_task,success,tracking_rmse,branch_error,final_error,on_policy_action_mse,runtime_seconds
17,anchors,96,3,0,0.21875,0.6390316819357136,0.9832057177702319,0.017113271973338295,2.744402989984687,2.726651964010671
17,anchors,96,3,1,0.34375,0.675481432459012,1.0604303017508356,0.01420933674204971,2.7694260507615702,2.726651964010671
17,anchors,96,3,2,0.28125,0.49010610883524874,0.7999297863100585,0.0028774382290237418,2.278503083669408,2.726651964010671
17,anchors,96,3,3,1.0,0.048809012682902546,0.041581181579005005,0.010046262487158647,0.024043360916827863,2.726651964010671
17,anchors,288,0,0,1.0,0.0516318910388729,0.04654797953483762,0.02069707445556044,0.02385166736001005,2.718523132003611
17,anchors,288,1,0,0.28125,0.48040370412657224,0.6657619251516538,0.21691568454684196,2.124673531956578,2.718523132003611
17,anchors,288,1,1,0.4375,0.34213890440788997,0.4361539655971733,0.21066088842532327,1.4121883530632788,2.718523132003611
17,anchors,288,2,0,0.28125,0.7559174929541661,1.0922280273419696,0.2625850953647492,3.2749880370779025,2.718523132003611
17,anchors,288,2,1,0.09375,0.8709482105143174,1.3221070704476596,0.07271291126316647,3.6203029880380226,2.718523132003611
17,anchors,288,2,2,0.375,0.3035692364566466,0.43735677912053333,0.0192603522232623,1.1388542924506404,2.718523132003611
17,anchors,288,3,0,0.40625,0.6340005813558753,0.9916220293697584,0.019469409838670165,2.594025075697518,2.718523132003611
17,anchors,288,3,1,0.28125,0.7618446579094367,1.2061933324218992,0.005881267237382887,3.074892574790205,2.718523132003611
17,anchors,288,3,2,0.65625,0.30520470005332667,0.47182418254339564,0.002700651825838862,1.299193464270398,2.718523132003611
17,anchors,288,3,3,1.0,0.04974614035290958,0.03757746431087686,0.006202495042671934,0.028319587180685522,2.718523132003611
18,no_replay,0,0,0,1.0,0.05314934950766628,0.04646011771183047,0.016959090947446166,0.02284245458947894,2.2359802540158853
18,no_replay,0,1,0,0.0,0.862026093062086,1.4608584406841034,0.08733473146479104,3.9652509817323267,2.2359802540158853
18,no_replay,0,1,1,1.0,0.0399768476189223,0.015903865717794535,0.008436012454288976,0.00996697241665289,2.2359802540158853
18,no_replay,0,2,0,0.125,0.16138538617225776,0.22693887657262868,0.16805879624419706,0.3931459854935893,2.2359802540158853
18,no_replay,0,2,1,0.0,0.8702661354678525,1.4291625955538523,0.08482119555635062,3.9805460982599845,2.2359802540158853
18,no_replay,0,2,2,1.0,0.06388832842996953,0.0472616285710535,0.019552920215415735,0.03895461284263738,2.2359802540158853
18,no_replay,0,3,0,0.0,0.8935648957901967,1.4305386222669294,0.3233698484058075,4.31405645860867,2.2359802540158853
18,no_replay,0,3,1,0.0,0.15499739331005408,0.20006738978226118,0.21734439458131466,0.39510350013027373,2.2359802540158853
18,no_replay,0,3,2,0.0,0.7480926008273376,1.2221177934527647,0.10061876174406714,3.7459412429058982,2.2359802540158853
18,no_replay,0,3,3,1.0,0.06498182878753984,0.05885247070032819,0.0481221479594873,0.0519997498372622,2.2359802540158853
18,random,12,0,0,1.0,0.05077208783943242,0.03792888460306439,0.00817000311179097,0.021521383339863108,2.730822437995812
18,random,12,1,0,0.46875,0.2450204779416832,0.3212023114349992,0.05889056982744457,0.800173464185529,2.730822437995812
18,random,12,1,1,0.84375,0.12746464416731962,0.15872849785262433,0.015598424539557112,0.28949817932560645,2.730822437995812
18,random,12,2,0,0.0625,0.7424319904393105,0.7662449644824207,0.812593904074556,3.4939921943764154,2.730822437995812
18,random,12,2,1,0.21875,1.052974605318211,1.4210255242995635,0.8185440390411074,4.9841173466812645,2.730822437995812
18,random,12,2,2,0.125,0.9497186216667605,1.080702529802571,0.9411308627610284,4.860634764710914,2.730822437995812
18,random,12,3,0,0.0625,0.7832602755109523,1.0009591839846266,0.46129143287126884,3.818317487473725,2.730822437995812
18,random,12,3,1,0.28125,1.0321561688125112,1.4890876371815736,0.523900133596098,4.657007225477588,2.730822437995812
18,random,12,3,2,0.125,0.5497726710529451,0.7646509278476004,0.20395464014067066,2.7953510563828887,2.730822437995812
18,random,12,3,3,0.90625,0.09150050794516557,0.1372677395109384,0.00672503222274404,0.3549479746320992,2.730822437995812
18,random,32,0,0,1.0,0.05159780116926588,0.04148692912642373,0.021186011122870493,0.022046705854954034,2.697652190021472
18,random,32,1,0,0.40625,0.33694122891706824,0.3931083646426845,0.18015702238524622,1.5001197139849243,2.697652190021472
18,random,32,1,1,0.96875,0.06839238052602939,0.04705547451706445,0.01038192325430781,0.07127489123562968,2.697652190021472
18,random,32,2,0,0.1875,0.4661162649712558,0.6867686043384614,0.030882376989856963,1.8946680726850054,2.697652190021472
18,random,32,2,1,0.21875,0.7657792667892881,1.2155958968289349,0.017788198241301442,3.22065681342787,2.697652190021472
18,random,32,2,2,0.25,0.3505264033636104,0.4972133848875671,0.01747429144252993,1.3758372304934872,2.697652190021472
18,random,32,3,0,0.5625,0.4169373261408803,0.5919711093297062,0.015768677618570755,1.6029544028135576,2.697652190021472
18,random,32,3,1,0.21875,0.8382942475406895,1.3152855877432454,0.011185858144827249,3.362633043972831,2.697652190021472
18,random,32,3,2,0.4375,0.3578905487047721,0.4805490420913554,0.005010016349586965,1.4031089608881882,2.697652190021472
18,random,32,3,3,0.59375,0.30107040511390004,0.45586204411473513,0.01927815518196011,1.275303483123774,2.697652190021472
18,random,96,0,0,1.0,0.05364139052916309,0.04228803351124019,0.011453486236959826,0.028358661248928427,2.723302758007776
18,random,96,1,0,0.625,0.21799326011927989,0.27010965764594713,0.0802603919698636,0.7071922456351121,2.723302758007776
18,random,96,1,1,0.96875,0.05615460470028265,0.043107032330835474,0.006970704883087384,0.04705208780269835,2.723302758007776
