seed,method,buffer_size,train_stage,eval_task,success,tracking_rmse,branch_error,final_error,on_policy_action_mse,runtime_seconds
17,diversity,32,1,1,0.65625,0.16483071960313345,0.20652283426527562,0.026026726442531622,0.4254744277621851,2.779433923016768
17,diversity,32,2,0,0.0625,0.9008321952722088,1.3934306149935893,0.05132376663593666,3.700262153768433,2.779433923016768
17,diversity,32,2,1,0.15625,0.7483680544642688,1.1711245271933013,0.014350962800896271,3.0751666691203328,2.779433923016768
17,diversity,32,2,2,0.40625,0.2308169224630668,0.3172033576529848,0.011289918154709373,0.750407380499748,2.779433923016768
17,diversity,32,3,0,0.125,0.6311567838742302,0.9991814596392619,0.02203912717147337,2.8068792815003873,2.779433923016768
17,diversity,32,3,1,0.75,0.26975904574941784,0.4003195673806937,0.003912629075881911,1.028803254273303,2.779433923016768
17,diversity,32,3,2,0.03125,0.7023404969728975,1.146802089695517,0.0022541495835651333,3.356436385736896,2.779433923016768
17,diversity,32,3,3,0.8125,0.07524478769189544,0.09854351974886803,0.004305375732177043,0.17144728384449706,2.779433923016768
17,diversity,96,0,0,1.0,0.04576853916518521,0.03364582901963464,0.028260221581513374,0.022013583333227952,2.799779324006522
17,diversity,96,1,0,0.0625,0.8622510773000691,0.8223554439938484,1.1567197633444188,4.600218464799107,2.799779324006522
17,diversity,96,1,1,0.875,0.1334216497094183,0.13969011222187533,0.011591632103760418,0.28809372510896625,2.799779324006522
17,diversity,96,2,0,0.0625,0.8989446762552555,1.2070969993968275,0.5199988960345022,4.350072372865326,2.799779324006522
17,diversity,96,2,1,0.3125,1.0920567579021323,1.3488620457329312,1.132883400508425,5.402580286221924,2.799779324006522
17,diversity,96,2,2,0.0,1.1000138466962535,1.0116688021181193,1.5986591982761906,6.054126347021157,2.799779324006522
17,diversity,96,3,0,0.0625,1.0379432355121518,1.319967441934955,0.7140087758465463,5.014871406059129,2.799779324006522
17,diversity,96,3,1,0.34375,1.0747705410602717,1.294080873168555,1.182747744849467,5.314665971150539,2.799779324006522
17,diversity,96,3,2,0.125,0.8074149098187589,0.959958739293272,0.7250852861843112,4.140896979470982,2.799779324006522
