model,horizon,history,scaling,capacity,success,success_sem,collision,collision_sem,goal_distance,goal_distance_sem,tracking_rmse,tracking_rmse_sem,max_state_divergence,max_state_divergence_sem,ood_fraction,ood_fraction_sem,smoothness,smoothness_sem,on_policy_oracle_mse,on_policy_oracle_mse_sem,query_count,query_count_sem,feature_count,train_samples,val_action_mse,val_first_action_mse
H16_hist0_state_focus_linear,16,0,state_focus,linear,0.0,0.0,0.19791666666666666,0.040877951813226225,0.3817391237570222,0.0062015969142434025,0.19185137465965163,0.0048013125464954455,0.3975435005961796,0.006817093131480684,0.39236111111111116,0.018078501688612816,0.010626757731097303,0.0005015119657596766,0.148712894997355,0.004466764953611846,5.0,0.0,10,5040,0.018771061552006755,0.02212156864752402
H1_hist4_state_focus_linear,1,4,state_focus,linear,0.375,0.04966996338993914,0.0625,0.02483498169496957,0.20963862247250956,0.012516704840340207,0.20821809091643484,0.006848903800559503,0.36881848379049814,0.013006074965041987,0.4353298611111111,0.022140432724861357,0.008528628848382444,0.00010580523619365652,0.13249177953268035,0.007447217599976087,72.0,0.0,18,6390,0.001614133964873895,0.001614133964873895
H4_hist4_state_focus_linear,4,4,state_focus,linear,0.22916666666666666,0.04312153028672575,0.4375,0.050896566940372215,0.2665773054644886,0.012749440833541322,0.23772946004682574,0.0065760522040054425,0.36761877803044296,0.011482694043003413,0.6341145833333334,0.020349344951985284,0.004393088083137541,7.62106262677919e-05,0.157814219653179,0.006910661556555864,18.0,0.0,18,6120,0.0018033866856007527,0.0016422165690468903
H8_hist4_state_focus_linear,8,4,state_focus,linear,0.11458333333333333,0.03267930184391717,0.6458333333333334,0.049068441877688496,0.25304267304382333,0.009982703064518431,0.2567400426900501,0.006457043106681131,0.39708263160213725,0.011706493775351252,0.6753472222222222,0.01784919418570035,0.0027591675748233173,5.3326648697060794e-05,0.17816486794557942,0.006525478181697915,9.0,0.0,18,5760,0.0019118013848420851,0.001667014366926655
H16_hist4_state_focus_linear,16,4,state_focus,linear,0.17708333333333334,0.03916561682056945,0.6458333333333334,0.049068441877688496,0.23826109708647045,0.009090230609256782,0.24528802563232377,0.006334437229314172,0.38493852589286875,0.011762409423899108,0.6358506944444445,0.018939242369411295,0.002182560259778928,5.6075722827460865e-05,0.16093061558370228,0.0060758677084413225,5.0,0.0,18,5040,0.0018055070459002164,0.001636279175315372
H1_hist0_balanced_quadratic,1,0,balanced,quadratic,0.3229166666666667,0.047973840794591334,0.10416666666666667,0.03134124107007994,0.2264064104240464,0.012945960331814773,0.20877421007585398,0.009152184561213056,0.3215992921488884,0.01420360977617234,0.4142071759259259,0.02603983488657229,0.013415494723823113,0.00017874095342160101,0.09199530770613229,0.008829132153948925,72.0,0.0,65,6390,0.0008457526199934005,0.0008457526199934005
H4_hist0_balanced_quadratic,4,0,balanced,quadratic,0.5104166666666666,0.051287783818428426,0.09375,0.02990527809425515,0.16702362661485437,0.008902956790411077,0.19237214257582047,0.008003280831375633,0.3073731440283541,0.013360435056350713,0.3844039351851852,0.025323716697097636,0.005229868941386149,0.00015121630228929377,0.06587683396468143,0.005646394239597126,18.0,0.0,65,6120,0.0007742202720247371,0.0008477730245858014
H8_hist0_balanced_quadratic,8,0,balanced,quadratic,0.65625,0.048729752880447424,0.10416666666666667,0.03134124107007994,0.1268027721591197,0.006430512984398383,0.1849018021786967,0.007525899979699565,0.3074036817854477,0.013213060333375222,0.3683449074074074,0.024597917199166586,0.0036629557011878824,0.00010694375843388565,0.05479708667498051,0.004439636600042969,9.0,0.0,65,5760,0.0007135374547482354,0.0008555715704016263
H16_hist0_balanced_quadratic,16,0,balanced,quadratic,0.8229166666666666,0.039165616820569446,0.11458333333333333,0.03267930184391717,0.09502762158923313,0.005023973084929555,0.17775534491805042,0.007218508882699961,0.3029653973844793,0.013046740837429504,0.33637152777777785,0.023427472066882643,0.0027500016137214527,7.457969642228138e-05,0.04787813483594142,0.00385980526045351,5.0,0.0,65,5040,0.0006466095896496468,0.0008645448648309652
H1_hist4_balanced_quadratic,1,4,balanced,quadratic,0.4479166666666667,0.05101984406389433,0.17708333333333334,0.03916561682056945,0.2788126285543795,0.04269755046308735,0.2544607144491599,0.01784882396410552,0.4594726237844486,0.038114776754712636,0.4263599537037037,0.021694864800683264,0.009976639513957367,0.0003472348556984362,0.19600277977904879,0.024941262084103757,72.0,0.0,189,6390,0.00024761566622064047,0.00024761566622064047
