seed,shots,target_demo_transitions,method,label,prediction_rmse,position_rmse,mean_state_l2,p90_position_l2,candidate_top1,candidate_regret,candidate_regret_p90,planning_success
26,16,192,latent_to_ee_curriculum,Latent→EE curriculum,0.006796402898883724,0.001880469241181333,0.010106998891612769,0.0035586986914237146,0.95625,7.040576843033576e-05,0.0,0.99375
26,32,384,raw_joint,Raw / padded joints,0.01942647063218915,0.00505449771222103,0.03238672280361064,0.01029399541793584,0.821875,0.0006192283471345626,0.0029291546171573346,0.903125
26,32,384,canonical_ee,Canonical EE,0.006714762603949137,0.001682339231561028,0.009968111347273819,0.0033015126364141596,0.96875,4.507488265292443e-05,0.0,0.99375
26,32,384,learned_latent,Learned latent,0.019417538315611924,0.00526003631295978,0.03237069862768825,0.01041029607144238,0.821875,0.0006063703114904011,0.0028537920212600852,0.90625
26,32,384,latent_to_ee_curriculum,Latent→EE curriculum,0.006716828313343667,0.0017986958586201063,0.00997927868303121,0.0035750157193016976,0.95,9.028032002560401e-05,0.0,0.9875
27,0,0,raw_joint,Raw / padded joints,0.10601908679758798,0.028384623488387856,0.1928732773385765,0.05932629279653487,0.1,0.036353906413949685,0.0716065868165357,0.125
27,0,0,canonical_ee,Canonical EE,0.013749257769903612,0.0028658938272108974,0.019318147635560456,0.006713564577993656,0.946875,9.349927580274282e-05,0.0,0.990625
27,0,0,learned_latent,Learned latent,0.1090031671477346,0.029313199956054647,0.19770352485932588,0.06138620473186922,0.096875,0.036904467191068394,0.0725769485306524,0.115625
27,0,0,latent_to_ee_curriculum,Latent→EE curriculum,0.010522953018901297,0.00273915763966015,0.016301929019625298,0.006185877286801429,0.95,9.38356678454337e-05,0.0,0.990625
27,1,12,raw_joint,Raw / padded joints,0.06699398673282096,0.017069287268656988,0.11718443948064157,0.036693291862050476,0.425,0.008116775587334266,0.024854855228377635,0.5
27,1,12,canonical_ee,Canonical EE,0.0106138302327608,0.002241205962932251,0.015397578155176747,0.0050045045159839265,0.940625,0.00011782091051742248,0.0,0.990625
27,1,12,learned_latent,Learned latent,0.06695685034766981,0.01809215698127127,0.11708014933476095,0.03928762322834699,0.4375,0.008020686601424326,0.024854855228377635,0.5125
27,1,12,latent_to_ee_curriculum,Latent→EE curriculum,0.009016245031144503,0.002478128241363795,0.0137560768242239,0.005595399653651161,0.934375,0.00011970436946500987,0.0,0.990625
27,2,24,raw_joint,Raw / padded joints,0.03299907076810468,0.008304116400128757,0.05608314082025836,0.018370127428438982,0.759375,0.0014057522048871699,0.0053489623643184735,0.8125
27,2,24,canonical_ee,Canonical EE,0.009091466213332632,0.0022922953591440866,0.013884645278533602,0.005103242524778578,0.9375,0.00012956978344267207,0.0,0.9875
27,2,24,learned_latent,Learned latent,0.0329760723467145,0.008834130296348172,0.05603382021939355,0.01973604266393288,0.7625,0.0015167235731391034,0.005587896836234042,0.81875
27,2,24,latent_to_ee_curriculum,Latent→EE curriculum,0.009118436029917331,0.0024603505100702677,0.013926702781527986,0.005407043575183999,0.928125,0.00019305301672155583,0.0,0.978125
27,4,48,raw_joint,Raw / padded joints,0.022021622545416945,0.005917328636012109,0.03741594007029947,0.013733640946724074,0.803125,0.001035786205683383,0.004205089158883307,0.8625
27,4,48,canonical_ee,Canonical EE,0.010023643604732855,0.0025066669851843493,0.014767083614492643,0.004828855994338989,0.928125,0.00012775239153903898,0.0,0.990625
27,4,48,learned_latent,Learned latent,0.021998556375020094,0.005849137403519092,0.037362971045422126,0.013225334323636982,0.80625,0.0009854152996140778,0.00389550968261319,0.871875
27,4,48,latent_to_ee_curriculum,Latent→EE curriculum,0.010041742497488232,0.0029499911847369457,0.014800614750341107,0.005479878967896355,0.9375,0.0001238511843743264,0.0,0.9875
27,8,96,raw_joint,Raw / padded joints,0.021119637175142085,0.00545836145047336,0.03509739774813186,0.012151046606850662,0.828125,0.000811868718757014,0.003608876485093629,0.8875
27,8,96,canonical_ee,Canonical EE,0.009693555134139706,0.0024277844631419724,0.013385036839804338,0.004646509465607913,0.95,8.473367506876554e-05,0.0,0.99375
27,8,96,learned_latent,Learned latent,0.021100110335338592,0.005646025875721789,0.035052942532533646,0.012343220550606491,0.8125,0.0009782835056676028,0.0036097301272498875,0.878125
27,8,96,latent_to_ee_curriculum,Latent→EE curriculum,0.009702221475127086,0.002818082940969644,0.013411608363593099,0.005362844866987926,0.953125,8.365706287470971e-05,0.0,0.99375
27,16,192,raw_joint,Raw / padded joints,0.019573270291656217,0.005076018891656304,0.03400245358889117,0.010908919268432953,0.84375,0.0006873496328510971,0.00296024065892741,0.903125
27,16,192,canonical_ee,Canonical EE,0.0059073988335553275,0.0014798274762506032,0.00913403827057574,0.0033851830750497155,0.971875,2.8499661445326306e-05,0.0,1.0
