seed,shots,latent_explained_variance,latent_components,source_labeled_transitions,source_total_transitions
26,8,0.9999162245125015,"[[0.09024765183311174, -0.16934333057088913, 0.7513267590035668, -0.631416106014856], [-0.16678853865395465, -0.08830713923723654, -0.6317345449802094, -0.751860956036461]]",36,3600
26,16,0.9999162245125015,"[[0.09024765183311174, -0.16934333057088913, 0.7513267590035668, -0.631416106014856], [-0.16678853865395465, -0.08830713923723654, -0.6317345449802094, -0.751860956036461]]",36,3600
26,32,0.9999162245125015,"[[0.09024765183311174, -0.16934333057088913, 0.7513267590035668, -0.631416106014856], [-0.16678853865395465, -0.08830713923723654, -0.6317345449802094, -0.751860956036461]]",36,3600
27,0,0.9999104449437795,"[[0.10480044556411443, -0.16016567289947936, 0.8056496988045937, -0.5606178615155677], [0.15792630021406925, 0.10470002406598866, 0.5610140081000061, 0.8058290584093152]]",36,3600
27,1,0.9999104449437795,"[[0.10480044556411443, -0.16016567289947936, 0.8056496988045937, -0.5606178615155677], [0.15792630021406925, 0.10470002406598866, 0.5610140081000061, 0.8058290584093152]]",36,3600
27,2,0.9999104449437795,"[[0.10480044556411443, -0.16016567289947936, 0.8056496988045937, -0.5606178615155677], [0.15792630021406925, 0.10470002406598866, 0.5610140081000061, 0.8058290584093152]]",36,3600
27,4,0.9999104449437795,"[[0.10480044556411443, -0.16016567289947936, 0.8056496988045937, -0.5606178615155677], [0.15792630021406925, 0.10470002406598866, 0.5610140081000061, 0.8058290584093152]]",36,3600
27,8,0.9999104449437795,"[[0.10480044556411443, -0.16016567289947936, 0.8056496988045937, -0.5606178615155677], [0.15792630021406925, 0.10470002406598866, 0.5610140081000061, 0.8058290584093152]]",36,3600
27,16,0.9999104449437795,"[[0.10480044556411443, -0.16016567289947936, 0.8056496988045937, -0.5606178615155677], [0.15792630021406925, 0.10470002406598866, 0.5610140081000061, 0.8058290584093152]]",36,3600
27,32,0.9999104449437795,"[[0.10480044556411443, -0.16016567289947936, 0.8056496988045937, -0.5606178615155677], [0.15792630021406925, 0.10470002406598866, 0.5610140081000061, 0.8058290584093152]]",36,3600
28,0,0.9999082068452942,"[[0.09367192650222919, -0.1674554725982924, 0.7646562147829251, -0.6152114336356995], [-0.16477048874188466, -0.09285759242523373, -0.6156361383727064, -0.7649969272476146]]",36,3600
28,1,0.9999082068452942,"[[0.09367192650222919, -0.1674554725982924, 0.7646562147829251, -0.6152114336356995], [-0.16477048874188466, -0.09285759242523373, -0.6156361383727064, -0.7649969272476146]]",36,3600
28,2,0.9999082068452942,"[[0.09367192650222919, -0.1674554725982924, 0.7646562147829251, -0.6152114336356995], [-0.16477048874188466, -0.09285759242523373, -0.6156361383727064, -0.7649969272476146]]",36,3600
28,4,0.9999082068452942,"[[0.09367192650222919, -0.1674554725982924, 0.7646562147829251, -0.6152114336356995], [-0.16477048874188466, -0.09285759242523373, -0.6156361383727064, -0.7649969272476146]]",36,3600
28,8,0.9999082068452942,"[[0.09367192650222919, -0.1674554725982924, 0.7646562147829251, -0.6152114336356995], [-0.16477048874188466, -0.09285759242523373, -0.6156361383727064, -0.7649969272476146]]",36,3600
28,16,0.9999082068452942,"[[0.09367192650222919, -0.1674554725982924, 0.7646562147829251, -0.6152114336356995], [-0.16477048874188466, -0.09285759242523373, -0.6156361383727064, -0.7649969272476146]]",36,3600
28,32,0.9999082068452942,"[[0.09367192650222919, -0.1674554725982924, 0.7646562147829251, -0.6152114336356995], [-0.16477048874188466, -0.09285759242523373, -0.6156361383727064, -0.7649969272476146]]",36,3600
