method,label,shots,seeds,prediction_rmse_mean,prediction_rmse_std,prediction_rmse_sem,position_rmse_mean,position_rmse_std,position_rmse_sem,mean_state_l2_mean,mean_state_l2_std,mean_state_l2_sem,p90_position_l2_mean,p90_position_l2_std,p90_position_l2_sem,candidate_top1_mean,candidate_top1_std,candidate_top1_sem,candidate_regret_mean,candidate_regret_std,candidate_regret_sem,candidate_regret_p90_mean,candidate_regret_p90_std,candidate_regret_p90_sem,planning_success_mean,planning_success_std,planning_success_sem
learned_latent,Learned latent,2,8,0.04017476140272309,0.013855268382777512,0.004898577114310774,0.010895073373616646,0.003911465443880754,0.001382911869872465,0.06756287226964158,0.024508570568482255,0.00866508822308142,0.024722350333318086,0.009252614917287936,0.0032712933758610526,0.63125,0.10703491586527132,0.037842557416032464,0.003466378681565277,0.0023291821242301387,0.0008234902373308093,0.011610065979332713,0.0066239870611336064,0.0023419330847097614,0.714453125,0.11524354912028388,0.040744747535478854
latent_to_ee_curriculum,Latent→EE curriculum,2,8,0.011227636352139594,0.0017867268665666524,0.0006317033417387358,0.003090684211588542,0.0005293554440609906,0.00018715541207677127,0.016502597436835544,0.0023716538370347636,0.0008385062553971881,0.006633049963948738,0.0011090617828846375,0.0003921125537162848,0.915234375,0.020555721038453365,0.007267544869234677,0.0001987477255088927,7.390811265895044e-05,2.6130463822921587e-05,8.836566863043165e-05,0.0002499358540506464,8.836566863043165e-05,0.975390625,0.011504742325760398,0.004067540657174534
raw_joint,Raw / padded joints,4,8,0.02468375955885741,0.0024923764216568394,0.0008811881345115064,0.006448469233081351,0.0005905622727121957,0.00020879529387386636,0.041057029142026545,0.003261829898002654,0.0011532310199773505,0.01428904320261195,0.001505447218312227,0.0005322559683935003,0.7570312499999999,0.026817317665749397,0.009481353587342596,0.0012416847971756576,0.0002908065797287124,0.00010281565226991946,0.004671354621931915,0.001438088475559647,0.0005084410565072254,0.8546875,0.032902724594086205,0.011632869839995874
canonical_ee,Canonical EE,4,8,0.010901133406200858,0.0032013520954642235,0.001131848887834258,0.0027315226477426114,0.000807149739461928,0.00028537052710324214,0.01538358988522899,0.0040315599510147475,0.0014253716900613166,0.00531215084806606,0.001491391939664669,0.0005272866769719229,0.9296875,0.015580293184477812,0.005508465481809405,0.00012951571584504708,2.7862436321559356e-05,9.850858831676492e-06,1.3974155475380727e-06,3.952488039198734e-06,1.3974155475380725e-06,0.9859375000000001,0.006469364618834575,0.002287265795973126
learned_latent,Learned latent,4,8,0.02466464514510324,0.0024963047053939845,0.0008825769925459865,0.006703721618438022,0.0007148255778903651,0.00025272900674593485,0.041013513097803135,0.0032750186490097728,0.001157893947613608,0.014665946919869327,0.0018606170125904278,0.0006578274533968737,0.74921875,0.03474837804539536,0.012285406875566403,0.001318883646697471,0.0003347551510979229,0.00011835381868923431,0.004905357690035264,0.0015377715226757062,0.0005436843357997772,0.84765625,0.038554735557756986,0.013631157479872036
latent_to_ee_curriculum,Latent→EE curriculum,4,8,0.01090680842397421,0.0032043990600063967,0.0011329261524791608,0.00305198917129554,0.0009713588767014179,0.00034342722434066,0.015406770247180648,0.00403098605674511,0.001425168787796444,0.0058398011002474895,0.0015398937495127568,0.0005444346562936246,0.9249999999999999,0.011692679333668568,0.004133986423538423,0.00014765806327798805,4.98028025600834e-05,1.760794970616486e-05,0.0,0.0,0.0,0.9828125,0.011205268212509943,0.003961660569039922
raw_joint,Raw / padded joints,8,8,0.021881453662152335,0.0013364511936302319,0.00047250685087039625,0.00571486268897923,0.00032375942779758025,0.0001144662434343727,0.03609894197998133,0.0019434003538045656,0.000687095784367772,0.012198361480987286,0.0006972199111693068,0.00024650446358304954,0.802734375,0.011862952064997509,0.004194186925025347,0.000840325493697417,0.00020394339602701188,7.210487915445685e-05,0.0033347112536963944,0.0010159516048259389,0.0003591931345648885,0.8960937499999999,0.022948773504419404,0.008113616682444565
canonical_ee,Canonical EE,8,8,0.009491524238736442,0.0021720664682084705,0.000767941464429062,0.002377627336211785,0.0005443909040584099,0.0001924712499379884,0.013089889016904527,0.0022658271530708735,0.000801090872466512,0.004632103343869563,0.0006057163239153254,0.00021415306005795695,0.9410156249999999,0.011135015054675823,0.003936822326887785,0.00010255096610081465,2.106421904426804e-05,7.447326063300373e-06,0.0,0.0,0.0,0.9890625000000001,0.0028931878117892133,0.0010228963604812108
learned_latent,Learned latent,8,8,0.021866429781305173,0.0013382885917636218,0.00047315646921032605,0.005892559076045303,0.00036624230134739834,0.0001294862074200562,0.03606451009114606,0.0019462067806403605,0.0006880880060910192,0.012506354185807486,0.0010314922913150306,0.0003646875969652539,0.797265625,0.0134086588328747,0.004740676793671299,0.0008910471610283927,0.00020569876564734057,7.272549603546848e-05,0.0034504000954505643,0.0009900753506115328,0.00035004449715153173,0.89140625,0.02208129763752896,0.007806917648447609
latent_to_ee_curriculum,Latent→EE curriculum,8,8,0.00950052716792433,0.002173995189368664,0.0007686233703347574,0.002695648112067175,0.0007094360857002806,0.0002508235335085545,0.01312370701626029,0.0022675458801984616,0.0008016985342699754,0.005219078926857922,0.0009032552829215816,0.0003193489678482119,0.93984375,0.009987436304105859,0.003531091968650981,0.00011489412733165031,1.9312778559153844e-05,6.828098341365921e-06,0.0,0.0,0.0,0.986328125,0.004706064429086623,0.0016638450352539746
raw_joint,Raw / padded joints,16,8,0.020294643398349653,0.0006684049707224682,0.00023631684368832648,0.00532624979888433,0.00017760096259758905,6.27914224990068e-05,0.033576199669600494,0.0006760512378552389,0.00023902020735849948,0.01094634595996961,0.00039237633260244325,0.0001387259827801479,0.8296874999999999,0.013672672170637086,0.004834019604399038,0.0006194210222041422,9.616369079916117e-05,3.3998998934006635e-05,0.0022123993118395397,0.0005360831660331406,0.00018953402099099377,0.923046875,0.01829336061008787,0.0064676796690420054
canonical_ee,Canonical EE,16,8,0.006724390732280988,0.0013764246798843695,0.00048663961246938025,0.0016847025797287808,0.0003449338735377671,0.00012195254051974905,0.009803641242871971,0.0012350434665363572,0.0004366538051239995,0.003486679482378237,0.00046001978570163146,0.000162641554974803,0.955859375,0.012985816008657843,0.004591179279481393,6.47360203071105e-05,3.94783123634052e-05,1.3957691190982266e-05,0.0,0.0,0.0,0.994140625,0.005890912151962799,0.0020827519650135663
learned_latent,Learned latent,16,8,0.02028438214146382,0.000669869199104611,0.000236834526597436,0.005480696030167039,0.00014842424217362965,5.247589406672394e-05,0.03355044558842668,0.0006771136976442772,0.000239395843619283,0.011341056727986763,0.0004131583371261789,0.0001460735309428394,0.81875,0.01521791120451725,0.005380344104104444,0.0006664203506353922,0.00013214234122486328,4.6719372780983746e-05,0.002390307979349381,0.000632898649332413,0.000223763463373378,0.916015625,0.01855835842445969,0.0065613705448129694
latent_to_ee_curriculum,Latent→EE curriculum,16,8,0.006727171181753612,0.0013754319260384762,0.0004862886209811402,0.0017975719830257966,0.000293992477918296,0.00010394203737693171,0.009827840354934458,0.0012380484996801003,0.000437716244780815,0.0037587165714208907,0.00037117096054949437,0.00013122875159203597,0.94921875,0.0134411332297541,0.004752158226795483,8.157935379948794e-05,3.616124256216949e-05,1.2784929915920823e-05,0.0,0.0,0.0,0.99140625,0.005476716136779163,0.0019363115594751687
raw_joint,Raw / padded joints,32,8,0.019361543619188428,0.0003398943503955546,0.00012017080002584656,0.005071236238263428,8.215149026541284e-05,2.9044937925627032e-05,0.03213288122426841,0.0007224354907959122,0.00025541951725581056,0.010471349722975542,0.0004544385934029694,0.00016066830551405794,0.8328125,0.009449111825230661,0.0033407655239052975,0.0006098566455505887,0.00013047173604555,4.6128724655494854e-05,0.0021319819380078136,0.0005952895468834945,0.00021046663768539307,0.923046875,0.018595906987733314,0.006574645966670265
canonical_ee,Canonical EE,32,8,0.006271925076354147,0.0011320431381002722,0.00040023768977320086,0.0015713624470135514,0.0002835933582199781,0.00010026539334840611,0.00912934281568211,0.0007984069824453188,0.00028227949571688684,0.003184261661585788,0.00019164419981531727,6.775645663224026e-05,0.956640625,0.012437062537173768,0.004397165629038369,6.10419935181519e-05,2.5887703371559714e-05,9.15268530168786e-06,0.0,0.0,0.0,0.99453125,0.00465014880714277,0.0016440758775285937
learned_latent,Learned latent,32,8,0.01935322154851542,0.00034011528362980746,0.00012024891171991139,0.005244867229111779,5.9216855142082596e-05,2.0936319915754038e-05,0.03211342452882841,0.0007229422784476844,0.0002555986937484054,0.010730435243483825,0.000442218407715354,0.00015634781743052213,0.8316406249999999,0.013615156585191574,0.0048136847741528195,0.0006086577266379987,0.0001099131274159505,3.886015886861981e-05,0.002102738771378865,0.0005331954638890428,0.00018851306410692454,0.92265625,0.017657928965684015,0.006243020656672762
latent_to_ee_curriculum,Latent→EE curriculum,32,8,0.006274078767623885,0.001129880911694595,0.00039947322729624337,0.0016850915119006166,0.00026183275383103214,9.25718578853354e-05,0.009152540944944602,0.0007987079812095397,0.00028238591485054153,0.003425022413801157,0.00022382364732624307,7.913360940714636e-05,0.951953125,0.006455872707133739,0.0022824956848457104,7.769195976196718e-05,1.771926144472357e-05,6.264704962590689e-06,0.0,0.0,0.0,0.9917968749999999,0.004706064429086589,0.0016638450352539627
