lineage,episode_id,reward_gain,true_success,reported_success,stage_mismatch_rate,compiled_return,lineage_return,final_object_error,min_goal_error,transition_approach,transition_grasp,transition_carry,transition_open
copied_demo_labels,test_016,0.5,0.0,0.0,0.0,-7.698394242849613,-7.698394242849613,0.8439270483698211,0.8439270483698211,44,44,44,44
copied_demo_labels,test_017,0.5,0.0,0.0,0.022727272727272728,-27.838807761663933,-27.838807761663933,1.0389824012677515,1.0389824012677515,7,44,44,44
copied_demo_labels,test_018,0.5,0.0,0.0,0.022727272727272728,-27.96064292501866,-27.96064292501866,1.02254604719757,1.02254604719757,7,44,44,44
copied_demo_labels,test_019,0.5,0.0,0.0,0.0,-7.2998953680801595,-7.2998953680801595,1.2253488316917864,1.2253488316917864,44,44,44,44
copied_demo_labels,test_020,0.5,0.0,0.0,0.0,-8.327712683450605,-8.327712683450605,0.786355831092505,0.786355831092505,44,44,44,44
copied_demo_labels,test_021,0.5,0.0,0.0,0.022727272727272728,-26.770284948856663,-26.770284948856663,0.9398174548288014,0.9398174548288014,7,44,44,44
copied_demo_labels,test_022,0.5,0.0,0.0,0.0,-7.061424345091535,-7.061424345091535,1.1155591324354337,1.1155591324354337,44,44,44,44
copied_demo_labels,test_023,0.5,0.0,0.0,0.0,-8.054414981809673,-8.054414981809673,1.078861335050338,1.078861335050338,44,44,44,44
copied_demo_labels,test_024,0.5,0.0,0.0,0.022727272727272728,-27.679746473592406,-27.679746473592406,1.135013964522157,1.135013964522157,6,44,44,44
copied_demo_labels,test_025,0.5,0.0,0.0,0.0,-7.988009338817513,-7.988009338817513,1.1746355612675767,1.1746355612675767,44,44,44,44
copied_demo_labels,test_026,0.5,0.0,0.0,0.022727272727272728,-27.575439099258187,-27.575439099258187,0.9244754465208153,0.9244754465208153,7,44,44,44
copied_demo_labels,test_027,0.5,0.0,0.0,0.0,-7.681002949167432,-7.681002949167432,1.3053306525740491,1.3053306525740491,44,44,44,44
copied_demo_labels,test_028,0.5,0.0,0.0,0.022727272727272728,-27.17238321350589,-27.17238321350589,0.7316556781163359,0.7316556781163359,7,44,44,44
copied_demo_labels,test_029,0.5,0.0,0.0,0.022727272727272728,-27.556771345254646,-27.556771345254646,0.8624054291430779,0.8624054291430779,6,44,44,44
copied_demo_labels,test_030,0.5,0.0,0.0,0.0,-7.696662335986072,-7.696662335986072,1.0639894662321863,1.0639894662321863,44,44,44,44
copied_demo_labels,test_031,0.5,0.0,0.0,0.0,-8.182626428466307,-8.182626428466307,0.7913486738935527,0.7913486738935527,44,44,44,44
copied_demo_labels,test_032,0.5,0.0,0.0,0.022727272727272728,-27.15230276004848,-27.15230276004848,0.9998411144891274,0.9998411144891274,7,44,44,44
copied_demo_labels,test_033,0.5,0.0,0.0,0.0,-9.171060619807687,-9.171060619807687,0.9473735154781386,0.9473735154781386,44,44,44,44
copied_demo_labels,test_034,0.5,0.0,0.0,0.022727272727272728,-28.398751214515908,-28.398751214515908,1.0825549833229704,1.0825549833229704,5,44,44,44
copied_demo_labels,test_035,0.5,0.0,0.0,0.022727272727272728,-29.010118180616693,-29.010118180616693,1.2247759597019954,1.2247759597019954,6,44,44,44
copied_stage_guards,test_000,0.75,1.0,1.0,0.8863636363636364,19.135430331129335,19.135430331129335,0.04195260036332797,0.04195260036332797,5,8,16,18
copied_stage_guards,test_001,0.75,1.0,1.0,0.8636363636363636,24.546584182123656,24.546584182123656,0.031341115907063226,0.031341115907063226,6,9,15,17
copied_stage_guards,test_002,0.75,1.0,1.0,0.8863636363636364,16.470492993728467,16.470492993728467,0.04401807089697341,0.04401807089697341,5,8,17,19
copied_stage_guards,test_003,0.75,1.0,1.0,0.8863636363636364,24.14920821114021,24.14920821114021,0.02726294909486167,0.02726294909486167,5,8,15,17
copied_stage_guards,test_004,0.75,1.0,1.0,0.8863636363636364,19.88586558368103,19.88586558368103,0.028453965588629657,0.028453965588629657,5,8,17,19
copied_stage_guards,test_005,0.75,1.0,1.0,0.8863636363636364,21.66707992713372,21.66707992713372,0.027666521233628814,0.027666521233628814,5,8,16,18
copied_stage_guards,test_006,0.75,1.0,1.0,0.9090909090909091,17.919449286488163,17.919449286488163,0.02043316530727362,0.02043316530727362,4,7,17,19
copied_stage_guards,test_007,0.75,1.0,1.0,0.9090909090909091,19.409659095716133,19.409659095716133,0.037093568589998044,0.037093568589998044,4,7,16,18
copied_stage_guards,test_008,0.75,1.0,1.0,0.8636363636363636,20.442184808040874,20.442184808040874,0.03275938408356091,0.03275938408356091,6,9,17,19
copied_stage_guards,test_009,0.75,1.0,1.0,0.8636363636363636,20.520615635438183,20.520615635438183,0.031497584624042334,0.031497584624042334,6,9,17,19
copied_stage_guards,test_010,0.75,1.0,1.0,0.8636363636363636,18.024802158608644,18.024802158608644,0.02526354384713568,0.02526354384713568,6,9,18,20
copied_stage_guards,test_011,0.75,1.0,1.0,0.8863636363636364,17.350070854049605,17.350070854049605,0.05374546938071883,0.05374546938071883,5,8,17,19
copied_stage_guards,test_012,0.75,1.0,1.0,0.8863636363636364,22.26367551674267,22.26367551674267,0.020549547859775044,0.020549547859775044,5,8,16,18
copied_stage_guards,test_013,0.75,1.0,1.0,0.9090909090909091,23.24471358781367,23.24471358781367,0.031416460237941375,0.031416460237941375,4,7,15,17
copied_stage_guards,test_014,0.75,1.0,1.0,0.9318181818181818,22.377838826974966,22.377838826974966,0.04696658336127467,0.04696658336127467,3,6,14,16
copied_stage_guards,test_015,0.75,1.0,1.0,0.9090909090909091,22.4849106533292,22.4849106533292,0.02067960453289079,0.02067960453289079,4,7,15,17
copied_stage_guards,test_016,0.75,1.0,1.0,0.8863636363636364,23.19505137401109,23.19505137401109,0.054735113606215836,0.054735113606215836,5,8,14,16
copied_stage_guards,test_017,0.75,1.0,1.0,0.8636363636363636,18.56746084986495,18.56746084986495,0.03868543239644469,0.03868543239644469,6,9,17,19
copied_stage_guards,test_018,0.75,1.0,1.0,0.8636363636363636,20.33045442611061,20.33045442611061,0.028258304095369644,0.028258304095369644,6,9,17,19
copied_stage_guards,test_019,0.75,1.0,1.0,0.9090909090909091,20.92316549992733,20.92316549992733,0.024251742853763286,0.024251742853763286,4,7,16,18
copied_stage_guards,test_020,0.75,1.0,1.0,0.8636363636363636,21.65307013867328,21.65307013867328,0.051208295248131266,0.051208295248131266,6,9,15,17
copied_stage_guards,test_021,0.75,1.0,1.0,0.8636363636363636,22.34415646656463,22.34415646656463,0.03284302548130569,0.03284302548130569,6,9,16,18
copied_stage_guards,test_022,0.75,1.0,1.0,0.9090909090909091,21.598095018896363,21.598095018896363,0.05360436137985426,0.05360436137985426,4,7,15,17
copied_stage_guards,test_023,0.75,1.0,1.0,0.8863636363636364,18.406906806891158,18.406906806891158,0.051221428695645305,0.051221428695645305,5,8,16,18
copied_stage_guards,test_024,0.75,1.0,1.0,0.8863636363636364,18.00390066520304,18.00390066520304,0.03527616295256173,0.03527616295256173,5,8,17,19
copied_stage_guards,test_025,0.75,1.0,1.0,0.8636363636363636,16.555220979670263,16.555220979670263,0.017258494721810205,0.017258494721810205,6,9,19,21
copied_stage_guards,test_026,0.75,1.0,1.0,0.8636363636363636,22.61320622374251,22.61320622374251,0.032124566937265765,0.032124566937265765,6,9,16,18
copied_stage_guards,test_027,0.75,1.0,1.0,0.8863636363636364,14.632854433786962,14.632854433786962,0.027263382396792046,0.027263382396792046,5,8,19,21
copied_stage_guards,test_028,0.75,1.0,1.0,0.8636363636363636,26.56500496399039,26.56500496399039,0.02801946591952227,0.02801946591952227,6,9,14,16
copied_stage_guards,test_029,0.75,1.0,1.0,0.8863636363636364,24.43876636338229,24.43876636338229,0.045460152716425326,0.045460152716425326,5,8,14,16
copied_stage_guards,test_030,0.75,1.0,1.0,0.8863636363636364,21.34330176031173,21.34330176031173,0.03771216088035597,0.03771216088035597,5,8,16,18
copied_stage_guards,test_031,0.75,1.0,1.0,0.8636363636363636,23.038182073651438,23.038182073651438,0.04481663290723355,0.04481663290723355,6,9,15,17
copied_stage_guards,test_032,0.75,1.0,1.0,0.8636363636363636,21.937245391056976,21.937245391056976,0.029050037980391144,0.029050037980391144,6,9,16,18
copied_stage_guards,test_033,0.75,1.0,1.0,0.8636363636363636,20.29507061059777,20.29507061059777,0.030290593015176243,0.030290593015176243,6,9,17,19
copied_stage_guards,test_034,0.75,1.0,1.0,0.9090909090909091,20.45319993825691,20.45319993825691,0.04954918631610426,0.04954918631610426,4,7,15,17
copied_stage_guards,test_035,0.75,1.0,1.0,0.8863636363636364,15.883978205785423,15.883978205785423,0.028218137772397952,0.028218137772397952,5,8,18,20
copied_rewards,test_000,0.5,0.0,0.0,0.0,-6.668295974488138,-2.5219364496467405,1.0455271492650569,1.0455271492650569,44,44,44,44
copied_rewards,test_001,0.5,0.0,0.0,0.09090909090909091,9.376472637930727,24.823507551116492,0.04225094259901978,0.032524211982974484,7,10,18,21
copied_rewards,test_002,0.5,0.0,0.0,0.0,-7.468713182751816,-4.859372054508405,1.2012170821446944,1.2012170821446944,44,44,44,44
copied_rewards,test_003,0.5,0.0,0.0,0.0,-7.27408307665226,-3.902676306061128,0.9141617760891109,0.9141617760891109,44,44,44,44
copied_rewards,test_004,0.5,0.0,0.0,0.022727272727272728,-24.499007100449038,1.8131646164814768,1.086800858452082,1.086800858452082,6,44,44,44
copied_rewards,test_005,0.5,0.0,0.0,0.0,-7.681617929550329,-4.687637393002457,1.1251780713953907,1.1251780713953907,44,44,44,44
copied_rewards,test_006,0.5,0.0,0.0,0.0,-7.982753126059026,-3.9584238032485404,1.2172223646121094,1.2172223646121094,44,44,44,44
copied_rewards,test_007,0.5,0.0,0.0,0.0,-6.82046644446685,-2.9429348540555536,1.1748627137934493,1.1748627137934493,44,44,44,44
copied_rewards,test_008,0.5,0.0,0.0,0.0,-7.009751545640439,-4.891159715701098,1.0336079730795456,1.0336079730795456,44,44,44,44
copied_rewards,test_009,0.5,0.0,0.0,0.0,-7.361174093226241,-5.0157224377242775,1.035913730110419,1.035913730110419,44,44,44,44
copied_rewards,test_010,0.5,0.0,0.0,0.0,-7.050468419219153,-5.268977997684035,1.0850736139917019,1.0850736139917019,44,44,44,44
copied_rewards,test_011,0.5,0.0,0.0,0.0,-7.245007065064158,-3.2575333954839767,1.2088693236867663,1.2088693236867663,44,44,44,44
copied_rewards,test_012,0.5,0.0,0.0,0.0,-6.683944331275372,-3.2440208275463935,1.0165477735620274,1.0165477735620274,44,44,44,44
copied_rewards,test_013,0.5,0.0,0.0,0.0,-7.461268337455246,-3.2741677473281534,1.1000325492484833,1.1000325492484833,44,44,44,44
copied_rewards,test_014,0.5,0.0,0.0,0.022727272727272728,-24.26324035591286,3.2483555787636487,1.1810773383339395,1.1810773383339395,4,44,44,44
copied_rewards,test_015,0.5,0.0,0.0,0.0,-7.051024213741732,-3.22299605914192,1.0423031058566212,1.0423031058566212,44,44,44,44
copied_rewards,test_016,0.5,0.0,0.0,0.0,-6.127721119354951,-3.3295078822569004,0.8439270483698211,0.8439270483698211,44,44,44,44
copied_rewards,test_017,0.5,0.0,0.0,0.0,-7.295056212261625,-5.34083927828812,1.0389824012677515,1.0389824012677515,44,44,44,44
copied_rewards,test_018,0.5,0.0,0.0,0.0,-7.529523277877129,-5.300582848442157,1.02254604719757,1.02254604719757,44,44,44,44
copied_rewards,test_019,0.5,0.0,0.0,0.0,-7.6013784791917445,-3.0397053858308083,1.2253488316917864,1.2253488316917864,44,44,44,44
copied_rewards,test_020,0.5,0.0,0.0,0.0,-5.9534192536293515,-2.91093436740842,0.786355831092505,0.786355831092505,44,44,44,44
copied_rewards,test_021,0.5,0.0,0.0,0.0,-6.960536984373448,-3.6908296964275764,0.9398174548288014,0.9398174548288014,44,44,44,44
copied_rewards,test_022,0.5,0.0,0.0,0.0,-6.708386828937698,-3.6251647957181463,1.1155591324354337,1.1155591324354337,44,44,44,44
copied_rewards,test_023,0.5,0.0,0.0,0.0,-7.078389599603315,-3.651706789303759,1.078861335050338,1.078861335050338,44,44,44,44
copied_rewards,test_024,0.5,0.0,0.0,0.0,-7.578808108307477,-4.124376465905273,1.135013964522157,1.135013964522157,44,44,44,44
copied_rewards,test_025,0.5,0.0,0.0,0.0,-7.235656132645862,-4.968057321280381,1.1746355612675767,1.1746355612675767,44,44,44,44
copied_rewards,test_026,0.5,0.0,0.0,0.0,-7.204145408537307,-4.246953447050594,0.9244754465208153,0.9244754465208153,44,44,44,44
copied_rewards,test_027,0.5,0.0,0.0,0.0,-7.1635634893767755,-4.626665387336484,1.3053306525740491,1.3053306525740491,44,44,44,44
copied_rewards,test_028,0.5,0.0,0.0,0.022727272727272728,-22.661466177839902,5.95287539710471,0.7316556781163359,0.7316556781163359,7,44,44,44
copied_rewards,test_029,0.5,0.0,0.0,0.0,-6.5219112883651915,-2.486874859976998,0.8624054291430779,0.8624054291430779,44,44,44,44
