sweep,method,planner_latency,planner_cadence,transport_delay,controller_capacity,controller_noise,planner_profile,n,success_mean,success_sem,completion_steps_mean,completion_steps_sem,completion_time_s_mean,completion_time_s_sem,idle_steps_mean,idle_steps_sem,idle_fraction_mean,idle_fraction_sem,stale_instruction_errors_mean,stale_instruction_errors_sem,stale_error_fraction_mean,stale_error_fraction_sem,wrong_instruction_errors_mean,wrong_instruction_errors_sem,wrong_instruction_fraction_mean,wrong_instruction_fraction_sem,control_smoothness_mean,control_smoothness_sem,safety_violations_mean,safety_violations_sem,planner_calls_mean,planner_calls_sem,path_length_mean,path_length_sem
latency,sync_instruction,0,16,4,medium,0.055,balanced,32,0.90625,0.0523514603733822,95.78125,10.031978543536855,7.6625,0.8025582834829484,2.375,0.13281991203226293,0.030121375765063158,0.00180590907353015,0.0,0.0,0.0,0.0,23.375,13.059552646342087,0.09013030888030887,0.050352556972133165,0.40339964761179614,0.01626406214555677,5.3125,1.50565968555636,3.375,0.13281991203226293,5.175816084108968,0.27327507130608114
latency,sync_instruction,12,16,4,medium,0.055,balanced,32,0.90625,0.0523514603733822,135.15625,8.257097310676668,10.8125,0.6605677848541335,39.5,1.5938389443871552,0.32003033244335766,0.016027131903244562,0.0,0.0,0.0,0.0,21.65625,12.11342641643441,0.08979430379746836,0.05016937477334935,0.3886686541783929,0.01653724192627346,18.96875,2.5046265154419407,3.375,0.13281991203226293,6.253224800001026,0.33745587331209087
latency,sync_instruction,24,16,4,medium,0.055,balanced,32,0.90625,0.0523514603733822,173.8125,6.8166419784893515,13.905000000000001,0.5453313582791481,80.0,3.1876778887743105,0.48049734504602004,0.020781069642954886,0.0,0.0,0.0,0.0,19.78125,11.092330099955145,0.08934859154929578,0.04992703405918175,0.3932123220582801,0.016395592610748768,30.375,2.8742986521820386,3.375,0.13281991203226293,6.309403046741084,0.3372275188939489
latency,sync_instruction,6,16,4,medium,0.055,balanced,32,0.90625,0.0523514603733822,114.71875,9.045721049448488,9.1775,0.7236576839558791,19.25,0.7969194721935776,0.19111409595617812,0.010194106663524887,0.0,0.0,0.0,0.0,22.59375,12.628441671976,0.08998493975903615,0.05027325364462611,0.39475315151200985,0.016453943791171943,8.125,1.7567553945068826,3.375,0.13281991203226293,5.884515163130866,0.31119465981514133
planner_swap,async_online,10,16,4,medium,0.055,balanced,32,0.90625,0.0523514603733822,110.6875,9.09874564866126,8.855,0.727899651892901,9.0,0.0,0.09160932993554846,0.004406603242535932,8.25,1.0395408415691623,0.09693084959491433,0.012887948195843756,30.46875,12.208866454789613,0.18545176592957568,0.04635754630721724,0.3388614711891645,0.012847070442305196,8.09375,2.0489766205431086,3.46875,0.10024541458421572,5.2513586744173235,0.26928780917858247
planner_swap,async_online,10,16,4,medium,0.055,heldout_synonyms,32,0.90625,0.0523514603733822,110.6875,9.09874564866126,8.855,0.727899651892901,9.0,0.0,0.09160932993554846,0.004406603242535932,8.25,1.0395408415691623,0.09693084959491433,0.012887948195843756,30.46875,12.208866454789613,0.18545176592957568,0.04635754630721724,0.3388614711891645,0.012847070442305196,8.09375,2.0489766205431086,3.46875,0.10024541458421572,5.2513586744173235,0.26928780917858247
planner_swap,async_online,18,16,4,medium,0.055,strong_slow,32,0.96875,0.03125,115.78125,5.483430755724246,9.2625,0.43867446045793973,17.0,0.0,0.15359600378899443,0.0050621926943528565,15.46875,1.5798532336642397,0.1626081803597077,0.016293397554190913,22.375,6.813138102699197,0.1910289622527118,0.02877285521378805,0.33792477851915087,0.008177383178825536,10.9375,1.7121114463838822,3.53125,0.08962708359030336,5.586132687562078,0.21348397423505566
planner_swap,async_online,5,16,4,medium,0.055,fast_terse,32,0.625,0.08695104295503155,152.15625,15.218112442762555,12.172500000000001,1.2174489954210044,4.0,0.0,0.035531508030552605,0.003101463201536668,4.84375,0.5787036663679797,0.047848508955232336,0.0073049131149244195,89.25,19.60265576148359,0.3775604230177323,0.07277579375323155,0.28816112652199094,0.019188398358032422,5.53125,1.380293604081299,3.34375,0.1063448343377457,4.869807097154719,0.3172474842457328
planner_swap,async_online,8,16,4,medium,0.055,cipher_interface,32,0.0,0.0,260.0,0.0,20.8,0.0,7.0,0.0,0.026923076923076925,0.0,0.0,0.0,0.0,0.0,253.0,0.0,1.0,0.0,0.11026545962735476,0.0011827921629508449,13.59375,2.716014103587663,2.03125,0.03125,1.4312096213083216,0.04404205510830919
staleness,async_online,10,16,0,medium,0.055,balanced,32,0.90625,0.0523514603733822,105.25,9.415155935528766,8.420000000000002,0.7532124748423014,9.0,0.0,0.09791760454005421,0.0048899692181202815,2.84375,0.6223482050319191,0.03785495046773668,0.00861342042380617,25.3125,12.480827029759453,0.12737188273865302,0.04886071221591264,0.35413097739541904,0.01375116815049005,7.5,1.864351482852121,3.46875,0.10024541458421572,5.0891530816677815,0.2592638106181209
staleness,async_online,10,16,16,medium,0.055,balanced,32,0.90625,0.0523514603733822,128.65625,8.253006462823304,10.292499999999999,0.6602405170258644,9.0,0.0,0.07626089800759768,0.003441707695877069,27.09375,1.8618405820108712,0.25155807494734866,0.01756859388824044,48.5625,11.234661362382907,0.3370909434732451,0.03826948117787956,0.3018248421955999,0.010578541116030361,9.28125,2.1085627916595153,3.46875,0.10024541458421572,5.483310164344466,0.2890730173586238
