condition,severity,trial,method,success,tracking_rmse,tail_rmse,final_error,inference_calls,mean_horizon,horizon_std,p10_horizon,p90_horizon,selected_action_error,compute_normalized
clean,1.0,84,fixed_12,1,0.378715898100398,0.47607831184391575,0.4273712788360793,14,12.0,0.0,12.0,12.0,1.6130067341206717,0.08333333333333333
clean,1.0,84,fixed_24,0,1.074729979538225,1.1611677823553217,1.1108828483593451,7,24.0,0.0,24.0,24.0,0.6953048368313992,0.041666666666666664
clean,1.0,84,state_error,0,0.7446580685910171,1.1684504774447566,1.2893709041517663,13,12.923076923076923,7.300806472433645,6.0,23.8,0.9577914252805084,0.07738095238095238
clean,1.0,84,ensemble_uncertainty,0,1.1082967011810683,1.2668450680146226,1.0739851537211353,8,21.0,6.144102863722254,16.200000000000003,24.0,0.6732809955030019,0.047619047619047616
clean,1.0,84,attention_entropy,0,0.39795075149886894,0.5166974171742468,0.36185634863358906,13,12.923076923076923,2.0925339244208376,11.0,16.0,2.2791515394335997,0.07738095238095238
clean,1.0,84,shuffled_attention,0,0.8619064426951166,1.1614974817672694,0.3305273918354456,9,18.666666666666668,7.60116950066092,7.6,24.0,0.825919582827852,0.05357142857142857
clean,1.0,84,oracle_stop,1,0.1559851713601757,0.18349612168537985,0.18730846564622236,40,4.2,3.3778691508109073,1.0,8.400000000000006,0.6251518758334982,0.23809523809523808
clean,1.0,85,fixed_3,1,0.1536541540508383,0.21575256010144656,0.20422121619452485,56,3.0,0.0,3.0,3.0,0.35488725003212124,0.3333333333333333
clean,1.0,85,fixed_6,1,0.20730439010369756,0.293816120471436,0.2671887557807695,28,6.0,0.0,6.0,6.0,0.5117664707639263,0.16666666666666666
clean,1.0,85,fixed_12,0,0.4055103351459328,0.5532075724751488,0.4478638627487182,14,12.0,0.0,12.0,12.0,1.547621856753094,0.08333333333333333
clean,1.0,85,fixed_24,0,1.0283377846427908,1.0697148191618715,1.370134218035894,7,24.0,0.0,24.0,24.0,0.7461362952042487,0.041666666666666664
clean,1.0,85,state_error,0,0.7020725549973457,0.5866571607411544,0.26184854439735916,14,12.0,5.879747322073336,6.3,21.400000000000002,0.9878439104802039,0.08333333333333333
clean,1.0,85,ensemble_uncertainty,0,1.017871757475001,1.1362242055895788,0.7759203730504514,8,21.0,5.634713834792322,14.700000000000001,24.0,0.8099881323127629,0.047619047619047616
