severity,method,success,success_sem,tracking_rmse,tracking_rmse_sem,tail_rmse,tail_rmse_sem,final_error,final_error_sem,inference_calls,inference_calls_sem,mean_horizon,mean_horizon_sem,selected_action_error,selected_action_error_sem,n
0.5,state_error,0.125,0.05295740910852021,0.6393636120630157,0.01712282310017837,0.7035038389097534,0.037249304569771526,0.38287370277687777,0.03907422752761825,13.975,0.09119927462599518,12.041538461538462,0.0789980496754583,1.1158055450660824,0.029394270005028998,40
1.0,attention_entropy,0.35,0.07637626158259733,0.3940186322358035,0.0033649023665711436,0.49431413226669657,0.006051026739521664,0.3475008379898707,0.007218292761018206,13.0,0.0,12.923076923076923,0.0,2.247381742507945,0.014661071725072352,40
1.0,ensemble_uncertainty,0.0,0.0,0.9740900239247612,0.02087377736643418,1.2200236827837263,0.037230077904037956,0.5821934162675211,0.045259891909050526,8.125,0.06392603899459484,20.725,0.15738582892147285,0.9425246246027875,0.031920282327985695,40
1.0,fixed_12,0.1,0.048038446141526144,0.3828366782388458,0.0037242030375977202,0.5425096600318847,0.007259508247837106,0.3744440460897256,0.014511952020418245,14.0,0.0,12.0,0.0,1.6207274545395733,0.01471306359782215,40
1.0,fixed_24,0.0,0.0,1.07338113184456,0.015636919266419136,1.4370816390613168,0.02990387802029657,1.2421254231398449,0.03398062207653751,7.0,0.0,24.0,0.0,0.7841905095462243,0.014891770893770407,40
1.0,fixed_3,1.0,0.0,0.15133984835373346,0.001120627545990678,0.215932100118773,0.0014828494270219116,0.1999323155711828,0.00199215735324444,56.0,0.0,3.0,0.0,0.3584228980788347,0.0011841552582558677,40
1.0,fixed_6,1.0,0.0,0.20751054145572656,0.0013821394291655643,0.3018923760370334,0.001776153992933255,0.25565320653820295,0.0028935421575123133,28.0,0.0,6.0,0.0,0.5269154038718653,0.003023093102398426,40
1.0,oracle_stop,1.0,0.0,0.1500935325716053,0.0011654054020996433,0.18769194730734534,0.0015899323244520306,0.19032591533209828,0.002175437016051067,38.225,0.30694420273030665,4.4065012379586115,0.03672796901542294,0.5770159569332323,0.007910238449575885,40
1.0,shuffled_attention,0.0,0.0,0.9120726126496361,0.016433743657940033,1.101065774300463,0.04919558658423385,0.7804558846691492,0.05515910632037083,8.975,0.13628542823324125,18.878787878787882,0.272114480338564,0.8811445347938228,0.03317926548208147,40
1.0,state_error,0.15,0.05717718748968655,0.6584390682034214,0.01778003943425439,0.7329675510670635,0.038801615757712724,0.41188608739907073,0.04237208321465862,14.075,0.09731985329907689,11.95923076923077,0.08626779939210055,1.0840252569499524,0.031304200136214905,40
1.5,attention_entropy,0.55,0.07966275068156914,0.3931369321952717,0.003952458060797763,0.48336307768915276,0.007725492403528471,0.3511190932500575,0.008771171236067294,13.625,0.07752170911825529,12.346153846153845,0.07155850072454335,2.11131169854527,0.023357114071132234,40
1.5,ensemble_uncertainty,0.0,0.0,0.9787627995011615,0.021505277864111428,1.2263650462573898,0.038660545738711825,0.5876566208228192,0.045302328949083315,8.125,0.06392603899459484,20.725,0.15738582892147285,0.9673007046269039,0.032758549574946255,40
1.5,fixed_12,0.1,0.048038446141526144,0.38717709174549403,0.004018456220417101,0.54890457969604,0.007918617164807367,0.3741158331907891,0.014461916557630291,14.0,0.0,12.0,0.0,1.6283377717741083,0.015369700505139031,40
1.5,fixed_24,0.0,0.0,1.0811679193651274,0.01659236339647054,1.452377992428311,0.032900938644319484,1.2441140620561315,0.03425390978917402,7.0,0.0,24.0,0.0,0.8115021698163023,0.01625772273841107,40
1.5,fixed_3,1.0,0.0,0.15350996456261998,0.0012078277594080073,0.21824060678847976,0.0019595261645372463,0.19981508437776266,0.0020542799371664217,56.0,0.0,3.0,0.0,0.3654595531469357,0.00149649464373563,40
1.5,fixed_6,1.0,0.0,0.21019902054335998,0.0015818360666386996,0.30467454676583616,0.0023239430938636553,0.25546478013354396,0.002943580595614317,28.0,0.0,6.0,0.0,0.5385989454449216,0.003586974670392011,40
1.5,oracle_stop,1.0,0.0,0.15162218118222054,0.0013301972273308258,0.1894691781148971,0.0020194943125606533,0.1911608909318578,0.002109657313872788,38.4,0.3137858162210944,4.386847373567905,0.03728531387209866,0.5814320060595511,0.007947548155505755,40
1.5,shuffled_attention,0.0,0.0,0.8973522270793579,0.016681671575586414,1.0957689614292652,0.04777373635925123,0.7303882453805628,0.053520254116298786,9.05,0.13844373104863458,18.72712121212121,0.27583240422791433,0.9085170246598473,0.03500075623476294,40
1.5,state_error,0.15,0.05717718748968655,0.6478741513751123,0.02032101673272693,0.7343500549613061,0.041483104900719624,0.43128538132657895,0.04179127600053309,14.05,0.1071184343348939,11.985384615384614,0.09477304418670489,1.111364332055133,0.028741553641690485,40
