condition,trial,signal,pearson_action_error,mean_signal,mean_action_error
distractor,2,ensemble_uncertainty,0.2702749336504458,0.14332061716164787,1.060716031683371
distractor,3,attention_entropy,0.5201869242787407,0.8883445910801361,0.809062802973887
distractor,3,state_error,0.10721292298133307,0.3414893923919579,0.809062802973887
distractor,3,ensemble_uncertainty,0.44479457869289657,0.144690248231439,0.809062802973887
distractor,4,attention_entropy,0.6831971397637323,0.8878560431038992,1.2523882821769412
distractor,4,state_error,0.2136500784023188,0.27557057015953773,1.2523882821769412
distractor,4,ensemble_uncertainty,0.7091033612263327,0.1566955384359715,1.2523882821769412
distractor,5,attention_entropy,0.40447581107106284,0.9283281313556081,1.3840284983441442
distractor,5,state_error,-0.27446899003213654,0.8073279387479175,1.3840284983441442
distractor,5,ensemble_uncertainty,-0.006632222294013489,0.17233976102934437,1.3840284983441442
distractor,6,attention_entropy,0.4726979364412032,0.9282583262877134,1.215704838073149
distractor,6,state_error,-0.2705824220194464,0.29730769826897696,1.215704838073149
distractor,6,ensemble_uncertainty,0.03394949814689244,0.1750577657055068,1.215704838073149
distractor,7,attention_entropy,0.5540286104176267,0.7723244633193312,0.7270299072087706
distractor,7,state_error,0.19611157605379628,0.17339497771273535,0.7270299072087706
distractor,7,ensemble_uncertainty,0.6290782871042706,0.08981802506964949,0.7270299072087706
distractor,8,attention_entropy,0.6116039606765535,0.77192360122437,0.8594827975277405
distractor,8,state_error,0.20410193365328166,0.2017256426685514,0.8594827975277405
distractor,8,ensemble_uncertainty,0.6944166951250932,0.08591741827238653,0.8594827975277405
distractor,9,attention_entropy,0.5416538445838842,0.772870931513998,0.8982388323997498
distractor,9,state_error,0.23458154629706107,0.20083602443169124,0.8982388323997498
distractor,9,ensemble_uncertainty,0.5553460645340794,0.09216935567599203,0.8982388323997498
distractor,10,attention_entropy,0.5284398033735611,0.8906477154495288,0.8109059685011641
distractor,10,state_error,0.10352544838730898,0.3581289871653966,0.8109059685011641
distractor,10,ensemble_uncertainty,0.49045886176772613,0.1501215783536781,0.8109059685011641
distractor,11,attention_entropy,0.5051949733971663,0.8897109061668583,1.1016768914946937
distractor,11,state_error,-0.23236255915796983,0.26123103947492443,1.1016768914946937
distractor,11,ensemble_uncertainty,0.4554591400775879,0.14189070019622207,1.1016768914946937
distractor,12,attention_entropy,0.753420615767947,0.890817234617812,1.5219522854114371
distractor,12,state_error,0.24905796943563266,0.2861863763095208,1.5219522854114371
distractor,12,ensemble_uncertainty,0.7706860681634774,0.1376553389485667,1.5219522854114371
distractor,13,attention_entropy,0.7535765908754323,0.9308443001765,1.1941862982221247
distractor,13,state_error,0.4343118656733253,0.4720359778332175,1.1941862982221247
distractor,13,ensemble_uncertainty,0.7728630477083097,0.17454390058064373,1.1941862982221247
distractor,14,attention_entropy,0.6024991666156239,0.7753685736101531,0.7948752505970598
distractor,14,state_error,0.42443220981173085,0.5275538544760656,0.7948752505970598
distractor,14,ensemble_uncertainty,0.6902110617461078,0.08702889638665444,0.7948752505970598
distractor,15,attention_entropy,0.5552929969357235,0.7743983107469147,0.726882759467137
distractor,15,state_error,0.1993131465765141,0.18032387505477243,0.726882759467137
distractor,15,ensemble_uncertainty,0.5490233010544742,0.09645775815445916,0.726882759467137
distractor,16,attention_entropy,0.5405167079608608,0.7737436176066325,0.9177991432583842
distractor,16,state_error,0.3139882383116775,0.212123799041395,0.9177991432583842
distractor,16,ensemble_uncertainty,0.5533051680115078,0.09185254378085905,0.9177991432583842
distractor,17,attention_entropy,0.4973559321865977,0.8915791495594165,1.0543839216172122
distractor,17,state_error,-0.06874596346343016,0.3797513047215501,1.0543839216172122
distractor,17,ensemble_uncertainty,0.4151427467661044,0.13714286981065596,1.0543839216172122
distractor,18,attention_entropy,0.5358293273894372,0.8888735808121435,0.8153916072637096
distractor,18,state_error,0.0939603876288385,0.33816176317535357,0.8153916072637096
distractor,18,ensemble_uncertainty,0.4430279083325208,0.15238436360021324,0.8153916072637096
distractor,19,attention_entropy,0.5755937026037695,0.888162767117021,1.0435878737053772
distractor,19,state_error,0.5489540200627793,0.3553436725693775,1.0435878737053772
distractor,19,ensemble_uncertainty,0.7756432875070656,0.12891675924610912,1.0435878737053772
distractor,20,attention_entropy,0.45450988516154545,0.9310715154482633,1.2919558705542666
distractor,20,state_error,-0.10857639236206885,1.0703853579099034,1.2919558705542666
distractor,20,ensemble_uncertainty,0.3832897807380207,0.18854501602564366,1.2919558705542666
distractor,21,attention_entropy,0.4132810004778987,0.9282864727915014,1.2044843160921055
distractor,21,state_error,-0.4023830208676848,0.24959559493846362,1.2044843160921055
distractor,21,ensemble_uncertainty,0.2069402927324465,0.16895702266593704,1.2044843160921055
distractor,22,attention_entropy,0.554583316817175,0.7720235074466245,0.7402682835223567
distractor,22,state_error,0.15872324301053112,0.14098219969652095,0.7402682835223567
distractor,22,ensemble_uncertainty,0.5565350252184789,0.08983577804870017,0.7402682835223567
distractor,23,attention_entropy,0.5491362800499849,0.7718454358010213,0.7208634264069823
distractor,23,state_error,0.19772872844190884,0.1976705511409468,0.7208634264069823
distractor,23,ensemble_uncertainty,0.7617104047635123,0.09445458136276456,0.7208634264069823
distractor,24,attention_entropy,0.5538481446072584,0.7724230490721778,0.8573949503122039
distractor,24,state_error,0.22074523203428226,0.19933927706783972,0.8573949503122039
distractor,24,ensemble_uncertainty,0.5070525459614349,0.09432910951920831,0.8573949503122039
distractor,25,attention_entropy,0.4772284411579983,0.8903543556854346,1.085085090093674
distractor,25,state_error,-0.20012341979649156,0.28504120819284945,1.085085090093674
distractor,25,ensemble_uncertainty,0.38862283968788436,0.12827043919344336,1.085085090093674
distractor,26,attention_entropy,0.5518899677449217,0.8893239811982773,0.7952722840863945
distractor,26,state_error,0.14957065819092694,0.35010975240015463,0.7952722840863945
