method,trial,seed,duration,final_error,final_goal,final_x,max_abs_jerk,mean_abs_error,path_effort,rms_accel,rms_jerk,rms_vel_jump,settle_time,success,tail_mean_abs_error,within_tol_frac
naive_async,1,1008,17.979999999999706,15.023621152294645,10.0,25.023621152294645,800.0,9.482387601663133,142.09203223562483,7.916229129643881,58.161161974803115,0.1608105282109001,nan,0.0,11.573331047633841,0.005555555555555556
naive_async,2,1009,17.979999999999706,6.062699169369437,10.0,3.937300830630563,800.0,5.686735341671371,142.981835009189,7.95163728168356,65.19127108101681,0.16361800885491865,nan,0.0,5.694316099478862,0.0077777777777777776
naive_async,3,1010,17.979999999999706,7.081955138157489,10.0,2.918044861842511,800.0,6.033098847223692,138.41616108860686,7.834453512502441,61.12322015284861,0.16205831522952546,nan,0.0,5.556577979344853,0.006666666666666667
naive_async,4,1011,17.979999999999706,1.7132402956975739,10.0,11.713240295697574,800.0,5.008827585116329,141.6208534396003,7.891475757948139,68.24724545175464,0.16202877052743128,nan,0.0,4.308554868578889,0.0077777777777777776
naive_async,5,1012,17.979999999999706,11.721606619917015,10.0,21.721606619917015,800.0,8.345299707809788,141.31716720759152,7.9163486136323264,58.16567927449799,0.16006400477343874,nan,0.0,8.909432360912948,0.006666666666666667
naive_async,6,1013,17.979999999999706,1.8235904468062056,10.0,11.823590446806206,800.0,5.051908656268068,137.43142860307435,7.772274270853096,64.63435286387772,0.15938001539159713,nan,0.0,4.16292091796867,0.008888888888888889
naive_async,7,1014,17.979999999999706,7.737090482328544,10.0,17.737090482328544,800.0,4.587327176142047,139.91660832539455,7.850571265778016,67.21148279491996,0.16001084983669708,nan,0.0,3.629482997065238,0.0077777777777777776
naive_async,8,1015,17.979999999999706,6.782799529521765,10.0,3.217200470478235,800.0,6.3269237349871785,143.20361162638056,7.963994409535052,65.60893838625418,0.1620620595919925,nan,0.0,6.74930186917496,0.006666666666666667
naive_async,9,1016,17.979999999999706,5.172323938445844,10.0,15.172323938445844,800.0,4.876332159783158,140.5637359259305,7.8630400554032684,67.61514874639029,0.1607852834336289,nan,0.0,3.9807724956912587,0.01
naive_async,10,1017,17.979999999999706,4.179508438599018,10.0,5.820491561400982,800.0,6.5111942052614085,140.21421816892456,7.837661871295769,61.237367676649576,0.16056592978301928,nan,0.0,6.498336259663799,0.0077777777777777776
