seed,method,marker_contrast,success,mean_abs_error,marker_attention
32,reward_attention,0.12,0.0,3.138554334640503,0.21806922554969788
32,supervised_anchors,0.12,0.0,3.096540689468384,0.287640243768692
32,anchors_cached,0.12,0.0,3.096540689468384,0.287640243768692
32,frozen,0.2,0.0,3.5064547061920166,nan
32,full_policy,0.2,0.1711111068725586,1.0441956520080566,nan
32,adapter,0.2,0.0,1.7619037628173828,nan
32,reward_attention,0.2,0.0,2.169114351272583,0.30423489212989807
32,supervised_anchors,0.2,0.0,1.9573936462402344,0.4104212820529938
32,anchors_cached,0.2,0.0,1.9573936462402344,0.4104212820529938
32,frozen,0.28,0.0,3.5070865154266357,nan
32,full_policy,0.28,0.4955555498600006,0.5365265011787415,nan
32,adapter,0.28,0.3144444525241852,0.9001242518424988,nan
32,reward_attention,0.28,0.25111111998558044,1.0140234231948853,0.37957122921943665
32,supervised_anchors,0.28,0.9900000095367432,0.21003900468349457,0.5381115674972534
32,anchors_cached,0.28,0.9900000095367432,0.21003900468349457,0.5381115674972534
32,frozen,0.4,0.0,3.5214850902557373,nan
32,full_policy,0.4,0.25333333015441895,1.14362633228302,nan
32,adapter,0.4,0.18333333730697632,1.0442413091659546,nan
32,reward_attention,0.4,0.002222222276031971,2.362399101257324,0.495929092168808
32,supervised_anchors,0.4,0.05000000074505806,1.4705454111099243,0.702917754650116
32,anchors_cached,0.4,0.05000000074505806,1.4705454111099243,0.702917754650116
33,frozen,0.12,0.0,3.531848430633545,nan
33,full_policy,0.12,0.0,2.3055789470672607,nan
33,adapter,0.12,0.0,2.855173110961914,nan
33,reward_attention,0.12,0.0,3.0944318771362305,0.28927484154701233
33,supervised_anchors,0.12,0.0,3.103989839553833,0.30641090869903564
33,anchors_cached,0.12,0.0,3.103989839553833,0.30641090869903564
33,frozen,0.2,0.0,3.516817331314087,nan
33,full_policy,0.2,0.09555555880069733,1.3884061574935913,nan
33,adapter,0.2,0.03222222253680229,1.7536344528198242,nan
33,reward_attention,0.2,0.0,1.920485019683838,0.4014107584953308
33,supervised_anchors,0.2,0.0,1.9279500246047974,0.42842820286750793
33,anchors_cached,0.2,0.0,1.9279500246047974,0.42842820286750793
33,frozen,0.28,0.0,3.499237537384033,nan
33,full_policy,0.28,0.6666666865348816,0.4267122745513916,nan
33,adapter,0.28,0.25555557012557983,0.955572247505188,nan
33,reward_attention,0.28,1.0,0.07706982642412186,0.5176513195037842
33,supervised_anchors,0.28,0.8299999833106995,0.3224453628063202,0.5585872530937195
33,anchors_cached,0.28,0.8299999833106995,0.3224453628063202,0.5585872530937195
33,frozen,0.4,0.0,3.4876041412353516,nan
33,full_policy,0.4,0.3055555522441864,0.9564321041107178,nan
33,adapter,0.4,0.1899999976158142,1.1088998317718506,nan
33,reward_attention,0.4,0.04333333298563957,1.3340595960617065,0.6667871475219727
33,supervised_anchors,0.4,0.057777777314186096,1.229825735092163,0.7136108875274658
33,anchors_cached,0.4,0.057777777314186096,1.229825735092163,0.7136108875274658
