seed,method,trainable_parameters,initial_fine_success,final_fine_success,final_fine_reward,final_fine_abs_error,success_auc,interactions_to_70_success,initial_source_success,final_source_success,forgetting,marker_attention,proposal_coverage,attention_overlap,update_steps,grounding_updates,actor_seconds,update_seconds,seconds_per_update,prefix_calls,prefix_token_evaluations,learner_prefix_calls,learner_prefix_token_evaluations,cached_prefix,grounding_weight
31,frozen,0,0.0,0.0,0.2509658932685852,3.505950450897217,0.0,,1.0,1.0,0.0,nan,nan,nan,0,0,0.021253546758089215,0.0,0.0,64,438900,0,0,False,0.0
31,full_policy,42534,0.0,0.7344444394111633,0.8788660764694214,0.3369399607181549,0.336111106723547,672,1.0,0.9937499761581421,0.00625002384185791,nan,nan,nan,420,0,0.021998881828039885,4.481050670146942,0.010669168262254624,904,1446900,840,1008000,False,0.0
31,adapter,13,0.0,0.2911111116409302,0.7018951177597046,0.9601369500160217,0.21888888974984486,,1.0,1.0,0.0,nan,nan,nan,420,0,0.02277136006159708,1.856038543395698,0.004419139389037376,904,1446900,840,1008000,False,0.0
31,reward_attention,6371,0.0,1.0,0.9695066213607788,0.07814915478229523,0.5620000017806888,336,1.0,1.0,0.0,0.49723944067955017,0.251878023147583,0.007148584350943565,420,0,0.025435941061004996,2.2298118918552063,0.0053090759329885865,904,1446900,840,1008000,False,0.0
31,supervised_anchors,6371,0.0,1.0,0.9587452411651611,0.10657420009374619,0.5445185152192911,336,1.0,1.0,0.0,0.5340145826339722,0.29138103127479553,0.035872798413038254,420,420,0.024327725812327117,2.3248233603080735,0.005535293715019223,904,1446900,840,1008000,False,0.2
31,anchors_cached,6371,0.0,1.0,0.9587452411651611,0.10657420009374619,0.5445185152192911,336,1.0,1.0,0.0,0.5340145826339722,0.29138103127479553,0.035872798413038254,420,420,0.02463094884296879,1.2469232815201394,0.002968864956000332,64,438900,0,0,True,0.2
32,frozen,0,0.0,0.0,0.25075170397758484,3.5078635215759277,0.0,,1.0,1.0,0.0,nan,nan,nan,0,0,0.01836010511033237,0.0,0.0,64,438900,0,0,False,0.0
32,full_policy,42534,0.0,0.5133333206176758,0.8183966875076294,0.5281983613967896,0.21007407484576107,,1.0,0.3787499964237213,0.6212500035762787,nan,nan,nan,420,0,0.019112082838546485,3.972370686940849,0.00945802544509726,904,1446900,840,1008000,False,0.0
32,adapter,13,0.0,0.33222222328186035,0.719588577747345,0.8957192897796631,0.25151851773262024,,1.0,1.0,0.0,nan,nan,nan,420,0,0.02062226814450696,1.6799837924190797,0.003999961410521618,904,1446900,840,1008000,False,0.0
32,reward_attention,6371,0.0,0.24444444477558136,0.692663311958313,0.9977983832359314,0.1721481472874681,,1.0,1.0,0.0,0.39448612928390503,0.21665114164352417,0.2518809735774994,420,0,0.024620422802399844,2.1679091383703053,0.005161688424691203,904,1446900,840,1008000,False,0.0
32,supervised_anchors,6371,0.0,0.992222249507904,0.9208632111549377,0.20952196419239044,0.5328518564502398,384,1.0,1.0,0.0,0.5359692573547363,0.2884313762187958,0.030144911259412766,420,420,0.025062303873710334,2.3762204743688926,0.0056576677961164105,904,1446900,840,1008000,False,0.2
32,anchors_cached,6371,0.0,0.992222249507904,0.9208632111549377,0.20952196419239044,0.5328518564502398,384,1.0,1.0,0.0,0.5359692573547363,0.2884313762187958,0.030144911259412766,420,420,0.02514302812051028,1.2575952359475195,0.002994274371303618,64,438900,0,0,True,0.2
33,frozen,0,0.0,0.0,0.24968279898166656,3.518421173095703,0.0,,1.0,1.0,0.0,nan,nan,nan,0,0,0.019524110946804285,0.0,0.0,64,438900,0,0,False,0.0
33,full_policy,42534,0.0,0.652222216129303,0.8532848358154297,0.4278603196144104,0.28788888851801553,528,1.0,0.49000000953674316,0.5099999904632568,nan,nan,nan,420,0,0.02079246292123571,4.274256217991933,0.010176800519028412,904,1446900,840,1008000,False,0.0
33,adapter,13,0.0,0.2433333396911621,0.7015536427497864,0.9563271999359131,0.2040370374917984,,1.0,1.0,0.0,nan,nan,nan,420,0,0.027772654313594103,1.6718878265237436,0.0039806853012470085,904,1446900,840,1008000,False,0.0
33,reward_attention,6371,0.0,1.0,0.9710256457328796,0.07408417016267776,0.5157777791221937,432,1.0,1.0,0.0,0.5273102521896362,0.26701024174690247,0.028053417801856995,420,0,0.024562246981076896,2.1521077703218907,0.005124066119814026,904,1446900,840,1008000,False,0.0
33,supervised_anchors,6371,0.0,0.8455555438995361,0.8820058703422546,0.32104119658470154,0.46455555483698846,336,1.0,1.0,0.0,0.564631462097168,0.2983251214027405,0.02731173112988472,420,420,0.02442209789296612,2.323503248509951,0.0055321505916903595,904,1446900,840,1008000,False,0.2
33,anchors_cached,6371,0.0,0.8455555438995361,0.8820058703422546,0.32104119658470154,0.46455555483698846,336,1.0,1.0,0.0,0.564631462097168,0.2983251214027405,0.02731173112988472,420,420,0.02492226893082261,1.262182376056444,0.0030051961334677238,64,438900,0,0,True,0.2
