seed,method,interactions,fine_success,fine_reward,fine_abs_error,source_success,marker_attention
29,reward_attention,144,0.002222222276031971,0.26426875591278076,3.4925572872161865,1.0,0.020701630041003227
29,reward_attention,192,0.002222222276031971,0.27151191234588623,3.4822466373443604,1.0,0.02995954267680645
29,reward_attention,240,0.0,0.2756228446960449,3.4531075954437256,1.0,0.03891332820057869
29,reward_attention,288,0.0011111111380159855,0.279418408870697,3.3820431232452393,1.0,0.07230397313833237
29,reward_attention,336,0.0,0.29580023884773254,3.195585012435913,1.0,0.1327764391899109
29,reward_attention,384,0.019999999552965164,0.38592779636383057,2.6315195560455322,1.0,0.21132905781269073
29,reward_attention,432,0.09555555880069733,0.5074998140335083,1.8884894847869873,1.0,0.2768039107322693
29,reward_attention,480,0.2566666603088379,0.6566655039787292,1.2071298360824585,1.0,0.33750462532043457
29,reward_attention,528,0.3333333432674408,0.7125025987625122,0.9347676038742065,1.0,0.3745524287223816
29,reward_attention,576,0.39444443583488464,0.7557196617126465,0.7577487230300903,1.0,0.3828471899032593
29,reward_attention,624,0.12999999523162842,0.650170087814331,1.14295494556427,1.0,0.40707698464393616
29,reward_attention,672,0.5144444704055786,0.8058474659919739,0.5765783190727234,1.0,0.41582533717155457
29,reward_attention,720,0.5188888907432556,0.8189381957054138,0.5218310952186584,1.0,0.39704105257987976
29,supervised_anchors,0,0.0,0.24926792085170746,3.5227456092834473,1.0,0.08368407934904099
29,supervised_anchors,48,0.0,0.2537575364112854,3.5466203689575195,1.0,0.08753371238708496
29,supervised_anchors,96,0.0,0.25274884700775146,3.5411558151245117,1.0,0.0941905826330185
29,supervised_anchors,144,0.004444444552063942,0.25728657841682434,3.496342658996582,1.0,0.09194783866405487
29,supervised_anchors,192,0.0,0.2633667290210724,3.4209439754486084,1.0,0.11001713573932648
29,supervised_anchors,240,0.004444444552063942,0.3087593913078308,3.23002028465271,1.0,0.16292297840118408
29,supervised_anchors,288,0.0,0.35274869203567505,2.7503602504730225,1.0,0.27428537607192993
29,supervised_anchors,336,0.0833333358168602,0.5393599271774292,1.6823457479476929,1.0,0.37330174446105957
29,supervised_anchors,384,0.2644444406032562,0.7568660974502563,0.7206509709358215,1.0,0.4536982476711273
29,supervised_anchors,432,0.7599999904632568,0.8872597217559814,0.3107669949531555,1.0,0.5257343649864197
29,supervised_anchors,480,0.9800000190734863,0.9321981072425842,0.17962166666984558,1.0,0.5495626330375671
29,supervised_anchors,528,0.9344444274902344,0.9341397285461426,0.17410200834274292,1.0,0.5615131855010986
29,supervised_anchors,576,0.992222249507904,0.9445214867591858,0.1451181024312973,1.0,0.574278712272644
29,supervised_anchors,624,0.9866666793823242,0.9141446352005005,0.22801265120506287,1.0,0.5791522264480591
29,supervised_anchors,672,0.9711111187934875,0.9276266098022461,0.19139248132705688,1.0,0.5805846452713013
29,supervised_anchors,720,1.0,0.9349080920219421,0.17072366178035736,1.0,0.5888429284095764
29,anchors_cached,0,0.0,0.24926792085170746,3.5227456092834473,1.0,0.08368407934904099
29,anchors_cached,48,0.0,0.2537575364112854,3.5466203689575195,1.0,0.08753371238708496
29,anchors_cached,96,0.0,0.25274884700775146,3.5411558151245117,1.0,0.0941905826330185
29,anchors_cached,144,0.004444444552063942,0.25728657841682434,3.496342658996582,1.0,0.09194783866405487
29,anchors_cached,192,0.0,0.2633667290210724,3.4209439754486084,1.0,0.11001713573932648
29,anchors_cached,240,0.004444444552063942,0.3087593913078308,3.23002028465271,1.0,0.16292297840118408
29,anchors_cached,288,0.0,0.35274869203567505,2.7503602504730225,1.0,0.27428537607192993
29,anchors_cached,336,0.0833333358168602,0.5393599271774292,1.6823457479476929,1.0,0.37330174446105957
29,anchors_cached,384,0.2644444406032562,0.7568660974502563,0.7206509709358215,1.0,0.4536982476711273
29,anchors_cached,432,0.7599999904632568,0.8872597217559814,0.3107669949531555,1.0,0.5257343649864197
29,anchors_cached,480,0.9800000190734863,0.9321981072425842,0.17962166666984558,1.0,0.5495626330375671
29,anchors_cached,528,0.9344444274902344,0.9341397285461426,0.17410200834274292,1.0,0.5615131855010986
29,anchors_cached,576,0.992222249507904,0.9445214867591858,0.1451181024312973,1.0,0.574278712272644
29,anchors_cached,624,0.9866666793823242,0.9141446352005005,0.22801265120506287,1.0,0.5791522264480591
29,anchors_cached,672,0.9711111187934875,0.9276266098022461,0.19139248132705688,1.0,0.5805846452713013
29,anchors_cached,720,1.0,0.9349080920219421,0.17072366178035736,1.0,0.5888429284095764
30,frozen,0,0.0,0.25204363465309143,3.4951012134552,1.0,nan
30,frozen,48,0.0,0.25204363465309143,3.4951012134552,1.0,nan
30,frozen,96,0.0,0.25204363465309143,3.4951012134552,1.0,nan
30,frozen,144,0.0,0.25204363465309143,3.4951012134552,1.0,nan
30,frozen,192,0.0,0.25204363465309143,3.4951012134552,1.0,nan
30,frozen,240,0.0,0.25204363465309143,3.4951012134552,1.0,nan
30,frozen,288,0.0,0.25204363465309143,3.4951012134552,1.0,nan
30,frozen,336,0.0,0.25204363465309143,3.4951012134552,1.0,nan
30,frozen,384,0.0,0.25204363465309143,3.4951012134552,1.0,nan
30,frozen,432,0.0,0.25204363465309143,3.4951012134552,1.0,nan
30,frozen,480,0.0,0.25204363465309143,3.4951012134552,1.0,nan
