trial,task,method,success,damaged,stuck,steps,final_progress,final_alignment,peak_axial_force,peak_force_norm,force_overshoot,contact_steps,command_energy,action_smoothness
74,fastener,mismatched_gripper_force,True,False,False,26,1.0,-0.00946093931879021,0.7879208726179716,0.7879208726179716,0.052592722583636786,7,0.7033870401950725,0.015731121115223526
74,fastener,matched_multimodal_bc,True,False,False,37,1.0,1.1796198269161621e-05,0.770091988773776,0.770091988773776,0.03476383873944122,14,0.44959229210856394,0.006613439228361825
75,fastener,vision_only,False,False,True,64,0.0,0.0,0.6893251597620376,0.6893251597620376,0.0,60,0.47832783410994545,0.004058445309649208
75,fastener,temporal_history,False,False,True,64,0.0,2.0933085587713726e-05,0.9915138254955473,0.9915138254955473,0.0,60,0.8175317267660702,0.0029380528809316094
75,fastener,force,True,False,False,49,1.0,-2.8531417687375642e-05,0.9973323529769645,0.9973323529769645,0.0017259201092330034,27,0.5878847647413094,0.006084338444130641
75,fastener,mismatched_gripper_force,True,False,False,29,1.0,-0.014433017669402403,1.006574685807737,1.006574685807737,0.010968252940005363,10,0.7637109062046675,0.013913958974746472
75,fastener,matched_multimodal_bc,False,False,True,64,0.0,1.1796198269161621e-05,0.9928731744586944,0.9928731744586944,0.0,60,0.8162425416913784,0.0029242741556285965
76,fastener,vision_only,False,False,True,64,0.0,0.0,0.6893251597620376,0.6893251597620376,0.0,60,0.47832783410994545,0.004058445309649208
76,fastener,temporal_history,True,False,False,39,1.0,2.1126992619294544e-05,0.9059252173865415,0.9059252173865415,0.003142845093285551,18,0.5251844861374338,0.005294157281990363
76,fastener,force,True,False,False,41,1.0,-2.8531417687375642e-05,0.931754447572763,0.931754447572763,0.02897207527950707,19,0.5083495499539686,0.007122217371589068
76,fastener,mismatched_gripper_force,True,False,False,28,1.0,-0.012701448060850096,0.9621905825873969,0.9621905825873969,0.059408210294140895,9,0.7478619031305165,0.01441748659770219
76,fastener,matched_multimodal_bc,True,False,False,41,1.0,1.1796198269161621e-05,0.9166585350135108,0.9166585350135108,0.013876162720254825,19,0.5046701698164715,0.006638975707258565
77,fastener,vision_only,False,False,True,64,0.0,0.0,0.6893251597620376,0.6893251597620376,0.0,60,0.47832783410994545,0.004058445309649208
77,fastener,temporal_history,True,False,False,37,1.0,2.1126992619294544e-05,0.8440526880238206,0.8440526880238206,0.02701043994222685,16,0.5001638522414584,0.005416565436018365
77,fastener,force,True,False,False,39,1.0,-2.8531417687375642e-05,0.8415296651351782,0.8415296651351782,0.02448741705358448,16,0.47162003912932704,0.006604733189081626
77,fastener,mismatched_gripper_force,True,False,False,27,1.0,-0.010963530902683098,0.887077022160658,0.887077022160658,0.07003477407906422,8,0.7303518620886713,0.014627225711135625
77,fastener,matched_multimodal_bc,True,False,False,39,1.0,1.1796198269161621e-05,0.8409903537099708,0.8409903537099708,0.023948105628377014,16,0.4711561762300291,0.006525596831737218
78,fastener,vision_only,False,False,True,64,0.0,0.0,0.6893251597620376,0.6893251597620376,0.0,60,0.47832783410994545,0.004058445309649208
78,fastener,temporal_history,True,False,False,36,1.0,2.1126992619294544e-05,0.7702401474548701,0.7702401474548701,0.038364029720271864,14,0.47238827999337396,0.00542312687381957
78,fastener,force,True,False,False,37,1.0,-2.8531417687375642e-05,0.769952155520975,0.769952155520975,0.03807603778637669,14,0.4507250713575067,0.006257353994449385
78,fastener,mismatched_gripper_force,True,False,False,26,1.0,-0.00946093931879021,0.7879208726179716,0.7879208726179716,0.05604475488337335,7,0.7033870401950725,0.015731121115223526
78,fastener,matched_multimodal_bc,True,False,False,37,1.0,1.1796198269161621e-05,0.770091988773776,0.770091988773776,0.038215871039177784,14,0.44959229210856394,0.006613439228361825
79,fastener,vision_only,False,False,True,64,0.0,0.0,0.6893251597620376,0.6893251597620376,0.0,60,0.47832783410994545,0.004058445309649208
