method,split,condition,alias,composition,trial,success,action_rmse,chunk_rmse,final_error,sequence_correct,swapped_success,swapped_action_rmse,prompt_swap_output_shift,prompt_swap_error_increase,prompt_swap_success_drop
ifp_shuffled_prompt,seen,prompt_corrupt_mild,5,5-0-2,1,1.0,0.07521917670965195,0.28180497884750366,0.4220297932624817,1.0,1.0,0.07626576721668243,0.0032779036555439234,0.001046590507030487,0.0
direct_bc,seen,prompt_corrupt_hard,5,5-0-2,1,1.0,0.05464670807123184,0.2070140689611435,0.24660541117191315,1.0,1.0,0.05464670807123184,0.0,0.0,0.0
prompt_one_step_bc,seen,prompt_corrupt_hard,5,5-0-2,1,0.0,0.1816844791173935,0.6207023859024048,1.2001348733901978,1.0,1.0,0.056245047599077225,0.2144889235496521,-0.12543943151831627,-1.0
ifp_future_chunk,seen,prompt_corrupt_hard,5,5-0-2,1,1.0,0.09754188358783722,0.3100188970565796,0.8651758432388306,1.0,1.0,0.04862281307578087,0.12715117633342743,-0.04891907051205635,0.0
ifp_shuffled_prompt,seen,prompt_corrupt_hard,5,5-0-2,1,1.0,0.03012975864112377,0.09560679644346237,0.26846036314964294,1.0,1.0,0.03228557109832764,0.014046606607735157,0.002155812457203865,0.0
direct_bc,unseen,clean,0,0-3-1,0,0.0,0.8729516863822937,3.3909478187561035,0.7285155653953552,0.0,0.0,0.8729516863822937,0.0,0.0,0.0
prompt_one_step_bc,unseen,clean,0,0-3-1,0,0.0,0.29329100251197815,1.0931708812713623,1.2012790441513062,0.0,0.0,0.8822810053825378,0.6361274123191833,0.5889900028705597,0.0
ifp_future_chunk,unseen,clean,0,0-3-1,0,0.0,0.47661617398262024,1.7681094408035278,2.779144048690796,0.0,0.0,0.8634783029556274,0.5515807867050171,0.3868621289730072,0.0
ifp_shuffled_prompt,unseen,clean,0,0-3-1,0,0.0,0.8663570880889893,3.3602073192596436,0.5957991480827332,0.0,0.0,0.8692284822463989,0.006473415065556765,0.002871394157409668,0.0
direct_bc,unseen,distractor_mild,0,0-3-1,0,0.0,0.8109638094902039,3.153958797454834,0.8651778101921082,0.0,0.0,0.8109638094902039,0.0,0.0,0.0
prompt_one_step_bc,unseen,distractor_mild,0,0-3-1,0,0.0,0.2535525858402252,0.8850690126419067,1.8926419019699097,1.0,0.0,0.8514600992202759,0.6962270736694336,0.5979075133800507,0.0
