method,split,condition,alias,composition,trial,success,action_rmse,chunk_rmse,final_error,sequence_correct,swapped_success,swapped_action_rmse,prompt_swap_output_shift,prompt_swap_error_increase,prompt_swap_success_drop
direct_bc,seen,distractor_mild,0,0-1-3,5,1.0,0.022352294996380806,0.07618340104818344,0.1532733142375946,1.0,1.0,0.022352294996380806,0.0,0.0,0.0
prompt_one_step_bc,seen,distractor_mild,0,0-1-3,5,1.0,0.03257494419813156,0.11050798743963242,0.301893949508667,1.0,1.0,0.0921635627746582,0.07726418226957321,0.05958861857652664,0.0
ifp_future_chunk,seen,distractor_mild,0,0-1-3,5,1.0,0.02674521505832672,0.08872111141681671,0.06494929641485214,1.0,1.0,0.08630253374576569,0.06908641010522842,0.059557318687438965,0.0
ifp_shuffled_prompt,seen,distractor_mild,0,0-1-3,5,1.0,0.03760437294840813,0.1269223988056183,0.3431444764137268,1.0,1.0,0.038207489997148514,0.0018316337373107672,0.000603117048740387,0.0
direct_bc,seen,distractor_hard,0,0-1-3,5,1.0,0.04537355154752731,0.16368791460990906,0.0606829896569252,1.0,1.0,0.04537355154752731,0.0,0.0,0.0
prompt_one_step_bc,seen,distractor_hard,0,0-1-3,5,1.0,0.04438832774758339,0.15774379670619965,0.29753631353378296,1.0,1.0,0.06886308640241623,0.04248597100377083,0.02447475865483284,0.0
ifp_future_chunk,seen,distractor_hard,0,0-1-3,5,1.0,0.04095034301280975,0.1253320574760437,0.39245694875717163,1.0,1.0,0.05633993446826935,0.047460734844207764,0.015389591455459595,0.0
ifp_shuffled_prompt,seen,distractor_hard,0,0-1-3,5,1.0,0.05224909633398056,0.18571892380714417,0.22500167787075043,1.0,1.0,0.051676541566848755,0.0022589426953345537,-0.0005725547671318054,0.0
direct_bc,seen,prompt_corrupt_mild,0,0-1-3,5,1.0,0.03948375582695007,0.1488523781299591,0.2562905251979828,1.0,1.0,0.03948375582695007,0.0,0.0,0.0
prompt_one_step_bc,seen,prompt_corrupt_mild,0,0-1-3,5,1.0,0.09294673055410385,0.30893367528915405,0.43486812710762024,1.0,1.0,0.05111832916736603,0.08904445916414261,-0.041828401386737823,0.0
ifp_future_chunk,seen,prompt_corrupt_mild,0,0-1-3,5,1.0,0.0722895935177803,0.23183615505695343,0.5393790006637573,1.0,1.0,0.04777444526553154,0.06901546567678452,-0.024515148252248764,0.0
ifp_shuffled_prompt,seen,prompt_corrupt_mild,0,0-1-3,5,1.0,0.04022734984755516,0.1507309228181839,0.4313255250453949,1.0,1.0,0.04059650003910065,0.0014680143212899566,0.00036915019154548645,0.0
direct_bc,seen,prompt_corrupt_hard,0,0-1-3,5,1.0,0.07234399020671844,0.275322824716568,0.189644917845726,1.0,1.0,0.07234399020671844,0.0,0.0,0.0
prompt_one_step_bc,seen,prompt_corrupt_hard,0,0-1-3,5,0.0,0.35091909766197205,1.310550332069397,1.4678356647491455,1.0,1.0,0.06392111629247665,0.31220781803131104,-0.2869979813694954,-1.0
ifp_future_chunk,seen,prompt_corrupt_hard,0,0-1-3,5,0.0,0.3551298975944519,1.3612868785858154,1.8904995918273926,1.0,1.0,0.060833800584077835,0.315071165561676,-0.29429609701037407,-1.0
ifp_shuffled_prompt,seen,prompt_corrupt_hard,0,0-1-3,5,1.0,0.0717572346329689,0.26920923590660095,0.409055233001709,1.0,1.0,0.07222151756286621,0.0025630993768572807,0.00046428292989730835,0.0
direct_bc,seen,clean,0,0-1-3,6,1.0,0.03330778330564499,0.11290805786848068,0.2029394656419754,1.0,1.0,0.03330778330564499,0.0,0.0,0.0
